State,State In.,City, Average Income, Median Income,Population,Median Housing Price,Data Scientist Average Salary,Data Engineer Average Salary,,Data Analyst Average Salary,Statistician Average Salary,Data & Analytics Manager Average Salary
California,CA,San Francisco,"$100,856.92","$84,786.00","884,000","$1,357,000.00","$130,000.00","$120,000.00",San Francisco,"$80,000.00","$92,500.00","$130,000.00"
California,CA,San Diego,"$84,908.78","$75,188.00","1,420,000","$633,600.00","$115,000.00","$97,400.00",San Diego,"$60,000.00","$85,900.00","$122,000.00"
California,CA,Los Angeles,"$61,724.56","$39,202.50","4,000,000","$686,100.00","$115,000.00","$107,000.00",Los Angeles,"$65,000.00","$81,000.00","$107,000.00"
New York,NY,New York,"$88,873.63","$68,128.00","8,600,000","$677,000.00","$110,000.00","$105,000.00",New York,"$65,000.00","$90,000.00","$108,000.00"
Massachusetts,MA,Boston,"$78,482.50","$51,575.00","685,000","$599,000.00","$106,000.00","$90,000.00",Boston,"$64,000.00","$70,000.00","$104,000.00"
Michigan,MI,Ann Arbor,"$111,892.94","$114,001.00","121,400","$382,700.00","$98,300.00","$86,500.00",Ann Arbor,"$57,000.00","$84,000.00","$99,000.00"
Texas,TX,Austin,"$80,293.59","$64,131.00","950,000","$368,000.00","$98,500.00","$96,000.00",Austin,"$60,000.00","$71,500.00","$92,100.00"
Texas,TX,Dallas,"$70,597.34","$43,800.50","1,340,000","$214,400.00","$95,000.00","$85,700.00",Dallas,"$64,500.00","$72,000.00","$105,000.00"
Texas,TX,Houston,"$68,297.50","$51,903.00","2,300,000","$186,000.00","$105,000.00","$84,500.00",Houston,"$60,000.00","$75,300.00","$110,000.00"
Colorado,CO,Denver,"$68,615.38","$53,629.00","620,000","$424,700.00","$100,000.00","$87,800.00",Denver,"$63,000.00","$84,500.00","$100,000.00"
Illinois,IL,Chicago,"$63,975.97","$45,905.50","2,716,000","$229,400.00","$95,000.00","$81,000.00",Chicago,"$60,000.00","$86,000.00","$104,000.00"
Washington,WA,Seattle,"$86,611.19","$76,020.50","725,000","$723,300.00","$120,000.00","$113,000.00",Seattle,"$67,500.00","$94,900.00","$115,000.00"
South Carolina,SC,Columbia,"$67,882.25","$56,301.00","133,000","$134,000.00","$84,400.00","$75,600.00",Columbia,"$44,500.00","$63,200.00","$91,200.00"
Virginia,VA,Virginia Beach,"$77,764.63","$71,263.50","443,000","$267,100.00","$105,000.00","$97,400.00",Virginia Beach,"$60,000.00","$84,000.00","$107,700.00"
North Carolina,NC,Charlotte,"$70,718.27","$51,914.50","859,000","$224,800.00","$92,500.00","$60,300.00",Charlotte,"$62,400.00","$74,700.00","$120,000.00"
Tennessee,TN,Nashville,"$61,077.98","$48,392.00","691,000","$263,500.00","$100,000.00","$88,000.00",Nashville,"$55,500.00","$84,000.00","$107,000.00"
Ohio,OH,Cincinnati,"$63,121.59","$46,922.00","301,000","$144,400.00","$91,300.00","$79,800.00",Cincinnati,"$50,000.00","$73,600.00","$97,500.00"
Kentucky,KY,Louisville,"$63,954.68","$55,721.00","602,000","$159,800.00","$98,200.00","$79,800.00",Louisville,"$53,000.00","$71,800.00","$96,800.00"
Minnesota,MN,Minneapolis,"$71,931.66","$50,330.00","422,000","$266,800.00","$91,500.00","$84,800.00",Minneapolis,"$65,000.00","$84,000.00","$117,000.00"
Florida,FL,Jacksonville,"$55,344.41","$42,273.00","892,000","$177,500.00","$105,000.00","$97,400.00",Jacksonville,"$55,000.00","$72,300.00","$109,000.00"
Florida,FL,Miami,"$62,349.44","$44,809.00","463,000","$337,200.00","$93,200.00","$97,400.00",Miami,"$54,800.00","$76,200.00","$93,900.00"
Georgia,GA,Atlanta,"$76,480.66","$51,177.00","486,000","$259,700.00","$96,000.00","$82,000.00",Atlanta,"$61,500.00","$84,500.00","$100,000.00"
Virginia,VA,Newport News,"$50,323.18","$46,786.00","180,000","$180,200.00","$105,000.00","$97,400.00",Newport News,"$60,000.00","$84,000.00","$107,000.00"
Arizona,AZ,Phoenix,"$57,559.19","$44,042.00","1,626,000","$242,600.00","$95,000.00","$87,000.00",Phoenix,"$58,100.00","$75,800.00","$102,000.00"
