"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-01",,,,,,,,,,,,,,,,,,,"41",",,7","24",",,7","32",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-02",,,,,,,,,,,,,,,,,,,"38",",,7","30",",,7","37",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-03",,,,,,,,,,,,,,,,,,,"40",",,7","22",",,7","22",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-04",,,,,,,,,,,,,,,,,,,"22",",,7","10",",,7","10",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-05",,,,,,,,,,,,,,,,,,,"14",",,7","6",",,7","7",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-06",,,,,,,,,,,,,,,,,,,"11",",,7","2",",,7","4",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-07",,,,,,,,,,,,,,,,,,,"19",",,7","4",",,7","9",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-08",,,,,,,,,,,,,,,,,,,"19",",,7","6",",,7","19",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-09",,,,,,,,,,,,,,,,,,,"33",",,7","19",",,7","33",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-10",,,,,,,,,,,,,,,,,,,"52",",,7","27",",,7","27",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-11",,,,,,,,,,,,,,,,,,,"46",",,7","27",",,7","28",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-12",,,,,,,,,,,,,,,,,,,"29",",,7","22",",,7","22",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-13",,,,,,,,,,,,,,,,,,,"28",",,7","19",",,7","28",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-14",,,,,,,,,,,,,,,,,,,"33",",,7","28",",,7","29",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-15",,,,,,,,,,,,,,,,,,,"34",",,7","25",",,7","31",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-16",,,,,,,,,,,,,,,,,,,"37",",,7","31",",,7","37",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-17",,,,,,,,,,,,,,,,,,,"43",",,7","35",",,7","35",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-18",,,,,,,,,,,,,,,,,,,"39",",,7","34",",,7","35",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-19",,,,,,,,,,,,,,,,,,,"36",",,7","34",",,7","35",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-20",,,,,,,,,,,,,,,,,,,"39",",,7","35",",,7","39",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-21",,,,,,,,,,,,,,,,,,,"59",",,7","37",",,7","37",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-22",,,,,,,,,,,,,,,,,,,"41",",,7","35",",,7","36",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-23",,,,,,,,,,,,,,,,,,,"42",",,7","36",",,7","39",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-24",,,,,,,,,,,,,,,,,,,"39",",,7","34",",,7","34",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-25",,,,,,,,,,,,,,,,,,,"43",",,7","34",",,7","35",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-26",,,,,,,,,,,,,,,,,,,"35",",,7","31",",,7","32",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-27",,,,,,,,,,,,,,,,,,,"32",",,7","25",",,7","27",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2017-01-28",,,,,,,,,,,,,,,,,,,"30",",,7","25",",,7","28",",,7,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
