alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
awesome-coffee-los-angeles-2,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 34.0618732447896, 'longitude': -118.313547396959}",(213) 674-7558,722.2666884295038,pviIh7uLtBVzOmWAmbfyxw,https://s3-media1.fl.yelpcdn.com/bphoto/pDN5Pq3s8IMbr4p58HVr-Q/o.jpg,False,"{'address1': '3959 Wilshire Blvd', 'address2': 'Ste A21', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90010', 'country': 'US', 'state': 'CA', 'display_address': ['3959 Wilshire Blvd', 'Ste A21', 'Los Angeles, CA 90010']}",Awesome Coffee,+12136747558,$$,4.0,552,[],https://www.yelp.com/biz/awesome-coffee-los-angeles-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
kindness-and-mischief-coffee-los-angeles,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 34.1088511, 'longitude': -118.1945951}",,12808.364156439147,ztYxM5znfbCSvMDt5jC-Zg,https://s3-media3.fl.yelpcdn.com/bphoto/g6EEK_7y31_vd7j7VdZ5Qw/o.jpg,False,"{'address1': '5537 N Figueroa St', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90042', 'country': 'US', 'state': 'CA', 'display_address': ['5537 N Figueroa St', 'Los Angeles, CA 90042']}",Kindness & Mischief Coffee,,$,4.5,229,[],https://www.yelp.com/biz/kindness-and-mischief-coffee-los-angeles?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
salt-and-straw-los-angeles,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 34.075825, 'longitude': -118.3235051}",(323) 466-0485,1594.9586706344362,ikF6L0HiC3_AhAiywWzS3g,https://s3-media3.fl.yelpcdn.com/bphoto/L6kv_lH6yjPU9Ijvrh8FtA/o.jpg,False,"{'address1': '240 N Larchmont Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90004', 'country': 'US', 'state': 'CA', 'display_address': ['240 N Larchmont Blvd', 'Los Angeles, CA 90004']}",Salt & Straw,+13234660485,$$,4.5,1988,[],https://www.yelp.com/biz/salt-and-straw-los-angeles?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
bumsan-organic-milk-bar-los-angeles,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 34.0643682, 'longitude': -118.3089751}",(213) 908-5192,1187.4703498043802,LCgDnpydbmFOsgW1EN7a-Q,https://s3-media3.fl.yelpcdn.com/bphoto/6megBy9cQ5kADJM8q3LXGw/o.jpg,False,"{'address1': '534 S Western Ave', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90020', 'country': 'US', 'state': 'CA', 'display_address': ['534 S Western Ave', 'Los Angeles, CA 90020']}",Bumsan Organic Milk Bar,+12139085192,$,4.0,695,[],https://www.yelp.com/biz/bumsan-organic-milk-bar-los-angeles?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
honi-los-angeles-2,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 34.064093, 'longitude': -118.3057369}",(714) 614-4489,1467.6837117663606,9eSYsXLmgabDloCNNQKq2Q,https://s3-media3.fl.yelpcdn.com/bphoto/Vftw2bJbD3BSzDOhcx8m8w/o.jpg,False,"{'address1': '3807 W 6th St', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90020', 'country': 'US', 'state': 'CA', 'display_address': ['3807 W 6th St', 'Los Angeles, CA 90020']}",Honi,+17146144489,$,4.0,95,[],https://www.yelp.com/biz/honi-los-angeles-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
cafe-bora-los-angeles,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'shavedice', 'title': 'Shaved Ice'}]","{'latitude': 34.06382567, 'longitude': -118.30573183}",,1462.0159747091793,qyrQvDeLmVSXWj8imaop5A,https://s3-media4.fl.yelpcdn.com/bphoto/ZnghCMbYgLiedOj91oOwhA/o.jpg,False,"{'address1': '3807 W 6th St', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90020', 'country': 'US', 'state': 'CA', 'display_address': ['3807 W 6th St', 'Los Angeles, CA 90020']}",Cafe Bora,,$$,4.0,595,[],https://www.yelp.com/biz/cafe-bora-los-angeles?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
drips-and-swirls-los-angeles,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 34.05757, 'longitude': -118.29377}",(213) 568-3021,2572.9476709746773,Gt6nE1iNvBB5CLt9VpuXuA,https://s3-media4.fl.yelpcdn.com/bphoto/4gCxb2kUif1-ZpCZPvJAtQ/o.jpg,False,"{'address1': '3076 W 8th St', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90005', 'country': 'US', 'state': 'CA', 'display_address': ['3076 W 8th St', 'Los Angeles, CA 90005']}",Drips & Swirls,+12135683021,$,4.5,625,[],https://www.yelp.com/biz/drips-and-swirls-los-angeles?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
supercool-creamery-los-angeles,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 34.0982826150215, 'longitude': -118.28691791743}",(323) 471-1110,5169.229671376474,HcfSWGmIrOf_Qf2U5xyv5g,https://s3-media3.fl.yelpcdn.com/bphoto/8XIUjn33wwCIkf9S3asR0g/o.jpg,False,"{'address1': '4469 Sunset Dr', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90027', 'country': 'US', 'state': 'CA', 'display_address': ['4469 Sunset Dr', 'Los Angeles, CA 90027']}",Supercool Creamery,+13234711110,,5.0,22,[],https://www.yelp.com/biz/supercool-creamery-los-angeles?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
stir-crazy-coffee-house-los-angeles,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 34.08367, 'longitude': -118.34177}",(323) 934-4656,3089.7039652336853,UMp9CqJQvb4K-2xwPcVYHQ,https://s3-media2.fl.yelpcdn.com/bphoto/AQCspYvwOSRKDAU9lfin6Q/o.jpg,False,"{'address1': '6903 Melrose Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90038', 'country': 'US', 'state': 'CA', 'display_address': ['6903 Melrose Ave', 'Los Angeles, CA 90038']}",Stir Crazy Coffee House,+13239344656,$,4.5,347,[],https://www.yelp.com/biz/stir-crazy-coffee-house-los-angeles?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
salt-and-straw-los-angeles-4,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 33.9908395, 'longitude': -118.4662152}",(310) 310-8429,15475.992489116445,EfYXCs5o4MPyByi3hWaTag,https://s3-media3.fl.yelpcdn.com/bphoto/Pzjk-12kqUgMPMffP08Ekw/o.jpg,False,"{'address1': '1357 Abbot Kinney Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90291', 'country': 'US', 'state': 'CA', 'display_address': ['1357 Abbot Kinney Blvd', 'Los Angeles, CA 90291']}",Salt & Straw,+13103108429,$$,4.5,1187,[],https://www.yelp.com/biz/salt-and-straw-los-angeles-4?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
sloans-ice-cream-santa-monica,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'candy', 'title': 'Candy Stores'}]","{'latitude': 34.01679, 'longitude': -118.49689}",(310) 394-3940,16916.40796857688,1NVEa0wWCuWZqyM0ADS7dw,https://s3-media1.fl.yelpcdn.com/bphoto/9NWun9Tc53mf68WK2EiTAA/o.jpg,False,"{'address1': '1315 3rd Street Promenade', 'address2': 'Unit A', 'address3': None, 'city': 'Santa Monica', 'zip_code': '90401', 'country': 'US', 'state': 'CA', 'display_address': ['1315 3rd Street Promenade', 'Unit A', 'Santa Monica, CA 90401']}",Sloan's Ice Cream,+13103943940,$$,4.0,160,"['pickup', 'delivery']",https://www.yelp.com/biz/sloans-ice-cream-santa-monica?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
b-sweet-dessert-bar-los-angeles-5,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 34.0406502357722, 'longitude': -118.443594703041}",(310) 963-9769,11497.698315822841,uYKC0m3IddA8GCbjWJCI7g,https://s3-media1.fl.yelpcdn.com/bphoto/MRHH5dyG9kTwnpjWvpzcww/o.jpg,False,"{'address1': '2005 Sawtelle Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90025', 'country': 'US', 'state': 'CA', 'display_address': ['2005 Sawtelle Blvd', 'Los Angeles, CA 90025']}",B Sweet Dessert Bar,+13109639769,$,4.0,1525,['pickup'],https://www.yelp.com/biz/b-sweet-dessert-bar-los-angeles-5?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
la-creme-cafe-los-angeles,"[{'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'creperies', 'title': 'Creperies'}]","{'latitude': 34.0834483520215, 'longitude': -118.350747525692}",(323) 951-1007,3636.4880306821888,AHEvVyKMXY0Qdt6xF2yIGg,https://s3-media1.fl.yelpcdn.com/bphoto/NU1423Y-a8KP0G6M48kzOA/o.jpg,False,"{'address1': '7376 Melrose Ave', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90046', 'country': 'US', 'state': 'CA', 'display_address': ['7376 Melrose Ave', 'Los Angeles, CA 90046']}",La Creme Cafe,+13239511007,$,4.5,170,"['pickup', 'delivery']",https://www.yelp.com/biz/la-creme-cafe-los-angeles?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
mashti-malones-ice-cream-los-angeles,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 34.098765, 'longitude': -118.344954}",(323) 874-0144,4669.163120785889,NVPAuPCohrb5BrSJh5TcXA,https://s3-media2.fl.yelpcdn.com/bphoto/-3TX3xnfDx-1m2MBpY9Y8w/o.jpg,False,"{'address1': '1525 N La Brea Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90028', 'country': 'US', 'state': 'CA', 'display_address': ['1525 N La Brea Ave', 'Los Angeles, CA 90028']}",Mashti Malone's Ice Cream,+13238740144,$,4.5,1201,[],https://www.yelp.com/biz/mashti-malones-ice-cream-los-angeles?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
civil-coffee-los-angeles-2,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 34.10959, 'longitude': -118.19347}",,12941.004714002429,Qwov52b5Wg4d7OZ3Z18Bqg,https://s3-media1.fl.yelpcdn.com/bphoto/NjTgdfs_cy9TShHnCQ051w/o.jpg,False,"{'address1': '5629 N Figueroa St', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90042', 'country': 'US', 'state': 'CA', 'display_address': ['5629 N Figueroa St', 'Los Angeles, CA 90042']}",Civil Coffee,,$$,4.0,304,[],https://www.yelp.com/biz/civil-coffee-los-angeles-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
fatamorgana-gelato-los-angeles-3,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'gelato', 'title': 'Gelato'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 34.14393, 'longitude': -118.39414}",(818) 606-0273,11346.858845505978,Eju1sjgiVUH6pAUP7yukHQ,https://s3-media4.fl.yelpcdn.com/bphoto/8ndmdJT4gBnMr1Ss7OsKTQ/o.jpg,False,"{'address1': '12021 Ventura Blvd', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '91604', 'country': 'US', 'state': 'CA', 'display_address': ['12021 Ventura Blvd', 'Los Angeles, CA 91604']}",Fatamorgana Gelato,+18186060273,$$,4.5,193,"['pickup', 'delivery']",https://www.yelp.com/biz/fatamorgana-gelato-los-angeles-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
ginger-s-divine-ice-creams-los-angeles,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 33.99649, 'longitude': -118.43126}",(424) 285-0361,12444.337391031435,GKRlMkPSDOXR92W29BNaxg,https://s3-media2.fl.yelpcdn.com/bphoto/AuDwdRA12z5cPRAfZyINZQ/o.jpg,False,"{'address1': '12550 Washington Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90066', 'country': 'US', 'state': 'CA', 'display_address': ['12550 Washington Blvd', 'Los Angeles, CA 90066']}",Ginger’s Divine Ice Creams,+14242850361,$$,4.5,386,[],https://www.yelp.com/biz/ginger-s-divine-ice-creams-los-angeles?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
second-round-los-angeles,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 34.0748952, 'longitude': -118.3092749}",(323) 327-2824,1838.6556261808128,VS8eLjWzhWsIll06Yudn6w,https://s3-media3.fl.yelpcdn.com/bphoto/qa5FMBT9r7vC7pnDLq87sA/o.jpg,False,"{'address1': '207 N Western Ave', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90004', 'country': 'US', 'state': 'CA', 'display_address': ['207 N Western Ave', 'Los Angeles, CA 90004']}",Second Round,+13233272824,$,4.5,109,[],https://www.yelp.com/biz/second-round-los-angeles?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
sweet-rose-creamery-los-angeles-2,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 34.0763063, 'longitude': -118.3548803}",(310) 260-2663,3492.723765730379,DG52zsraBl-hwEI2T8lFfw,https://s3-media4.fl.yelpcdn.com/bphoto/wzM90z2ybcXN4lfgdpnNJQ/o.jpg,False,"{'address1': '7565 Beverly Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90036', 'country': 'US', 'state': 'CA', 'display_address': ['7565 Beverly Blvd', 'Los Angeles, CA 90036']}",Sweet Rose Creamery,+13102602663,$$,4.0,392,"['pickup', 'delivery']",https://www.yelp.com/biz/sweet-rose-creamery-los-angeles-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
magpies-softserve-los-angeles,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 34.1068633394147, 'longitude': -118.271928675245}",(323) 486-7094,6788.511034617897,QyA3-z9RCgvOPxa1d5htSw,https://s3-media3.fl.yelpcdn.com/bphoto/IXLTfMp8v8jitRugni6uUw/o.jpg,False,"{'address1': '2660 Griffith Park Blvd', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90039', 'country': 'US', 'state': 'CA', 'display_address': ['2660 Griffith Park Blvd', 'Los Angeles, CA 90039']}",Magpies Softserve,+13234867094,$,4.5,493,[],https://www.yelp.com/biz/magpies-softserve-los-angeles?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
