Worksheet Filter,Median Sale Price,Period End,Property Type,Region,Region Type,State Code
Value,$175K,1/31/2019,All Residential,"Louisville, KY",Place/City,KY
Value,$404K,11/30/2012,All Residential,"Boston, MA",Place/City,MA
Value,$487K,9/30/2014,All Residential,"Boston, MA",Place/City,MA
Value,$575K,10/31/2016,All Residential,"Boston, MA",Place/City,MA
Value,$172K,10/31/2015,All Residential,"Newport News, VA",County,VA
Value,$165K,12/31/2016,All Residential,"Newport News, VA",County,VA
Value,$173K,12/31/2018,All Residential,"Newport News, VA",County,VA
Value,$127K,6/30/2012,All Residential,"Phoenix, AZ",Place/City,AZ
Value,$305K,1/31/2012,All Residential,"San Diego, CA",Place/City,CA
Value,$375K,2/28/2013,All Residential,"San Diego, CA",Place/City,CA
Value,$436K,6/30/2013,All Residential,"San Diego, CA",Place/City,CA
Value,$468K,10/31/2013,All Residential,"Los Angeles, CA",Place/City,CA
Value,$988K,2/28/2014,All Residential,"San Francisco, CA",Place/City,CA
Value,$475K,2/28/2014,All Residential,"Los Angeles, CA",Place/City,CA
Value,"$1,023K",3/31/2014,All Residential,"San Francisco, CA",Place/City,CA
Value,$520K,5/31/2014,All Residential,"Los Angeles, CA",Place/City,CA
Value,$515K,9/30/2014,All Residential,"Los Angeles, CA",Place/City,CA
Value,"$1,150K",12/31/2015,All Residential,"San Francisco, CA",Place/City,CA
Value,$615K,1/31/2017,All Residential,"Los Angeles, CA",Place/City,CA
Value,$690K,2/28/2018,All Residential,"Los Angeles, CA",Place/City,CA
Value,$706K,4/30/2018,All Residential,"Los Angeles, CA",Place/City,CA
Value,$690K,12/31/2018,All Residential,"Los Angeles, CA",Place/City,CA
Value,$186K,10/31/2013,All Residential,"Miami, FL",Place/City,FL
Value,$217K,6/30/2014,All Residential,"Miami, FL",Place/City,FL
Value,$270K,9/30/2016,All Residential,"Miami, FL",Place/City,FL
Value,$179K,12/31/2012,All Residential,"Atlanta, GA",Place/City,GA
Value,$148K,3/31/2012,All Residential,"Chicago, IL",Place/City,IL
Value,$184K,7/31/2012,All Residential,"Chicago, IL",Place/City,IL
Value,$240K,6/30/2013,All Residential,"Chicago, IL",Place/City,IL
Value,$230K,8/31/2013,All Residential,"Chicago, IL",Place/City,IL
Value,$212K,1/31/2015,All Residential,"Chicago, IL",Place/City,IL
Value,$298K,6/30/2017,All Residential,"Chicago, IL",Place/City,IL
Value,$295K,3/31/2018,All Residential,"Chicago, IL",Place/City,IL
Value,$295K,4/30/2018,All Residential,"Chicago, IL",Place/City,IL
Value,$270K,9/30/2018,All Residential,"Chicago, IL",Place/City,IL
Value,$445K,12/31/2013,All Residential,"Boston, MA",Place/City,MA
Value,$563K,2/28/2017,All Residential,"Boston, MA",Place/City,MA
Value,$320K,2/28/2018,All Residential,"Ann Arbor, MI",Place/City,MI
