alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
comet-coffee-ann-arbor,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 42.2784368818938, 'longitude': -83.7414034863831}",(734) 222-0579,187.62369578519582,IotuxJ8M1kDe9lK-cd1asQ,https://s3-media1.fl.yelpcdn.com/bphoto/ItpGgEjFHJvL20ORtIsWbA/o.jpg,False,"{'address1': '16 Nickels Arcade', 'address2': '', 'address3': '', 'city': 'Ann Arbor', 'zip_code': '48104', 'country': 'US', 'state': 'MI', 'display_address': ['16 Nickels Arcade', 'Ann Arbor, MI 48104']}",Comet Coffee,+17342220579,$$,4.0,237,[],https://www.yelp.com/biz/comet-coffee-ann-arbor?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
literati-coffee-ann-arbor-12,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 42.2802761, 'longitude': -83.7474805}",(734) 585-5652,646.5954544355503,0fI5PMMhQbGFlCcfTZ9vhA,https://s3-media1.fl.yelpcdn.com/bphoto/1ipCY8xxBnl6mR7bvQhlug/o.jpg,False,"{'address1': '204 S 4th Ave', 'address2': '', 'address3': '', 'city': 'Ann Arbor', 'zip_code': '48104', 'country': 'US', 'state': 'MI', 'display_address': ['204 S 4th Ave', 'Ann Arbor, MI 48104']}",Literati Coffee,+17345855652,$,4.5,105,[],https://www.yelp.com/biz/literati-coffee-ann-arbor-12?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
lab-ann-arbor,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 42.2795599, 'longitude': -83.74278}",,334.1014416133357,vONGfjuEYWtzvReseHJLrw,https://s3-media3.fl.yelpcdn.com/bphoto/DLIVnyU9-POQqnLoDCuWQg/o.jpg,False,"{'address1': '505 E Liberty', 'address2': 'Ste 300', 'address3': '', 'city': 'Ann Arbor', 'zip_code': '48104', 'country': 'US', 'state': 'MI', 'display_address': ['505 E Liberty', 'Ste 300', 'Ann Arbor, MI 48104']}",Lab,,$$,4.0,235,[],https://www.yelp.com/biz/lab-ann-arbor?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
roosroast-coffee-ann-arbor,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 42.25524, 'longitude': -83.73411}",(734) 222-9202,2463.718020446947,26kppAVn9XoIx81FfJML9Q,https://s3-media4.fl.yelpcdn.com/bphoto/RRtdxIMBEkgojI6rD9Hqiw/o.jpg,False,"{'address1': '1155 Rosewood St', 'address2': 'Ste B', 'address3': '', 'city': 'Ann Arbor', 'zip_code': '48104', 'country': 'US', 'state': 'MI', 'display_address': ['1155 Rosewood St', 'Ste B', 'Ann Arbor, MI 48104']}",RoosRoast Coffee,+17342229202,$$,4.5,201,[],https://www.yelp.com/biz/roosroast-coffee-ann-arbor?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
roosroast-coffee-ann-arbor-4,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 42.2796609300119, 'longitude': -83.7477365881205}",(734) 369-2494,625.5588318468389,QzvW6jDg3hcPbwmf__JAUw,https://s3-media1.fl.yelpcdn.com/bphoto/5JksxJrjEbCDPlpr9PeBDw/o.jpg,False,"{'address1': '117 E Liberty St', 'address2': '', 'address3': None, 'city': 'Ann Arbor', 'zip_code': '48104', 'country': 'US', 'state': 'MI', 'display_address': ['117 E Liberty St', 'Ann Arbor, MI 48104']}",RoosRoast Coffee,+17343692494,$,4.5,102,[],https://www.yelp.com/biz/roosroast-coffee-ann-arbor-4?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
teaspressa-ann-arbor-ann-arbor-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 42.277368, 'longitude': -83.749204}",(734) 431-6798,647.5134804515736,FmuatgHXJ-Tude6rTPpfEQ,https://s3-media2.fl.yelpcdn.com/bphoto/T50JnaqIcbqP0KsIX1i0Pw/o.jpg,False,"{'address1': '414 S Main St', 'address2': 'Ste 115', 'address3': '', 'city': 'Ann Arbor', 'zip_code': '48104', 'country': 'US', 'state': 'MI', 'display_address': ['414 S Main St', 'Ste 115', 'Ann Arbor, MI 48104']}",Teaspressa - Ann Arbor,+17344316798,,4.0,40,"['delivery', 'pickup']",https://www.yelp.com/biz/teaspressa-ann-arbor-ann-arbor-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
mighty-good-coffee-cafe-ann-arbor,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 42.28296, 'longitude': -83.74881}",(734) 222-4514,929.9548712044552,g5zWjbpggtWRRWPnqNXgxQ,https://s3-media2.fl.yelpcdn.com/bphoto/ERm31WPpug-StBfH8lNuxQ/o.jpg,False,"{'address1': '217 N Main St', 'address2': '', 'address3': '', 'city': 'Ann Arbor', 'zip_code': '48104', 'country': 'US', 'state': 'MI', 'display_address': ['217 N Main St', 'Ann Arbor, MI 48104']}",Mighty Good Coffee Cafe,+17342224514,$$,4.0,185,[],https://www.yelp.com/biz/mighty-good-coffee-cafe-ann-arbor?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
zingermans-coffee-co-ann-arbor,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 42.2330553084612, 'longitude': -83.748737052083}",(734) 929-6060,4966.667966358321,K3JEdw_Jc0jQFXT17zxtBw,https://s3-media3.fl.yelpcdn.com/bphoto/cmPMPe6X-WFChkf4mKmujw/o.jpg,False,"{'address1': '3723 Plaza Dr', 'address2': '', 'address3': '', 'city': 'Ann Arbor', 'zip_code': '48108', 'country': 'US', 'state': 'MI', 'display_address': ['3723 Plaza Dr', 'Ann Arbor, MI 48108']}",Zingerman's Coffee Co,+17349296060,$$,4.5,79,[],https://www.yelp.com/biz/zingermans-coffee-co-ann-arbor?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
mighty-good-coffee-ann-arbor-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 42.2574466, 'longitude': -83.6998667}",(734) 436-8580,4006.6704806062917,wvbGw7yzy09MEv4xxR_meg,https://s3-media3.fl.yelpcdn.com/bphoto/YVhZeUqClwaca4m20gU5gA/o.jpg,False,"{'address1': '3010 Washtenaw', 'address2': '', 'address3': '', 'city': 'Ann Arbor', 'zip_code': '48104', 'country': 'US', 'state': 'MI', 'display_address': ['3010 Washtenaw', 'Ann Arbor, MI 48104']}",Mighty Good Coffee,+17344368580,$$,4.0,78,[],https://www.yelp.com/biz/mighty-good-coffee-ann-arbor-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
cultivate-coffee-and-taphouse-ypsilanti,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]","{'latitude': 42.24489, 'longitude': -83.60927}",(734) 249-8993,11442.28732394703,3f0n3XrV9hYFzQqr_ZQTiQ,https://s3-media3.fl.yelpcdn.com/bphoto/HSHcjA5T7kOwl5N5y16ijQ/o.jpg,False,"{'address1': '307 N River St', 'address2': None, 'address3': '', 'city': 'Ypsilanti', 'zip_code': '48198', 'country': 'US', 'state': 'MI', 'display_address': ['307 N River St', 'Ypsilanti, MI 48198']}",Cultivate Coffee & TapHouse,+17342498993,$$,4.5,175,[],https://www.yelp.com/biz/cultivate-coffee-and-taphouse-ypsilanti?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
