alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
east-pole-coffee-co-atlanta-7,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 33.8108099, 'longitude': -84.37846}",(404) 939-6498,548.8998891475438,TSxdVJQIDR7fqPzAzlT79A,https://s3-media3.fl.yelpcdn.com/bphoto/vIF2m2P5PF4DvXTzilbhiQ/o.jpg,False,"{'address1': '255 Ottley Dr', 'address2': 'Ste 105', 'address3': '', 'city': 'Atlanta', 'zip_code': '30324', 'country': 'US', 'state': 'GA', 'display_address': ['255 Ottley Dr', 'Ste 105', 'Atlanta, GA 30324']}",East Pole Coffee Co.,+14049396498,$,4.5,99,[],https://www.yelp.com/biz/east-pole-coffee-co-atlanta-7?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
moonbird-coffee-atlanta,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 33.8922122049807, 'longitude': -84.3009664109111}",(678) 332-7280,11053.71183492184,6LSnmy57Q2iUO5ObbrhsBQ,https://s3-media1.fl.yelpcdn.com/bphoto/XKD3dRoGAQX_LfwsLzbN1w/o.jpg,False,"{'address1': '5394 Peachtree Rd', 'address2': '', 'address3': None, 'city': 'Atlanta', 'zip_code': '30341', 'country': 'US', 'state': 'GA', 'display_address': ['5394 Peachtree Rd', 'Atlanta, GA 30341']}",Moonbird Coffee,+16783327280,$,5.0,96,[],https://www.yelp.com/biz/moonbird-coffee-atlanta?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
brash-coffee-atlanta-4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 33.842003, 'longitude': -84.386072}",,3401.438126817118,_0jwczJo5LaSo8e6liyS4Q,https://s3-media2.fl.yelpcdn.com/bphoto/SEo3MDCD9hdpsmz7-AW7JQ/o.jpg,False,"{'address1': '130 West Paces Ferry Rd NW', 'address2': '', 'address3': None, 'city': 'Atlanta', 'zip_code': '30305', 'country': 'US', 'state': 'GA', 'display_address': ['130 West Paces Ferry Rd NW', 'Atlanta, GA 30305']}",Brash Coffee,,$$,4.5,25,[],https://www.yelp.com/biz/brash-coffee-atlanta-4?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
ébrìk-coffee-room-atlanta,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 33.7552477504863, 'longitude': -84.3881651478313}",(404) 330-0119,6561.787794511399,FVHhIm3Qgtj1xlOUuD5yXA,https://s3-media3.fl.yelpcdn.com/bphoto/brInpdYH6Y-m1sEbIbpazw/o.jpg,False,"{'address1': '16 Park Pl SE', 'address2': '', 'address3': None, 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['16 Park Pl SE', 'Atlanta, GA 30303']}",Ébrìk Coffee Room,+14043300119,$,4.5,299,[],https://www.yelp.com/biz/%C3%A9br%C3%ACk-coffee-room-atlanta?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
chattahoochee-coffee-company-atlanta-8,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 33.896601891727, 'longitude': -84.445083063173}",(770) 955-0788,11380.526255476541,byuYfWgUbep6tQiH3F5Yjw,https://s3-media2.fl.yelpcdn.com/bphoto/YZGz6JU2zICG2IFZYiLlPQ/o.jpg,False,"{'address1': '6640 Akers Mill Rd SE', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30339', 'country': 'US', 'state': 'GA', 'display_address': ['6640 Akers Mill Rd SE', 'Atlanta, GA 30339']}",Chattahoochee Coffee Company,+17709550788,$,4.5,335,[],https://www.yelp.com/biz/chattahoochee-coffee-company-atlanta-8?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
dancing-goats-coffee-bar-atlanta,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 33.7714229890842, 'longitude': -84.3674024200388}",(404) 874-0370,4682.307554035702,4upVxMjwp32xbEBBULewoQ,https://s3-media3.fl.yelpcdn.com/bphoto/k00Q9Z54W452Rmkk0Sntag/o.jpg,False,"{'address1': '650 N Ave NE', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30308', 'country': 'US', 'state': 'GA', 'display_address': ['650 N Ave NE', 'Atlanta, GA 30308']}",Dancing Goats Coffee Bar,+14048740370,$,4.0,375,[],https://www.yelp.com/biz/dancing-goats-coffee-bar-atlanta?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
taproom-coffee-atlanta,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]","{'latitude': 33.7518499, 'longitude': -84.3233922}",(404) 464-5435,8252.965469831279,sqsv0_YXfs7r1py-d1WBXQ,https://s3-media4.fl.yelpcdn.com/bphoto/FVO3kd49Dr8QOiMB4HkbiQ/o.jpg,False,"{'address1': '1963 Hosea L Williams Dr', 'address2': 'Ste R106', 'address3': '', 'city': 'Atlanta', 'zip_code': '30317', 'country': 'US', 'state': 'GA', 'display_address': ['1963 Hosea L Williams Dr', 'Ste R106', 'Atlanta, GA 30317']}",Taproom Coffee,+14044645435,$,4.5,186,[],https://www.yelp.com/biz/taproom-coffee-atlanta?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
spiller-park-coffee-atlanta-5,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 33.815335, 'longitude': -84.311954}",(404) 823-5737,5702.561979579359,-bOmRRhtdCiRzhPGEV63xw,https://s3-media3.fl.yelpcdn.com/bphoto/_HliX35zEM2uwVjvWPBuvg/o.jpg,False,"{'address1': '2929 N Druid Hills Rd NE', 'address2': '', 'address3': None, 'city': 'Atlanta', 'zip_code': '30329', 'country': 'US', 'state': 'GA', 'display_address': ['2929 N Druid Hills Rd NE', 'Atlanta, GA 30329']}",Spiller Park Coffee,+14048235737,$,4.0,91,[],https://www.yelp.com/biz/spiller-park-coffee-atlanta-5?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
octane-westside-atlanta,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 33.7792577418896, 'longitude': -84.4101894792082}",(404) 815-9886,5066.605596802776,gQjjITQHLhpn6VN99q8BsQ,https://s3-media4.fl.yelpcdn.com/bphoto/eRr1JlyqznnKJ_78BUJLDg/o.jpg,False,"{'address1': '1009 Marietta St NW', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30318', 'country': 'US', 'state': 'GA', 'display_address': ['1009 Marietta St NW', 'Atlanta, GA 30318']}",Octane Westside,+14048159886,$,4.0,680,[],https://www.yelp.com/biz/octane-westside-atlanta?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
land-of-a-thousand-hills-coffee-atlanta,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]","{'latitude': 33.793206, 'longitude': -84.39557}",(470) 344-0197,3008.1885353131124,8HXijvCIDDcFIZQSQcM_8Q,https://s3-media2.fl.yelpcdn.com/bphoto/16ZD6FOo1MML6hE0a-FVwQ/o.jpg,False,"{'address1': '232 19th St', 'address2': 'Ste 7100', 'address3': '', 'city': 'Atlanta', 'zip_code': '30363', 'country': 'US', 'state': 'GA', 'display_address': ['232 19th St', 'Ste 7100', 'Atlanta, GA 30363']}",Land of a Thousand Hills Coffee,+14703440197,$,4.0,167,[],https://www.yelp.com/biz/land-of-a-thousand-hills-coffee-atlanta?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
octane-atlanta-tech-village-atlanta,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 33.84866, 'longitude': -84.37333}",(404) 994-3896,3951.2906855556544,QXGYT47tq5FQZuRAy11WYg,https://s3-media3.fl.yelpcdn.com/bphoto/BDKZ-kOLezGoHdGLQrVHMA/o.jpg,False,"{'address1': '3423 Piedmont Rd NE', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30305', 'country': 'US', 'state': 'GA', 'display_address': ['3423 Piedmont Rd NE', 'Atlanta, GA 30305']}",Octane Atlanta Tech Village,+14049943896,$,4.0,101,[],https://www.yelp.com/biz/octane-atlanta-tech-village-atlanta?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
brash-coffee-atlanta-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 33.7855442508317, 'longitude': -84.4119351323919}",(470) 575-5077,4689.95051233804,k9vdw3rNs4-4DFyeZfyU_Q,https://s3-media4.fl.yelpcdn.com/bphoto/Cx1VdhlJbStufH5FLVYjww/o.jpg,False,"{'address1': '1168 Howell Mill Rd Nw', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30318', 'country': 'US', 'state': 'GA', 'display_address': ['1168 Howell Mill Rd Nw', 'Atlanta, GA 30318']}",Brash Coffee,+14705755077,$$,4.5,105,[],https://www.yelp.com/biz/brash-coffee-atlanta-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
cultivate-food-and-coffee-atlanta-2,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 33.807992, 'longitude': -84.413089}",(404) 600-2964,3691.843287616474,UG6_dVkv1I5AV7NS3CG6Kg,https://s3-media1.fl.yelpcdn.com/bphoto/ZmtcKAIs6iF1VV9vZ8bdbg/o.jpg,False,"{'address1': '1952 Howell Mill Rd', 'address2': 'Ste 200', 'address3': '', 'city': 'Atlanta', 'zip_code': '30318', 'country': 'US', 'state': 'GA', 'display_address': ['1952 Howell Mill Rd', 'Ste 200', 'Atlanta, GA 30318']}",Cultivate Food and Coffee,+14046002964,$$,4.0,78,[],https://www.yelp.com/biz/cultivate-food-and-coffee-atlanta-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
academy-coffee-atlanta-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 33.7576891528157, 'longitude': -84.3653005646501}",,6221.742182060583,Ijw2j7jhF2lKmsadz7-Nmw,https://s3-media1.fl.yelpcdn.com/bphoto/PnAKLn62STLFnU6XgmS3OQ/o.jpg,False,"{'address1': '660 Irwin St NE', 'address2': '', 'address3': None, 'city': 'Atlanta', 'zip_code': '30312', 'country': 'US', 'state': 'GA', 'display_address': ['660 Irwin St NE', 'Atlanta, GA 30312']}",Academy Coffee,,,5.0,26,[],https://www.yelp.com/biz/academy-coffee-atlanta-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
chattahoochee-coffee-company-atlanta-6,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 33.7870843852516, 'longitude': -84.4137239457724}",(470) 225-6981,4708.3366494602205,L11XDJgKVBHUImocsTxwzQ,https://s3-media1.fl.yelpcdn.com/bphoto/SVOTX_hbXh1QpOKYNpVGtw/o.jpg,False,"{'address1': '790 Huff Rd NW', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30318', 'country': 'US', 'state': 'GA', 'display_address': ['790 Huff Rd NW', 'Atlanta, GA 30318']}",Chattahoochee Coffee Company,+14702256981,$,4.0,132,[],https://www.yelp.com/biz/chattahoochee-coffee-company-atlanta-6?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
