alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
mozarts-coffee-roasters-austin,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 30.2955449740542, 'longitude': -97.7841031551361}",(512) 477-2900,2749.0635658002484,-4ofMtrD7pSpZIX5pnDkig,https://s3-media1.fl.yelpcdn.com/bphoto/orFA3hWzb5Vtydwiok8h8g/o.jpg,False,"{'address1': '3826 Lake Austin Blvd', 'address2': '', 'address3': '', 'city': 'Austin', 'zip_code': '78703', 'country': 'US', 'state': 'TX', 'display_address': ['3826 Lake Austin Blvd', 'Austin, TX 78703']}",Mozart's Coffee Roasters,+15124772900,$$,4.0,1243,[],https://www.yelp.com/biz/mozarts-coffee-roasters-austin?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
summermoon-coffee-bar-austin-16,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 30.39442, 'longitude': -97.72019}",(737) 300-1265,10554.827153884866,wP5mU6WLU5y6NVLm1NpPBA,https://s3-media1.fl.yelpcdn.com/bphoto/iHPiNYc-e3oO5va6rjuGUQ/o.jpg,False,"{'address1': '11005 Burnet Rd', 'address2': 'Ste 112', 'address3': '', 'city': 'Austin', 'zip_code': '78758', 'country': 'US', 'state': 'TX', 'display_address': ['11005 Burnet Rd', 'Ste 112', 'Austin, TX 78758']}",Summermoon Coffee Bar,+17373001265,$,4.5,460,[],https://www.yelp.com/biz/summermoon-coffee-bar-austin-16?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
summermoon-coffee-bar-austin-15,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 30.23323, 'longitude': -97.76485}",(512) 804-1665,8026.191814901962,W-vmx7fKenv6GX-lVhCXbg,https://s3-media1.fl.yelpcdn.com/bphoto/WITwyWCpJMBT91BTqdbq-g/o.jpg,False,"{'address1': '3115 S 1st St', 'address2': 'Ste 1B', 'address3': '', 'city': 'Austin', 'zip_code': '78704', 'country': 'US', 'state': 'TX', 'display_address': ['3115 S 1st St', 'Ste 1B', 'Austin, TX 78704']}",Summermoon Coffee Bar,+15128041665,$,4.0,859,[],https://www.yelp.com/biz/summermoon-coffee-bar-austin-15?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
houndstooth-coffee-austin,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 30.3105879441575, 'longitude': -97.7400099372758}",(512) 531-9417,1804.298990180798,-4bP1UUgpZumIu6DZMaMzw,https://s3-media3.fl.yelpcdn.com/bphoto/QvQFoHDsHPtvAjEXFcRysw/o.jpg,False,"{'address1': '4200 N Lamar Blvd', 'address2': 'Ste 120', 'address3': '', 'city': 'Austin', 'zip_code': '78756', 'country': 'US', 'state': 'TX', 'display_address': ['4200 N Lamar Blvd', 'Ste 120', 'Austin, TX 78756']}",Houndstooth Coffee,+15125319417,$$,4.0,514,[],https://www.yelp.com/biz/houndstooth-coffee-austin?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
monkey-nest-coffee-austin-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 30.32769, 'longitude': -97.73941}",(512) 505-8033,3057.293866110492,szqma4QibwpVaA9fsE8soQ,https://s3-media4.fl.yelpcdn.com/bphoto/Cu5kQ4VosbYRaTRqgR2HLg/o.jpg,False,"{'address1': '5353 Burnet Rd', 'address2': '', 'address3': '', 'city': 'Austin', 'zip_code': '78756', 'country': 'US', 'state': 'TX', 'display_address': ['5353 Burnet Rd', 'Austin, TX 78756']}",Monkey Nest Coffee,+15125058033,$,4.0,601,['delivery'],https://www.yelp.com/biz/monkey-nest-coffee-austin-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
houndstooth-coffee-austin-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 30.2661539768833, 'longitude': -97.7430225306884}",(512) 394-6051,4560.721725310211,GupWM1mEHLk6ls_9OUoS9w,https://s3-media3.fl.yelpcdn.com/bphoto/9jniKEu2CN3cBUN_xbsdlA/o.jpg,False,"{'address1': '401 Congress Ave', 'address2': 'Ste 100C', 'address3': '', 'city': 'Austin', 'zip_code': '78701', 'country': 'US', 'state': 'TX', 'display_address': ['401 Congress Ave', 'Ste 100C', 'Austin, TX 78701']}",Houndstooth Coffee,+15123946051,$$,4.5,293,[],https://www.yelp.com/biz/houndstooth-coffee-austin-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
revival-coffee-austin-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]","{'latitude': 30.26427, 'longitude': -97.72776}",(512) 524-0583,5379.395493736933,cMB8pX870DZzTNg1TSGRVA,https://s3-media1.fl.yelpcdn.com/bphoto/JHRzFI54GheSs4rW-HO2pg/o.jpg,False,"{'address1': '1405 E 7th St', 'address2': None, 'address3': '', 'city': 'Austin', 'zip_code': '78702', 'country': 'US', 'state': 'TX', 'display_address': ['1405 E 7th St', 'Austin, TX 78702']}",Revival Coffee,+15125240583,$,4.5,461,[],https://www.yelp.com/biz/revival-coffee-austin-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
flightpath-coffeehouse-austin,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 30.31386, 'longitude': -97.71983}",(512) 458-4472,3757.167412010965,oth4c9c1bA71pxf_fD556g,https://s3-media2.fl.yelpcdn.com/bphoto/I8xlvhnO77RPnlU3UZk-bQ/o.jpg,False,"{'address1': '5011 Duval St', 'address2': '', 'address3': '', 'city': 'Austin', 'zip_code': '78751', 'country': 'US', 'state': 'TX', 'display_address': ['5011 Duval St', 'Austin, TX 78751']}",Flightpath Coffeehouse,+15124584472,$,4.0,388,[],https://www.yelp.com/biz/flightpath-coffeehouse-austin?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
cosmic-coffee-beer-garden-austin,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'beergardens', 'title': 'Beer Gardens'}]","{'latitude': 30.2274, 'longitude': -97.76272}",(512) 481-0694,8652.530485682031,dDz2erKJ_Z2HMur0tQ_iJA,https://s3-media4.fl.yelpcdn.com/bphoto/flPb1-akOUiYhCzWMV4KEw/o.jpg,False,"{'address1': '121 Pickle Rd', 'address2': '', 'address3': None, 'city': 'Austin', 'zip_code': '78704', 'country': 'US', 'state': 'TX', 'display_address': ['121 Pickle Rd', 'Austin, TX 78704']}",Cosmic Coffee + Beer Garden,+15124810694,$$,4.5,229,[],https://www.yelp.com/biz/cosmic-coffee-beer-garden-austin?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
andersons-coffee-company-austin,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 30.3085746765137, 'longitude': -97.7504272460938}",(512) 453-1533,800.9835230353954,YAnvqg699tciMYsqQfqMjw,https://s3-media3.fl.yelpcdn.com/bphoto/zga-ZnHAGQ4_09-Iv6fmXQ/o.jpg,False,"{'address1': '1601 W 38th St', 'address2': '', 'address3': '', 'city': 'Austin', 'zip_code': '78701', 'country': 'US', 'state': 'TX', 'display_address': ['1601 W 38th St', 'Austin, TX 78701']}",Anderson's Coffee Company,+15124531533,$$,4.5,129,[],https://www.yelp.com/biz/andersons-coffee-company-austin?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
epoch-coffee-austin-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 30.3186, 'longitude': -97.72457}",(512) 454-3762,3518.5403839510423,krzzyozIVGC7pX1lfVO40w,https://s3-media4.fl.yelpcdn.com/bphoto/YUeC32WhW1PoDVrGrrkHkA/o.jpg,False,"{'address1': '221 W North Loop Blvd', 'address2': None, 'address3': '', 'city': 'Austin', 'zip_code': '78751', 'country': 'US', 'state': 'TX', 'display_address': ['221 W North Loop Blvd', 'Austin, TX 78751']}",Epoch Coffee,+15124543762,$,4.0,765,[],https://www.yelp.com/biz/epoch-coffee-austin-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
