alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
thinking-cup-boston-5,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 42.351734691006, 'longitude': -71.0746758944958}",(617) 247-3333,516.6797579429581,06feX4qEHFMcPZsiWtvYfw,https://s3-media2.fl.yelpcdn.com/bphoto/QKyY2_3HLz5e2DkFBh9-fQ/o.jpg,False,"{'address1': '85 Newbury St', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02116', 'country': 'US', 'state': 'MA', 'display_address': ['85 Newbury St', 'Boston, MA 02116']}",Thinking Cup,+16172473333,$$,4.5,720,[],https://www.yelp.com/biz/thinking-cup-boston-5?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
ogawa-coffee-boston-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 42.3568572843331, 'longitude': -71.0580796438568}",(617) 780-7139,1474.8203139964023,e4r0wRKY_iNdmDffnV0ntw,https://s3-media2.fl.yelpcdn.com/bphoto/n7lbeRC8IMsRVvf472HZDg/o.jpg,False,"{'address1': '10 Milk St', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02108', 'country': 'US', 'state': 'MA', 'display_address': ['10 Milk St', 'Boston, MA 02108']}",Ogawa Coffee,+16177807139,$$,4.0,505,[],https://www.yelp.com/biz/ogawa-coffee-boston-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
render-coffee-boston,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 42.34115, 'longitude': -71.08149}",(617) 262-4142,1127.21705249792,rXxC_ZH58EItO3m5PASzEA,https://s3-media3.fl.yelpcdn.com/bphoto/QfIpYoWpX0wjNWQcgVTg7Q/o.jpg,False,"{'address1': '563 Columbus Ave', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02118', 'country': 'US', 'state': 'MA', 'display_address': ['563 Columbus Ave', 'Boston, MA 02118']}",Render Coffee,+16172624142,$,4.5,469,[],https://www.yelp.com/biz/render-coffee-boston?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
polcaris-coffee-boston,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 42.36401, 'longitude': -71.0555}",(617) 227-0786,2215.1282437690415,y5lCCZ4YZk4jLSmBaATOmw,https://s3-media2.fl.yelpcdn.com/bphoto/TcD9fkxx7NOB5uvuFqUutQ/o.jpg,False,"{'address1': '105 Salem St', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02113', 'country': 'US', 'state': 'MA', 'display_address': ['105 Salem St', 'Boston, MA 02113']}",Polcari's Coffee,+16172270786,$$,5.0,177,[],https://www.yelp.com/biz/polcaris-coffee-boston?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
jaho-coffee-roaster-and-wine-bar-boston,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 42.35183, 'longitude': -71.06322}",(857) 233-4094,789.2254829541502,iiDu_dHw-uB6kR_hVthKEw,https://s3-media2.fl.yelpcdn.com/bphoto/EvZocPDDiEHmJv7bjkDfaw/o.jpg,False,"{'address1': '665 Washington St', 'address2': None, 'address3': '', 'city': 'Boston', 'zip_code': '02116', 'country': 'US', 'state': 'MA', 'display_address': ['665 Washington St', 'Boston, MA 02116']}",Jaho Coffee Roaster & Wine Bar,+18572334094,$$,4.0,283,[],https://www.yelp.com/biz/jaho-coffee-roaster-and-wine-bar-boston?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
thinking-cup-boston-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 42.3539, 'longitude': -71.06372}",(617) 482-5555,919.6238885523293,YPMMkUSAvZX4K-JsUbREyQ,https://s3-media1.fl.yelpcdn.com/bphoto/uq8aFbuP_gJv4q-qNqjT2g/o.jpg,False,"{'address1': '165 Tremont St', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02111', 'country': 'US', 'state': 'MA', 'display_address': ['165 Tremont St', 'Boston, MA 02111']}",Thinking Cup,+16174825555,$$,4.0,1117,[],https://www.yelp.com/biz/thinking-cup-boston-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
gracenote-coffee-boston-6,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 42.3515995758639, 'longitude': -71.0581312420251}",,1155.7082910555873,943fBDjPbEE600gMhQH9og,https://s3-media1.fl.yelpcdn.com/bphoto/FwPWtJNicg_L_GiA7VIIrQ/o.jpg,False,"{'address1': '108 Lincoln St', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02111', 'country': 'US', 'state': 'MA', 'display_address': ['108 Lincoln St', 'Boston, MA 02111']}",Gracenote Coffee,,$$,4.5,154,[],https://www.yelp.com/biz/gracenote-coffee-boston-6?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
wired-puppy-boston-boston,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 42.34932, 'longitude': -71.08259}",(857) 366-4655,950.6898526321024,3vxuGl0XyxH38EqlZj8dXQ,https://s3-media4.fl.yelpcdn.com/bphoto/9X1iQov7wZ0vq4GVbCKuEQ/o.jpg,False,"{'address1': '250 Newbury Street', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02116', 'country': 'US', 'state': 'MA', 'display_address': ['250 Newbury Street', 'Boston, MA 02116']}",Wired Puppy Boston,+18573664655,$$,4.0,395,[],https://www.yelp.com/biz/wired-puppy-boston-boston?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
cuppacoffee-boston-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 42.343919, 'longitude': -71.062498}",(857) 317-2148,840.7185670871472,YMFXenoS7lSk897eXuoUjg,https://s3-media4.fl.yelpcdn.com/bphoto/nuBDsyC0bGERexcULrSt-w/o.jpg,False,"{'address1': '57 Traveler St', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02118', 'country': 'US', 'state': 'MA', 'display_address': ['57 Traveler St', 'Boston, MA 02118']}",Cuppacoffee,+18573172148,$,4.0,58,"['pickup', 'delivery']",https://www.yelp.com/biz/cuppacoffee-boston-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
flour-bakery-café-boston-5,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 42.3482569197856, 'longitude': -71.0738261386231}",(617) 437-7700,217.22324347042272,RjIpiZLefONlg4SfWUjirg,https://s3-media2.fl.yelpcdn.com/bphoto/bMjSN-QDoGRLLzhSgOyZAw/o.jpg,False,"{'address1': '131 Clarendon St', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02116', 'country': 'US', 'state': 'MA', 'display_address': ['131 Clarendon St', 'Boston, MA 02116']}",Flour Bakery + Café,+16174377700,$$,4.0,954,[],https://www.yelp.com/biz/flour-bakery-caf%C3%A9-boston-5?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
