alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
hex-coffee-charlotte,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.2025308982957, 'longitude': -80.865874888432}",(704) 315-9852,3290.11444053907,ennFew0_Sy91zqm3HPmO_w,https://s3-media1.fl.yelpcdn.com/bphoto/Scg7bYjJv-2EHb8O1g78GA/o.jpg,False,"{'address1': '125 Remount Rd', 'address2': '', 'address3': '', 'city': 'Charlotte', 'zip_code': '28203', 'country': 'US', 'state': 'NC', 'display_address': ['125 Remount Rd', 'Charlotte, NC 28203']}",Hex Coffee,+17043159852,$$,4.5,85,[],https://www.yelp.com/biz/hex-coffee-charlotte?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
not-just-coffee-7th-street-charlotte-4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.2277626, 'longitude': -80.8379816}",(704) 817-3868,3587.1192969555027,V1cWGBZLQLyIiyo0iUOnyg,https://s3-media3.fl.yelpcdn.com/bphoto/K6SK6CtqmOm4ZbjRh1_olQ/o.jpg,False,"{'address1': '224 E 7th St', 'address2': '', 'address3': '', 'city': 'Charlotte', 'zip_code': '28202', 'country': 'US', 'state': 'NC', 'display_address': ['224 E 7th St', 'Charlotte, NC 28202']}",Not Just Coffee - 7th Street,+17048173868,$,4.5,465,[],https://www.yelp.com/biz/not-just-coffee-7th-street-charlotte-4?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
smelly-cat-coffee-charlotte,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 35.2474048, 'longitude': -80.8043246}",(704) 374-9656,6183.645378035817,bZtukyhyV1oVmUU3yRBPbQ,https://s3-media3.fl.yelpcdn.com/bphoto/ecoNxhVE0WOA0597sEX4Zw/o.jpg,False,"{'address1': '514 E 36th St', 'address2': '', 'address3': '', 'city': 'Charlotte', 'zip_code': '28205', 'country': 'US', 'state': 'NC', 'display_address': ['514 E 36th St', 'Charlotte, NC 28205']}",Smelly Cat Coffee,+17043749656,$,4.5,428,[],https://www.yelp.com/biz/smelly-cat-coffee-charlotte?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
not-just-coffee-south-end-charlotte,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.2092576152321, 'longitude': -80.8608619032745}",(980) 579-0346,3120.698807959938,dYMUgI8lJbBzfuzQWH85bg,https://s3-media2.fl.yelpcdn.com/bphoto/8UnhshCEOnqQX0qan-BiHQ/o.jpg,False,"{'address1': '2000 South Blvd', 'address2': 'Ste 130', 'address3': None, 'city': 'Charlotte', 'zip_code': '28203', 'country': 'US', 'state': 'NC', 'display_address': ['2000 South Blvd', 'Ste 130', 'Charlotte, NC 28203']}",Not Just Coffee - South End,+19805790346,$$,4.5,123,[],https://www.yelp.com/biz/not-just-coffee-south-end-charlotte?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
mugs-coffee-charlotte,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.1605103220939, 'longitude': -80.8500689134918}",(704) 733-9014,4335.478070953913,ns7l8kUDyLnrvWRNACZ6uA,https://s3-media4.fl.yelpcdn.com/bphoto/JCp6mOx6ZB0xzfUQnfPBMA/o.jpg,False,"{'address1': '5126 Park Rd', 'address2': 'Ste 1D', 'address3': '', 'city': 'Charlotte', 'zip_code': '28209', 'country': 'US', 'state': 'NC', 'display_address': ['5126 Park Rd', 'Ste 1D', 'Charlotte, NC 28209']}",Mugs Coffee,+17047339014,$,4.5,148,[],https://www.yelp.com/biz/mugs-coffee-charlotte?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
dunx-coffee-charlotte-3,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 35.1744165021422, 'longitude': -80.8480637234493}",(704) 830-4543,2888.054123551451,dcq_GUrFOKlSDLk28qLeTA,https://s3-media2.fl.yelpcdn.com/bphoto/4jb9G-yu7p-RThq-aeACHw/o.jpg,False,"{'address1': '4101 Park Rd', 'address2': None, 'address3': None, 'city': 'Charlotte', 'zip_code': '28209', 'country': 'US', 'state': 'NC', 'display_address': ['4101 Park Rd', 'Charlotte, NC 28209']}",Dunx Coffee,+17048304543,,5.0,7,[],https://www.yelp.com/biz/dunx-coffee-charlotte-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
basal-coffee-charlotte,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.2275556837598, 'longitude': -80.8654716610909}",(704) 302-3590,4724.596227049452,13vSO0lSwiubsF1uhbEymg,https://s3-media3.fl.yelpcdn.com/bphoto/WLoUDYJT3qS33KszYQ1xhw/o.jpg,False,"{'address1': '1429 Bryant St', 'address2': '', 'address3': None, 'city': 'Charlotte', 'zip_code': '28208', 'country': 'US', 'state': 'NC', 'display_address': ['1429 Bryant St', 'Charlotte, NC 28208']}",Basal Coffee,+17043023590,$,5.0,53,[],https://www.yelp.com/biz/basal-coffee-charlotte?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
undercurrent-coffee-charlotte,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 35.21827, 'longitude': -80.8118}",(980) 498-7328,2997.474637273296,GaA2yuytF13P41DpmbLwoQ,https://s3-media1.fl.yelpcdn.com/bphoto/3-LFc80lqmhAO7wSjyqv0w/o.jpg,False,"{'address1': '2012 Commonwealth Ave', 'address2': '', 'address3': None, 'city': 'Charlotte', 'zip_code': '28205', 'country': 'US', 'state': 'NC', 'display_address': ['2012 Commonwealth Ave', 'Charlotte, NC 28205']}",Undercurrent Coffee,+19804987328,$,4.5,85,[],https://www.yelp.com/biz/undercurrent-coffee-charlotte?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
central-coffee-company-charlotte,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.221497, 'longitude': -80.822002}",(704) 335-7288,2930.486181517286,8yEFijvcNQ9JIGVWc3EgUw,https://s3-media4.fl.yelpcdn.com/bphoto/44ycEy_tvNWNu83Nrj2QIA/o.jpg,False,"{'address1': '719 Louise Ave', 'address2': '', 'address3': '', 'city': 'Charlotte', 'zip_code': '28204', 'country': 'US', 'state': 'NC', 'display_address': ['719 Louise Ave', 'Charlotte, NC 28204']}",Central Coffee Company,+17043357288,$,4.5,228,[],https://www.yelp.com/biz/central-coffee-company-charlotte?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
not-just-coffee-providence-charlotte,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 35.20424, 'longitude': -80.82421}",,1068.3816024337898,HAXjba6v37josNc_WJUW9g,https://s3-media4.fl.yelpcdn.com/bphoto/HK-hsQlNfNOcDjCELSWQhQ/o.jpg,False,"{'address1': '421 Providence Rd', 'address2': '', 'address3': None, 'city': 'Charlotte', 'zip_code': '28207', 'country': 'US', 'state': 'NC', 'display_address': ['421 Providence Rd', 'Charlotte, NC 28207']}",Not Just Coffee - Providence,,$$,5.0,3,[],https://www.yelp.com/biz/not-just-coffee-providence-charlotte?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
