alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
the-wormhole-coffee-chicago,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 41.90828, 'longitude': -87.67471}",(773) 661-2468,435.88238733594625,jImBrAd65LeLWne9lfK2tg,https://s3-media1.fl.yelpcdn.com/bphoto/Ih_eW4YVmv99pAUG895TQg/o.jpg,False,"{'address1': '1462 N Milwaukee Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['1462 N Milwaukee Ave', 'Chicago, IL 60622']}",The Wormhole Coffee,+17736612468,$,4.5,1066,[],https://www.yelp.com/biz/the-wormhole-coffee-chicago?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
purple-llama-chicago-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'vinyl_records', 'title': 'Vinyl Records'}]","{'latitude': 41.90338, 'longitude': -87.68131}",(773) 687-9900,360.17979811989926,RPM72yznTH3x6rQGR4AGGQ,https://s3-media3.fl.yelpcdn.com/bphoto/FzMgGVjPqU9lDZhr6HNLCQ/o.jpg,False,"{'address1': '2140 W Division St', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['2140 W Division St', 'Chicago, IL 60622']}",Purple Llama,+17736879900,$$,4.5,53,[],https://www.yelp.com/biz/purple-llama-chicago-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
ipsento-606-chicago,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 41.91443, 'longitude': -87.68326}",(872) 206-8697,1127.2383498497604,cLaMG2ztKxqqLhRRpP9HNg,https://s3-media1.fl.yelpcdn.com/bphoto/5N6MNtpYk8lnJ-HtJFBmTg/o.jpg,False,"{'address1': '1813 N Milwaukee Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['1813 N Milwaukee Ave', 'Chicago, IL 60647']}",Ipsento 606,+18722068697,$$,4.5,223,[],https://www.yelp.com/biz/ipsento-606-chicago?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
sawada-coffee-chicago,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 41.8836669921875, 'longitude': -87.6489334106445}",(312) 754-0431,3385.8160474523384,G-LUoHk_E_XCjSoSsaflFw,https://s3-media4.fl.yelpcdn.com/bphoto/byHwU3txl2u1TPs90Jsdqw/o.jpg,False,"{'address1': '112 N Green St', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60607', 'country': 'US', 'state': 'IL', 'display_address': ['112 N Green St', 'Chicago, IL 60607']}",Sawada Coffee,+13127540431,$$,4.5,541,[],https://www.yelp.com/biz/sawada-coffee-chicago?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
star-lounge-coffee-bar-chicago,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 41.89544, 'longitude': -87.69017}",(773) 384-7827,1485.5016891028706,Bj-hbYQLeoJd422inI6E2A,https://s3-media2.fl.yelpcdn.com/bphoto/P_-o3iTAIo3VO5_9w-S1kg/o.jpg,False,"{'address1': '2521 W Chicago Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['2521 W Chicago Ave', 'Chicago, IL 60622']}",Star Lounge Coffee Bar,+17733847827,$,4.5,516,[],https://www.yelp.com/biz/star-lounge-coffee-bar-chicago?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
damn-fine-coffee-bar-chicago-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 41.9173326747872, 'longitude': -87.7108700909343}",(773) 904-7051,3055.605065531589,psDogNivrOWDdQV_TrgtCQ,https://s3-media2.fl.yelpcdn.com/bphoto/ViIzYxGKutfBu2aFPdkOEQ/o.jpg,False,"{'address1': '3317 W Armitage Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['3317 W Armitage Ave', 'Chicago, IL 60647']}",Damn Fine Coffee Bar,+17739047051,$,4.5,73,[],https://www.yelp.com/biz/damn-fine-coffee-bar-chicago-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
cc-ferns-coffee-bar-and-spirits-chicago,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 41.8994049, 'longitude': -87.6970885}",(773) 384-2547,1729.6733772151738,BpwVIB258we6x2XwekpFug,https://s3-media4.fl.yelpcdn.com/bphoto/qwINywoHkPaeY4mS1XOKXQ/o.jpg,False,"{'address1': '2806 W Augusta Blvd', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['2806 W Augusta Blvd', 'Chicago, IL 60622']}",CC Ferns Coffee Bar & Spirits,+17733842547,$$,4.5,133,[],https://www.yelp.com/biz/cc-ferns-coffee-bar-and-spirits-chicago?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
dark-matter-coffee-the-mothership-chicago,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 41.89508, 'longitude': -87.68723}",(773) 697-8472,1366.683552093674,LzSy-jphOHeHEKDAMJgKfA,https://s3-media3.fl.yelpcdn.com/bphoto/5fLYnGnDJkjYjw6J8tdFxA/o.jpg,False,"{'address1': '738 N Western Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60612', 'country': 'US', 'state': 'IL', 'display_address': ['738 N Western Ave', 'Chicago, IL 60612']}",Dark Matter Coffee - The Mothership,+17736978472,$$,4.5,201,[],https://www.yelp.com/biz/dark-matter-coffee-the-mothership-chicago?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
ipsento-chicago,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 41.9186515808105, 'longitude': -87.6871032714844}",(773) 904-8177,1687.467688285902,CZAVqR6lI50rVbN7E78aHA,https://s3-media2.fl.yelpcdn.com/bphoto/6X1JnKumfOoW61iH8s3UUg/o.jpg,False,"{'address1': '2035 N Western Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['2035 N Western Ave', 'Chicago, IL 60647']}",Ipsento,+17739048177,$,4.5,823,[],https://www.yelp.com/biz/ipsento-chicago?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
stone-creek-coffee-chicago,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 41.9397452, 'longitude': -87.6531545}",(773) 799-8352,4355.686525330973,tGinKM7zu4SK54LGEH1p9Q,https://s3-media1.fl.yelpcdn.com/bphoto/10yrztILqfSSyz_2ovPZ9Q/o.jpg,False,"{'address1': '939 W Belmont Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60657', 'country': 'US', 'state': 'IL', 'display_address': ['939 W Belmont Ave', 'Chicago, IL 60657']}",Stone Creek Coffee,+17737998352,,4.5,9,[],https://www.yelp.com/biz/stone-creek-coffee-chicago?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
