alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
the-86-uptown-cincinnati,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 39.1331170983711, 'longitude': -84.5106767328186}",(513) 341-8686,788.4147344932607,GeTT9xwEih3jJi497scNOg,https://s3-media2.fl.yelpcdn.com/bphoto/tmab0old25aVJZEmpyE4GQ/o.jpg,False,"{'address1': '2900 Jefferson Ave', 'address2': '', 'address3': '', 'city': 'Cincinnati', 'zip_code': '45219', 'country': 'US', 'state': 'OH', 'display_address': ['2900 Jefferson Ave', 'Cincinnati, OH 45219']}",The 86 Uptown,+15133418686,$,4.5,42,[],https://www.yelp.com/biz/the-86-uptown-cincinnati?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
coffee-emporium-cincinnati,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 39.10778, 'longitude': -84.5126}",(513) 651-5483,2167.0586539758788,1aK3rJZ73YO7NhSu2sxM1Q,https://s3-media1.fl.yelpcdn.com/bphoto/zddHm6Gk6C1bKnm5-3vQIA/o.jpg,False,"{'address1': '110 E Central Pkwy', 'address2': '', 'address3': '', 'city': 'Cincinnati', 'zip_code': '45202', 'country': 'US', 'state': 'OH', 'display_address': ['110 E Central Pkwy', 'Cincinnati, OH 45202']}",Coffee Emporium,+15136515483,$,4.5,447,[],https://www.yelp.com/biz/coffee-emporium-cincinnati?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
deeper-roots-coffee-cincinnati-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 39.1521686, 'longitude': -84.431951}",(513) 913-9489,7052.761229491604,ps77WzWFty9vWS1_fuk3_w,https://s3-media2.fl.yelpcdn.com/bphoto/4eBumKWGcZliuVAnZMY9Cw/o.jpg,False,"{'address1': '3056 Madison Rd', 'address2': '', 'address3': '', 'city': 'Cincinnati', 'zip_code': '45209', 'country': 'US', 'state': 'OH', 'display_address': ['3056 Madison Rd', 'Cincinnati, OH 45209']}",Deeper Roots Coffee,+15139139489,$,4.5,140,[],https://www.yelp.com/biz/deeper-roots-coffee-cincinnati-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
highland-coffee-house-cincinnati,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 39.13239, 'longitude': -84.50308}",(513) 861-4151,711.5941305606675,wjnLdzIPvIDNoi2l5rUfBQ,https://s3-media3.fl.yelpcdn.com/bphoto/gDpPIjWWhsdTumLhPygOnA/o.jpg,False,"{'address1': '2839 Highland Ave', 'address2': '', 'address3': '', 'city': 'Cincinnati', 'zip_code': '45219', 'country': 'US', 'state': 'OH', 'display_address': ['2839 Highland Ave', 'Cincinnati, OH 45219']}",Highland Coffee House,+15138614151,$,4.0,88,[],https://www.yelp.com/biz/highland-coffee-house-cincinnati?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
landlocked-social-house-cincinnati,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 39.1265709087128, 'longitude': -84.4966818750153}",(937) 626-4417,875.9754192473752,NJQsFqWbi7_HdH7PaJr7Qw,https://s3-media1.fl.yelpcdn.com/bphoto/j_jVddZZY9vG_k_1QGYi4Q/o.jpg,False,"{'address1': '648 E McMillan St', 'address2': '', 'address3': None, 'city': 'Cincinnati', 'zip_code': '45206', 'country': 'US', 'state': 'OH', 'display_address': ['648 E McMillan St', 'Cincinnati, OH 45206']}",Landlocked Social House,+19376264417,$,4.5,77,[],https://www.yelp.com/biz/landlocked-social-house-cincinnati?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
lolas-cincinnati-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 39.09868, 'longitude': -84.5134}",(513) 381-3173,3147.940888546451,iXv1uZY9GF36XkGmS1r40Q,https://s3-media1.fl.yelpcdn.com/bphoto/LFU2ZKvZ-E3u3XXXpA1smw/o.jpg,False,"{'address1': '24 W 3rd St', 'address2': '', 'address3': '', 'city': 'Cincinnati', 'zip_code': '45202', 'country': 'US', 'state': 'OH', 'display_address': ['24 W 3rd St', 'Cincinnati, OH 45202']}",Lola's,+15133813173,$,4.5,90,[],https://www.yelp.com/biz/lolas-cincinnati-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
bloc-coffee-company-cincinnati,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 39.10563, 'longitude': -84.55812}",(513) 429-4548,5012.9923968464245,pM1djhCeWsvahbVl-t67dA,https://s3-media2.fl.yelpcdn.com/bphoto/V-DiBiqipdfAHpMgDdw4hg/o.jpg,False,"{'address1': '801 Mt Hope Ave', 'address2': '', 'address3': '', 'city': 'Cincinnati', 'zip_code': '45204', 'country': 'US', 'state': 'OH', 'display_address': ['801 Mt Hope Ave', 'Cincinnati, OH 45204']}",BLOC Coffee Company,+15134294548,$,4.5,111,[],https://www.yelp.com/biz/bloc-coffee-company-cincinnati?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
carabello-coffee-newport,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 39.088625, 'longitude': -84.490096}",(859) 415-1587,4471.55713219045,m-5e-VIUF1ruVgcAHeYPcw,https://s3-media3.fl.yelpcdn.com/bphoto/XkTtFg1y1l4HFgM1Aob1tA/o.jpg,False,"{'address1': '107 E 9th St', 'address2': '', 'address3': '', 'city': 'Newport', 'zip_code': '41071', 'country': 'US', 'state': 'KY', 'display_address': ['107 E 9th St', 'Newport, KY 41071']}",Carabello Coffee,+18594151587,$,5.0,189,[],https://www.yelp.com/biz/carabello-coffee-newport?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
deeper-roots-coffee-cincinnati-4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 39.11595, 'longitude': -84.51806}",(513) 319-3021,1544.701743301729,eUyDZW4JUEOALNtpV0zRVA,https://s3-media2.fl.yelpcdn.com/bphoto/eo0hilxfKxK_4fQQmeF9fw/o.jpg,False,"{'address1': '1814 Race St', 'address2': None, 'address3': '', 'city': 'Cincinnati', 'zip_code': '45202', 'country': 'US', 'state': 'OH', 'display_address': ['1814 Race St', 'Cincinnati, OH 45202']}",Deeper Roots Coffee,+15133193021,$,4.5,31,[],https://www.yelp.com/biz/deeper-roots-coffee-cincinnati-4?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
collective-espresso-cincinnati-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 39.159985982507, 'longitude': -84.5396203619612}",(513) 399-7207,4659.044804547962,TDcLxGUz6EWW4FqevAwoRA,https://s3-media4.fl.yelpcdn.com/bphoto/z51soEKoO9fhQEf9z3zuXw/o.jpg,False,"{'address1': '4037 Hamilton Ave', 'address2': '', 'address3': '', 'city': 'Cincinnati', 'zip_code': '45223', 'country': 'US', 'state': 'OH', 'display_address': ['4037 Hamilton Ave', 'Cincinnati, OH 45223']}",Collective Espresso,+15133997207,$,4.5,40,[],https://www.yelp.com/biz/collective-espresso-cincinnati-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
