alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
cirque-coffee-tulsa,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 36.15234, 'longitude': -95.97485}",(918) 933-4489,2946.0717120762574,QGqSMOlvgs_YVmdrtcm-Rg,https://s3-media2.fl.yelpcdn.com/bphoto/5mXpgecOXTH7VEyffOG7hA/o.jpg,False,"{'address1': '1317 E 6th St', 'address2': '', 'address3': None, 'city': 'Tulsa', 'zip_code': '74120', 'country': 'US', 'state': 'OK', 'display_address': ['1317 E 6th St', 'Tulsa, OK 74120']}",Cirque Coffee,+19189334489,$$,4.5,55,[],https://www.yelp.com/biz/cirque-coffee-tulsa?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
918-coffee-tulsa,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 36.1476645, 'longitude': -95.9563092}",(918) 949-3221,1611.2262325083068,7MGlqAk9P481CX3JV0pUMQ,https://s3-media4.fl.yelpcdn.com/bphoto/K9bebDLUrJLDse4Yqw8HAQ/o.jpg,False,"{'address1': '2446 E 11th St', 'address2': '', 'address3': '', 'city': 'Tulsa', 'zip_code': '74104', 'country': 'US', 'state': 'OK', 'display_address': ['2446 E 11th St', 'Tulsa, OK 74104']}",918 Coffee,+19189493221,$$,4.0,64,[],https://www.yelp.com/biz/918-coffee-tulsa?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
topeca-coffee-tulsa-6,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 36.1515779, 'longitude': -95.9885571}",(918) 592-9090,3875.891878817208,gCZSTqoRZt7nahudzq2dnw,https://s3-media3.fl.yelpcdn.com/bphoto/9dGD69nC4pp5NwWkMdnbMw/o.jpg,False,"{'address1': '507 S Boston Ave', 'address2': '', 'address3': 'Philcade bldg', 'city': 'Tulsa', 'zip_code': '74103', 'country': 'US', 'state': 'OK', 'display_address': ['507 S Boston Ave', 'Philcade bldg', 'Tulsa, OK 74103']}",Topeca Coffee,+19185929090,$$,4.5,136,[],https://www.yelp.com/biz/topeca-coffee-tulsa-6?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
the-coffee-house-on-cherry-street-tulsa,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 36.14036, 'longitude': -95.97175}",(918) 779-6137,1969.4310657575647,IVvcv81f3tTpT1GpAhVOjA,https://s3-media1.fl.yelpcdn.com/bphoto/tM2RaiJuvkQugE_YsrI0Fw/o.jpg,False,"{'address1': '1502 E 15th St', 'address2': '', 'address3': '', 'city': 'Tulsa', 'zip_code': '74120', 'country': 'US', 'state': 'OK', 'display_address': ['1502 E 15th St', 'Tulsa, OK 74120']}",The Coffee House On Cherry Street,+19187796137,$$,4.0,226,[],https://www.yelp.com/biz/the-coffee-house-on-cherry-street-tulsa?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
doubleshot-coffee-company-tulsa,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 36.1385662908383, 'longitude': -95.9884305370241}",(918) 280-9243,3354.355312209866,8G9u_9UGJSaVMKjsdmmLww,https://s3-media2.fl.yelpcdn.com/bphoto/nvVqmLDCUe6LJIGGre93wQ/o.jpg,False,"{'address1': '1633 S Boulder Ave', 'address2': '', 'address3': '', 'city': 'Tulsa', 'zip_code': '74119', 'country': 'US', 'state': 'OK', 'display_address': ['1633 S Boulder Ave', 'Tulsa, OK 74119']}",DoubleShot Coffee Company,+19182809243,$$,4.5,127,[],https://www.yelp.com/biz/doubleshot-coffee-company-tulsa?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
fair-fellow-coffee-roasters-tulsa,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}, {'alias': 'galleries', 'title': 'Art Galleries'}]","{'latitude': 36.1600042, 'longitude': -95.9579717}",(918) 933-5070,2981.5584402287445,7CVV1IVynBPKdxmzgTwgcA,https://s3-media1.fl.yelpcdn.com/bphoto/H_HE9d6aeA2nSf0RG5iM5Q/o.jpg,False,"{'address1': '1 N Lewis Ave', 'address2': '', 'address3': '', 'city': 'Tulsa', 'zip_code': '74110', 'country': 'US', 'state': 'OK', 'display_address': ['1 N Lewis Ave', 'Tulsa, OK 74110']}",Fair Fellow Coffee Roasters,+19189335070,$,4.5,38,[],https://www.yelp.com/biz/fair-fellow-coffee-roasters-tulsa?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
foolish-things-coffee-company-tulsa,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 36.14667, 'longitude': -95.98705}",(918) 857-2326,3506.8418609740875,KleQnbkX1PZGgAJcDeSPIA,https://s3-media1.fl.yelpcdn.com/bphoto/LGjRDFX8IhduQR7e5Gm-iQ/o.jpg,False,"{'address1': '1001 S Main St', 'address2': '', 'address3': '', 'city': 'Tulsa', 'zip_code': '74119', 'country': 'US', 'state': 'OK', 'display_address': ['1001 S Main St', 'Tulsa, OK 74119']}",Foolish Things Coffee Company,+19188572326,$$,4.0,128,[],https://www.yelp.com/biz/foolish-things-coffee-company-tulsa?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
shades-of-brown-coffee-and-art-tulsa,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 36.11535, 'longitude': -95.97604}",(918) 747-3000,2993.0284505933196,A4Hl3SCfsrFYGFF_95fd9g,https://s3-media3.fl.yelpcdn.com/bphoto/8kcsV8t0XZoqDSS9Qat0Rg/o.jpg,False,"{'address1': '3302 S Peoria Ave', 'address2': '', 'address3': '', 'city': 'Tulsa', 'zip_code': '74192', 'country': 'US', 'state': 'OK', 'display_address': ['3302 S Peoria Ave', 'Tulsa, OK 74192']}",Shades of Brown Coffee and Art,+19187473000,$$,4.0,119,[],https://www.yelp.com/biz/shades-of-brown-coffee-and-art-tulsa?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
triangle-coffee-tulsa,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 36.15368, 'longitude': -95.98874}",(918) 582-5716,4014.971176638644,9pHtUMS1WUwKzyGMOwbJTw,https://s3-media4.fl.yelpcdn.com/bphoto/1VWJ0U_HDhqgin3o911Q5Q/o.jpg,False,"{'address1': '314 S Cincinnati Ave', 'address2': None, 'address3': '', 'city': 'Tulsa', 'zip_code': '74103', 'country': 'US', 'state': 'OK', 'display_address': ['314 S Cincinnati Ave', 'Tulsa, OK 74103']}",Triangle Coffee,+19185825716,$,4.5,12,[],https://www.yelp.com/biz/triangle-coffee-tulsa?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
chimera-tulsa,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 36.15882, 'longitude': -95.99422}",(918) 779-4303,4721.998207804778,0lgEDly0jyZ9uUnVk28BNA,https://s3-media4.fl.yelpcdn.com/bphoto/rtDhh5qjC6CtwUaMDndiTg/o.jpg,False,"{'address1': '212 N Main St', 'address2': '', 'address3': '', 'city': 'Tulsa', 'zip_code': '74103', 'country': 'US', 'state': 'OK', 'display_address': ['212 N Main St', 'Tulsa, OK 74103']}",Chimera,+19187794303,$$,4.5,481,[],https://www.yelp.com/biz/chimera-tulsa?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
