alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
merit-coffee-dallas,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 32.78392, 'longitude': -96.78487}",(469) 248-3440,6300.367803590965,wTowe0y_AITgrYQHfuNm6g,https://s3-media4.fl.yelpcdn.com/bphoto/5jGts5qx-s2U6OpC50JSdw/o.jpg,False,"{'address1': '2639 Main St', 'address2': 'Ste 140', 'address3': None, 'city': 'Dallas', 'zip_code': '75226', 'country': 'US', 'state': 'TX', 'display_address': ['2639 Main St', 'Ste 140', 'Dallas, TX 75226']}",Merit Coffee,+14692483440,,5.0,16,[],https://www.yelp.com/biz/merit-coffee-dallas?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
la-la-land-kind-cafe-dallas,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 32.81528, 'longitude': -96.77114}",(214) 579-9550,3810.804517474226,eDft8KCi0nA-tGJFmR7xww,https://s3-media3.fl.yelpcdn.com/bphoto/dJ-BHmVUvckdN9a0fmDsag/o.jpg,False,"{'address1': '5626 Bell Ave', 'address2': None, 'address3': '', 'city': 'Dallas', 'zip_code': '75206', 'country': 'US', 'state': 'TX', 'display_address': ['5626 Bell Ave', 'Dallas, TX 75206']}",La La Land Kind Cafe,+12145799550,$,4.5,119,[],https://www.yelp.com/biz/la-la-land-kind-cafe-dallas?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
ldu-coffee-dallas,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 32.81444, 'longitude': -96.78511}",,3095.439162978167,RorY8SkHmDztoyazx_TgPg,https://s3-media2.fl.yelpcdn.com/bphoto/KYZ3FSpZwcUW97KIIZxOoQ/o.jpg,False,"{'address1': '2650 N Fitzhugh Ave', 'address2': 'Ste 100', 'address3': '', 'city': 'Dallas', 'zip_code': '75206', 'country': 'US', 'state': 'TX', 'display_address': ['2650 N Fitzhugh Ave', 'Ste 100', 'Dallas, TX 75206']}",LDU Coffee,,$,5.0,178,[],https://www.yelp.com/biz/ldu-coffee-dallas?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
pearl-cup-coffee-dallas-6,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 32.881744533467, 'longitude': -96.7708426581934}",,5498.853019750272,m5Pk92O3CFuwqZistyXNhQ,https://s3-media4.fl.yelpcdn.com/bphoto/V6Tr0Xxn5AkQFDiASdjIQQ/o.jpg,False,"{'address1': '7865 Firefall Way', 'address2': 'Ste F180', 'address3': None, 'city': 'Dallas', 'zip_code': '75230', 'country': 'US', 'state': 'TX', 'display_address': ['7865 Firefall Way', 'Ste F180', 'Dallas, TX 75230']}",Pearl Cup Coffee,,,5.0,9,[],https://www.yelp.com/biz/pearl-cup-coffee-dallas-6?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
the-wild-detectives-dallas,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'bookstores', 'title': 'Bookstores'}]","{'latitude': 32.747825, 'longitude': -96.827217}",(214) 942-0108,10439.753175646327,d2XxxiD-rD8L--gqisyC3Q,https://s3-media1.fl.yelpcdn.com/bphoto/g-KItbe-stq3cMKSbtjCHA/o.jpg,False,"{'address1': '314 W Eighth St', 'address2': '', 'address3': '', 'city': 'Dallas', 'zip_code': '75208', 'country': 'US', 'state': 'TX', 'display_address': ['314 W Eighth St', 'Dallas, TX 75208']}",The Wild Detectives,+12149420108,$$,4.0,364,[],https://www.yelp.com/biz/the-wild-detectives-dallas?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
stupid-good-coffee-dallas,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 32.782646, 'longitude': -96.7953556}",(214) 329-9070,6289.775042023734,EMyjN2VQvz-kCg3xlFNWXA,https://s3-media3.fl.yelpcdn.com/bphoto/dY32wLgriUd96Y_tKw5zIA/o.jpg,False,"{'address1': '1910 Pacific Ave', 'address2': 'Ste 2060', 'address3': '', 'city': 'Dallas', 'zip_code': '75201', 'country': 'US', 'state': 'TX', 'display_address': ['1910 Pacific Ave', 'Ste 2060', 'Dallas, TX 75201']}",Stupid Good Coffee,+12143299070,$,4.5,146,[],https://www.yelp.com/biz/stupid-good-coffee-dallas?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
cultivar-coffee-bar-and-roaster-dallas-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 32.8391155752565, 'longitude': -96.697647}",(972) 677-7895,9612.566173526071,5XixGiprQxV2GH1-1mXJ5A,https://s3-media3.fl.yelpcdn.com/bphoto/ziS0oH3uL7w93hhmg9KaWg/o.jpg,False,"{'address1': '1155 Peavy Rd', 'address2': None, 'address3': '', 'city': 'Dallas', 'zip_code': '75218', 'country': 'US', 'state': 'TX', 'display_address': ['1155 Peavy Rd', 'Dallas, TX 75218']}",Cultivar Coffee Bar & Roaster,+19726777895,$,4.5,152,[],https://www.yelp.com/biz/cultivar-coffee-bar-and-roaster-dallas-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
sip-stir-coffee-house-dallas-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 32.8088284, 'longitude': -96.7955301}",(972) 803-8444,3372.58282228647,JL4qoK-p4bTdHbuofC3vtA,https://s3-media4.fl.yelpcdn.com/bphoto/Ftz0kSxe52XOJiKDaFk9_w/o.jpg,False,"{'address1': '3800 McKinney Ave', 'address2': 'Ste 180', 'address3': '', 'city': 'Dallas', 'zip_code': '75204', 'country': 'US', 'state': 'TX', 'display_address': ['3800 McKinney Ave', 'Ste 180', 'Dallas, TX 75204']}",Sip Stir Coffee House,+19728038444,$$,4.5,450,[],https://www.yelp.com/biz/sip-stir-coffee-house-dallas-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
native-coffee-dallas,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 32.933333, 'longitude': -96.83537}",(214) 217-4744,10977.428171504847,WrO9AN-_vjokJbwmUz2YIw,https://s3-media2.fl.yelpcdn.com/bphoto/6ClgrIRNjnLt1CRQN0EVXg/o.jpg,False,"{'address1': '4319 Alpha Rd', 'address2': None, 'address3': '', 'city': 'Dallas', 'zip_code': '75244', 'country': 'US', 'state': 'TX', 'display_address': ['4319 Alpha Rd', 'Dallas, TX 75244']}",Native Coffee,+12142174744,,4.5,43,[],https://www.yelp.com/biz/native-coffee-dallas?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
hands-rose-coffee-dallas-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 32.7984520205696, 'longitude': -96.8281446158691}",(972) 914-8311,5198.824516765144,e19NW0QokP6VFAkGVErVRA,https://s3-media4.fl.yelpcdn.com/bphoto/Xu7AaZLzDZKz5weGgNxqfg/o.jpg,False,"{'address1': '1350 Manufacturing St', 'address2': 'Ste 111', 'address3': '', 'city': 'Dallas', 'zip_code': '75207', 'country': 'US', 'state': 'TX', 'display_address': ['1350 Manufacturing St', 'Ste 111', 'Dallas, TX 75207']}",Hands+Rose Coffee,+19729148311,$,4.5,40,[],https://www.yelp.com/biz/hands-rose-coffee-dallas-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
