alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
maggie-mays-coffee-houston-2,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 29.8023898948468, 'longitude': -95.4110998660326}",(346) 406-3180,6597.11814798863,2V4iT8s_asvyazSbuGjuZg,https://s3-media1.fl.yelpcdn.com/bphoto/zmg019p93iHFNSNprsuGLA/o.jpg,False,"{'address1': '726 W 19th St', 'address2': '', 'address3': '', 'city': 'Houston', 'zip_code': '77008', 'country': 'US', 'state': 'TX', 'display_address': ['726 W 19th St', 'Houston, TX 77008']}",Maggie May's Coffee,+13464063180,,4.5,22,[],https://www.yelp.com/biz/maggie-mays-coffee-houston-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
throughgood-coffee-houston,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 29.81061, 'longitude': -95.41157}",(281) 501-3976,7276.045298488057,wSNu49K5ntCJ4qVxadt9Ww,https://s3-media1.fl.yelpcdn.com/bphoto/9ILKBrsM0SOeYMBwivly4Q/o.jpg,False,"{'address1': '732 W 27th St', 'address2': '', 'address3': None, 'city': 'Houston', 'zip_code': '77008', 'country': 'US', 'state': 'TX', 'display_address': ['732 W 27th St', 'Houston, TX 77008']}",Throughgood Coffee,+12815013976,$,4.5,186,[],https://www.yelp.com/biz/throughgood-coffee-houston?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
fix-coffeebar-houston,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 29.7442412, 'longitude': -95.3868592}",(832) 807-4562,3332.9312824588856,_-nNGjk5m_I-MxuLFiZEaA,https://s3-media1.fl.yelpcdn.com/bphoto/3qw_f8vJdVqdNk7fjVW8xA/o.jpg,False,"{'address1': '415 Westheimer Rd', 'address2': '', 'address3': None, 'city': 'Houston', 'zip_code': '77006', 'country': 'US', 'state': 'TX', 'display_address': ['415 Westheimer Rd', 'Houston, TX 77006']}",FIX Coffeebar,+18328074562,$,4.0,432,[],https://www.yelp.com/biz/fix-coffeebar-houston?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
7-leaves-cafe-houston-5,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 29.705177, 'longitude': -95.554412}",(832) 409-5538,19847.686409638372,P1ApBIcUTRlKIsxaSJq0EQ,https://s3-media3.fl.yelpcdn.com/bphoto/cHqRZB7ljsu3GIuasiz28A/o.jpg,False,"{'address1': '9798 Bellaire Blvd', 'address2': 'Ste B', 'address3': '', 'city': 'Houston', 'zip_code': '77036', 'country': 'US', 'state': 'TX', 'display_address': ['9798 Bellaire Blvd', 'Ste B', 'Houston, TX 77036']}",7 Leaves Cafe,+18324095538,$,4.5,162,[],https://www.yelp.com/biz/7-leaves-cafe-houston-5?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
retrospect-coffee-bar-houston,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'creperies', 'title': 'Creperies'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 29.7359088, 'longitude': -95.3752621}",(713) 993-6600,3357.9068370311606,Lvt02hp-d3OtGQ8XWnrzIw,https://s3-media4.fl.yelpcdn.com/bphoto/z9HZiT_hUXFld934v2gdow/o.jpg,False,"{'address1': '3709 La Branch St', 'address2': None, 'address3': '', 'city': 'Houston', 'zip_code': '77004', 'country': 'US', 'state': 'TX', 'display_address': ['3709 La Branch St', 'Houston, TX 77004']}",Retrospect Coffee Bar,+17139936600,$,4.5,181,[],https://www.yelp.com/biz/retrospect-coffee-bar-houston?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
a-2nd-cup-houston,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 29.79107, 'longitude': -95.386608}",(832) 962-7656,4042.45661062318,XKRhQJXL5GQTabl2nEkVpQ,https://s3-media2.fl.yelpcdn.com/bphoto/xM9XUFIV2ybu8D-4tfypIA/o.jpg,False,"{'address1': '1111 E 11th St', 'address2': '', 'address3': '', 'city': 'Houston', 'zip_code': '77009', 'country': 'US', 'state': 'TX', 'display_address': ['1111 E 11th St', 'Houston, TX 77009']}",A 2nd Cup,+18329627656,$,4.5,366,[],https://www.yelp.com/biz/a-2nd-cup-houston?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
cavo-coffee-houston-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 29.72522, 'longitude': -95.41949}",(346) 319-4092,7114.722995299823,YNoWlW8cOB6KozYauwzG_Q,https://s3-media3.fl.yelpcdn.com/bphoto/Hw5Mx__EM-F_4MXQFIna0A/o.jpg,False,"{'address1': '2617 Bissonnet St', 'address2': '', 'address3': '', 'city': 'Houston', 'zip_code': '77005', 'country': 'US', 'state': 'TX', 'display_address': ['2617 Bissonnet St', 'Houston, TX 77005']}",Cavo Coffee,+13463194092,,4.5,51,[],https://www.yelp.com/biz/cavo-coffee-houston-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
antidote-houston,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 29.7849148180368, 'longitude': -95.3880278874499}",(713) 861-7400,3642.191010111738,E-dNOphSF-uQPB6lGMuQSA,https://s3-media2.fl.yelpcdn.com/bphoto/jPWFhylXy3261rtfHcuOEA/o.jpg,False,"{'address1': '729 Studewood St', 'address2': '', 'address3': '', 'city': 'Houston', 'zip_code': '77007', 'country': 'US', 'state': 'TX', 'display_address': ['729 Studewood St', 'Houston, TX 77007']}",Antidote,+17138617400,$,4.0,566,[],https://www.yelp.com/biz/antidote-houston?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
boomtown-coffee-houston,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 29.8027601, 'longitude': -95.400941}",(713) 862-7018,5910.39655286805,QXiTWEyeByy0ioqVAXYgHQ,https://s3-media2.fl.yelpcdn.com/bphoto/31kjfJ4QPWOMmSeuCBcomQ/o.jpg,False,"{'address1': '242 W 19th St', 'address2': '', 'address3': '', 'city': 'Houston', 'zip_code': '77008', 'country': 'US', 'state': 'TX', 'display_address': ['242 W 19th St', 'Houston, TX 77008']}",Boomtown Coffee,+17138627018,$,4.0,738,[],https://www.yelp.com/biz/boomtown-coffee-houston?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
cafeza-houston,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]","{'latitude': 29.7736, 'longitude': -95.3722}",(832) 203-8016,1663.9275112327766,9FzAcR6pDBt8zfjx0FAvSA,https://s3-media2.fl.yelpcdn.com/bphoto/TRXpM5p0yf2OvhIM-GF_IQ/o.jpg,False,"{'address1': '1720 Houston Ave', 'address2': None, 'address3': '', 'city': 'Houston', 'zip_code': '77007', 'country': 'US', 'state': 'TX', 'display_address': ['1720 Houston Ave', 'Houston, TX 77007']}",Cafeza,+18322038016,$$,4.0,277,[],https://www.yelp.com/biz/cafeza-houston?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
