alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
brass-tacks-coffee-jacksonville-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 30.26789, 'longitude': -81.55938}",(904) 423-0011,5966.822895236185,1VrWeLosOJ4J3JMliQOd-g,https://s3-media3.fl.yelpcdn.com/bphoto/OYx3SJ5t3ff1xuOEZcPFIg/o.jpg,False,"{'address1': '4352-01 Southside Blvd', 'address2': '', 'address3': '', 'city': 'Jacksonville', 'zip_code': '32216', 'country': 'US', 'state': 'FL', 'display_address': ['4352-01 Southside Blvd', 'Jacksonville, FL 32216']}",Brass Tacks Coffee,+19044230011,$$,4.5,87,[],https://www.yelp.com/biz/brass-tacks-coffee-jacksonville-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
bold-bean-coffee-roasters-riverside-jacksonville,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 30.3153646068335, 'longitude': -81.6893056982246}",(904) 853-6545,7569.81623269497,iLbC7CRoNRmgLGoZ2WDeLA,https://s3-media2.fl.yelpcdn.com/bphoto/-iGg2dA474FqucQOhk37zg/o.jpg,False,"{'address1': '869 Stockton St', 'address2': 'Ste1', 'address3': '', 'city': 'Jacksonville', 'zip_code': '32204', 'country': 'US', 'state': 'FL', 'display_address': ['869 Stockton St', 'Ste1', 'Jacksonville, FL 32204']}",Bold Bean Coffee Roasters - Riverside,+19048536545,$,4.5,335,[],https://www.yelp.com/biz/bold-bean-coffee-roasters-riverside-jacksonville?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
bold-bean-coffee-roasters-san-marco-jacksonville-2,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 30.306463481537, 'longitude': -81.6537950571019}",(904) 853-6545,4086.0424473924686,LXls_bKx5QsKvSpo_-JLjg,https://s3-media1.fl.yelpcdn.com/bphoto/C-veoeLpa6cCHB5hpMwNxg/o.jpg,False,"{'address1': '1905 Hendricks Ave', 'address2': '', 'address3': None, 'city': 'Jacksonville', 'zip_code': '32207', 'country': 'US', 'state': 'FL', 'display_address': ['1905 Hendricks Ave', 'Jacksonville, FL 32207']}",Bold Bean Coffee Roasters - San Marco,+19048536545,$,4.5,111,[],https://www.yelp.com/biz/bold-bean-coffee-roasters-san-marco-jacksonville-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
le-petit-paris-jacksonville,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 30.1960880475048, 'longitude': -81.6214419920655}",(904) 512-7777,10157.422972568766,JyBUJ__vQBPaBvt54UBm4g,https://s3-media3.fl.yelpcdn.com/bphoto/NObECkDm4KEhKDazXb-Kgg/o.jpg,False,"{'address1': '9965 San Jose Blvd', 'address2': 'Ste 46', 'address3': '', 'city': 'Jacksonville', 'zip_code': '32257', 'country': 'US', 'state': 'FL', 'display_address': ['9965 San Jose Blvd', 'Ste 46', 'Jacksonville, FL 32257']}",Le Petit Paris,+19045127777,$$,5.0,69,[],https://www.yelp.com/biz/le-petit-paris-jacksonville?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
the-coffee-grinder-jacksonville,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 30.2198980070709, 'longitude': -81.5545002753478}",(904) 642-7600,9634.60395061647,xgilyEpoSVSEUc6BGo2KLg,https://s3-media3.fl.yelpcdn.com/bphoto/d2XnyW4KgLwFRQonj4UR5Q/o.jpg,False,"{'address1': '9834 Old Baymeadows Rd', 'address2': '', 'address3': '', 'city': 'Jacksonville', 'zip_code': '32256', 'country': 'US', 'state': 'FL', 'display_address': ['9834 Old Baymeadows Rd', 'Jacksonville, FL 32256']}",The Coffee Grinder,+19046427600,$,4.5,92,[],https://www.yelp.com/biz/the-coffee-grinder-jacksonville?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
social-grounds-coffee-jacksonville,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 30.34478, 'longitude': -81.65437}",(904) 683-2437,7286.192270320875,I6t-yZSj3JQQCvIh2SMhjw,https://s3-media3.fl.yelpcdn.com/bphoto/hxqbP5OH_f5GtJyD2M4eFw/o.jpg,False,"{'address1': '1712 Main St N', 'address2': '', 'address3': None, 'city': 'Jacksonville', 'zip_code': '32206', 'country': 'US', 'state': 'FL', 'display_address': ['1712 Main St N', 'Jacksonville, FL 32206']}",Social Grounds Coffee,+19046832437,$,5.0,63,[],https://www.yelp.com/biz/social-grounds-coffee-jacksonville?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
vagabond-coffee-co-and-bodega-jacksonville,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 30.32864, 'longitude': -81.65989}",(904) 479-6848,6148.574210146886,w5gudTOua0C1YZ4wURgJmw,https://s3-media2.fl.yelpcdn.com/bphoto/hgOtn3_h7Nf0868ewfJKDA/o.jpg,False,"{'address1': '223 N Hogan St', 'address2': None, 'address3': '', 'city': 'Jacksonville', 'zip_code': '32202', 'country': 'US', 'state': 'FL', 'display_address': ['223 N Hogan St', 'Jacksonville, FL 32202']}",Vagabond Coffee Co. & Bodega,+19044796848,,4.5,16,[],https://www.yelp.com/biz/vagabond-coffee-co-and-bodega-jacksonville?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
sippers-coffeehouse-jacksonville,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 30.24159, 'longitude': -81.51928}",(904) 928-0048,10721.779710186695,9Sd6If7Hd-_DsBf8yoXyiA,https://s3-media3.fl.yelpcdn.com/bphoto/xjz47zO0NSra7rpW6AqDfg/o.jpg,False,"{'address1': '7643 Gate Pkwy', 'address2': 'Ste 101', 'address3': None, 'city': 'Jacksonville', 'zip_code': '32256', 'country': 'US', 'state': 'FL', 'display_address': ['7643 Gate Pkwy', 'Ste 101', 'Jacksonville, FL 32256']}",Sippers Coffeehouse,+19049280048,$,4.5,169,[],https://www.yelp.com/biz/sippers-coffeehouse-jacksonville?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
brew-jacksonville,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 30.31479, 'longitude': -81.68096}",(904) 374-5789,6819.098372898782,mKI66HzVJNiEF9rSwR8gMw,https://s3-media4.fl.yelpcdn.com/bphoto/OBB76kDpF2pzlvqbRRWZvQ/o.jpg,False,"{'address1': '1024 Park St', 'address2': '', 'address3': '', 'city': 'Jacksonville', 'zip_code': '32204', 'country': 'US', 'state': 'FL', 'display_address': ['1024 Park St', 'Jacksonville, FL 32204']}",BREW,+19043745789,$,4.5,213,[],https://www.yelp.com/biz/brew-jacksonville?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
urban-grind-coffee-company-jacksonville-4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'foodstands', 'title': 'Food Stands'}]","{'latitude': 30.326658, 'longitude': -81.659186}",(904) 516-7799,5928.858539111203,WSUo6KiYRq1eJiuGTH23Rw,https://s3-media1.fl.yelpcdn.com/bphoto/_K9XUUXpDG6HhP08xyLe5g/o.jpg,False,"{'address1': '50 N Laura St', 'address2': None, 'address3': '', 'city': 'Jacksonville', 'zip_code': '32202', 'country': 'US', 'state': 'FL', 'display_address': ['50 N Laura St', 'Jacksonville, FL 32202']}",Urban Grind Coffee Company,+19045167799,$,4.5,22,[],https://www.yelp.com/biz/urban-grind-coffee-company-jacksonville-4?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
