alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
neighborhood-los-angeles-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]","{'latitude': 34.0724711, 'longitude': -118.3441749}",(323) 240-0189,2431.6552044298714,3sBu25RsAszfk9-50tJoIQ,https://s3-media3.fl.yelpcdn.com/bphoto/Gjs2YaWCGz6zFO3ESnvScg/o.jpg,False,"{'address1': '133 S La Brea Ave', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90036', 'country': 'US', 'state': 'CA', 'display_address': ['133 S La Brea Ave', 'Los Angeles, CA 90036']}",Neighborhood,+13232400189,,5.0,11,[],https://www.yelp.com/biz/neighborhood-los-angeles-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
alchemist-coffee-project-los-angeles-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 34.060116, 'longitude': -118.291278}",(213) 388-8767,2777.8466543722793,ZxFQnp-PidPRTf23Ss_ecA,https://s3-media1.fl.yelpcdn.com/bphoto/BO_XaTzIDxVevnsx09rEpw/o.jpg,False,"{'address1': '698 S Vermont Ave', 'address2': 'Ste 103', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90005', 'country': 'US', 'state': 'CA', 'display_address': ['698 S Vermont Ave', 'Ste 103', 'Los Angeles, CA 90005']}",Alchemist Coffee Project,+12133888767,$$,4.5,1005,[],https://www.yelp.com/biz/alchemist-coffee-project-los-angeles-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
prism-coffee-los-angeles,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 34.0534921, 'longitude': -118.3230638}",(213) 700-8110,913.6476407001178,AN3UakS2AoWkcLrhzhlqyQ,https://s3-media3.fl.yelpcdn.com/bphoto/9bn-KUN7Sew0hS_UA8fANA/o.jpg,False,"{'address1': '1032 Crenshaw Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90019', 'country': 'US', 'state': 'CA', 'display_address': ['1032 Crenshaw Blvd', 'Los Angeles, CA 90019']}",Prism Coffee,+12137008110,$,4.5,240,[],https://www.yelp.com/biz/prism-coffee-los-angeles?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
nothing-but-coffee-los-angeles,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 34.0615651, 'longitude': -118.31304}",(213) 908-6610,768.0590571036944,Vf-1OQtogTWXUnoyjazPgA,https://s3-media1.fl.yelpcdn.com/bphoto/wfbjGmYdKHr3XVCZKiYxsQ/o.jpg,False,"{'address1': '3952 Wilshire Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90010', 'country': 'US', 'state': 'CA', 'display_address': ['3952 Wilshire Blvd', 'Los Angeles, CA 90010']}",Nothing But Coffee,+12139086610,$$,4.5,141,[],https://www.yelp.com/biz/nothing-but-coffee-los-angeles?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
balcony-coffee-and-tea-los-angeles,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 34.0767850139059, 'longitude': -118.309007288514}",(213) 309-8414,2038.102162140457,p74RqQjrsMuxEXGyYDwG3Q,https://s3-media4.fl.yelpcdn.com/bphoto/k22fFCoFqLqNnE2AjQaNBQ/o.jpg,False,"{'address1': '314 N Western Ave', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90004', 'country': 'US', 'state': 'CA', 'display_address': ['314 N Western Ave', 'Los Angeles, CA 90004']}",Balcony Coffee and Tea,+12133098414,$,5.0,252,[],https://www.yelp.com/biz/balcony-coffee-and-tea-los-angeles?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
lab-coffee-and-roasters-los-angeles,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'tea', 'title': 'Tea Rooms'}]","{'latitude': 34.07888, 'longitude': -118.30937}",(323) 465-6788,2209.6868279142004,jJwBS4XIWCsRtO_kbnxJBg,https://s3-media4.fl.yelpcdn.com/bphoto/_HnkRA6gURctbsaE66A8_Q/o.jpg,False,"{'address1': '429 N Western Ave', 'address2': 'Ste 5', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90004', 'country': 'US', 'state': 'CA', 'display_address': ['429 N Western Ave', 'Ste 5', 'Los Angeles, CA 90004']}",LaB Coffee & Roasters,+13234656788,$$,4.5,233,"['delivery', 'pickup']",https://www.yelp.com/biz/lab-coffee-and-roasters-los-angeles?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
coffee-for-sasquatch-los-angeles,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 34.08317, 'longitude': -118.34362}",(323) 424-7980,3156.0299561941047,jFsyRPo3Y4f83vHgqWG5Jg,https://s3-media2.fl.yelpcdn.com/bphoto/REcRu8dLOD2YbWbBQXOxSQ/o.jpg,False,"{'address1': '7020 Melrose Ave', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90038', 'country': 'US', 'state': 'CA', 'display_address': ['7020 Melrose Ave', 'Los Angeles, CA 90038']}",Coffee For Sasquatch,+13234247980,$$,4.5,191,[],https://www.yelp.com/biz/coffee-for-sasquatch-los-angeles?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
document-coffee-bar-los-angeles-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 34.0612100152212, 'longitude': -118.310909232275}",,965.5254105364372,Re-YQCm7QFt-suXx4CSlAw,https://s3-media2.fl.yelpcdn.com/bphoto/TsZehmQWPBnxU7x403Fcgw/o.jpg,False,"{'address1': '3850 Wilshire Blvd', 'address2': 'Ste 107', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90010', 'country': 'US', 'state': 'CA', 'display_address': ['3850 Wilshire Blvd', 'Ste 107', 'Los Angeles, CA 90010']}",Document Coffee Bar,,$,4.5,506,[],https://www.yelp.com/biz/document-coffee-bar-los-angeles-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
sharp-specialty-coffee-los-angeles,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 34.06389, 'longitude': -118.29625}",(213) 674-7644,2329.034849306729,mufrng2MGt41KI4NYGTe6Q,https://s3-media3.fl.yelpcdn.com/bphoto/r9J3fC8zE1gY_NqfdAOqlQ/o.jpg,False,"{'address1': '3421 W 6th St', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90020', 'country': 'US', 'state': 'CA', 'display_address': ['3421 W 6th St', 'Los Angeles, CA 90020']}",Sharp Specialty Coffee,+12136747644,$,4.5,164,[],https://www.yelp.com/biz/sharp-specialty-coffee-los-angeles?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
coffee-connection-los-angeles-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 34.0030848, 'longitude': -118.4327631}",(310) 391-1380,12151.833668308984,wtHwadHuKmCrJhBI6OGUew,https://s3-media3.fl.yelpcdn.com/bphoto/Cp-n56ui3_O2e6OblcbTIw/o.jpg,False,"{'address1': '3838 S Centinela Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90066', 'country': 'US', 'state': 'CA', 'display_address': ['3838 S Centinela Ave', 'Los Angeles, CA 90066']}",Coffee Connection,+13103911380,$,4.5,519,[],https://www.yelp.com/biz/coffee-connection-los-angeles-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
