alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
please-and-thank-you-louisville,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 38.2531669, 'longitude': -85.7380149}",(502) 553-0113,6187.019937591251,3G1mIC3DFIFMi6i_pxPlaQ,https://s3-media3.fl.yelpcdn.com/bphoto/rJlpky6-kcUn1K5pBxr4Xw/o.jpg,False,"{'address1': '800 E Market St', 'address2': '', 'address3': '', 'city': 'Louisville', 'zip_code': '40206', 'country': 'US', 'state': 'KY', 'display_address': ['800 E Market St', 'Louisville, KY 40206']}",Please & Thank You,+15025530113,$,4.5,392,[],https://www.yelp.com/biz/please-and-thank-you-louisville?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
quills-coffee-louisville,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 38.24154, 'longitude': -85.7255799}",(502) 742-6129,4631.253195968843,5atjNgvipelEfr8420NX5g,https://s3-media2.fl.yelpcdn.com/bphoto/ecVwtvKrQLzW3PT5VQGDIQ/o.jpg,False,"{'address1': '930 Baxter Ave', 'address2': '', 'address3': '', 'city': 'Louisville', 'zip_code': '40204', 'country': 'US', 'state': 'KY', 'display_address': ['930 Baxter Ave', 'Louisville, KY 40204']}",Quills Coffee,+15027426129,$,4.5,209,[],https://www.yelp.com/biz/quills-coffee-louisville?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
sunergos-coffee-louisville-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 38.2545528387322, 'longitude': -85.7585186722188}",(502) 589-3222,7848.2194300153415,Kp9X2cDtEcafx91FPA8hYA,https://s3-media2.fl.yelpcdn.com/bphoto/_gMddm2A7F4F2lJ_3Ga3iw/o.jpg,False,"{'address1': '231 S 5th St', 'address2': '', 'address3': '', 'city': 'Louisville', 'zip_code': '40202', 'country': 'US', 'state': 'KY', 'display_address': ['231 S 5th St', 'Louisville, KY 40202']}",Sunergos Coffee,+15025893222,$,4.5,108,[],https://www.yelp.com/biz/sunergos-coffee-louisville-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
safai-coffee-louisville,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'creperies', 'title': 'Creperies'}]","{'latitude': 38.2301292419434, 'longitude': -85.7030715942383}",(502) 384-3555,2362.876449006079,tUdNvgERYr8_tDgsv6hVBg,https://s3-media4.fl.yelpcdn.com/bphoto/bVMym_Pecz3PgCJ8LkSqJw/o.jpg,False,"{'address1': '1707 Bardstown Rd', 'address2': '', 'address3': '', 'city': 'Louisville', 'zip_code': '40205', 'country': 'US', 'state': 'KY', 'display_address': ['1707 Bardstown Rd', 'Louisville, KY 40205']}",Safai Coffee,+15023843555,$,4.5,117,[],https://www.yelp.com/biz/safai-coffee-louisville?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
highland-coffee-company-louisville-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'vegan', 'title': 'Vegan'}]","{'latitude': 38.237395, 'longitude': -85.719585}",(502) 451-4545,3974.4707232228297,I4_g_8HOUG6BkLxkr_uL-g,https://s3-media4.fl.yelpcdn.com/bphoto/7dOF_MnTvRtFy7RLq92_Vw/o.jpg,False,"{'address1': '1140 Bardstown Rd', 'address2': '', 'address3': None, 'city': 'Louisville', 'zip_code': '40204', 'country': 'US', 'state': 'KY', 'display_address': ['1140 Bardstown Rd', 'Louisville, KY 40204']}",Highland Coffee Company,+15024514545,$,4.5,184,[],https://www.yelp.com/biz/highland-coffee-company-louisville-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
sunergos-coffee-louisville,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 38.21668, 'longitude': -85.74528}",(502) 634-1243,6051.108810781286,pP_TFZpiToGtlwiTnuJH_g,https://s3-media1.fl.yelpcdn.com/bphoto/cLUSvuTi-D2fntMDyewqPA/o.jpg,False,"{'address1': '2122 S Preston St', 'address2': None, 'address3': '', 'city': 'Louisville', 'zip_code': '40217', 'country': 'US', 'state': 'KY', 'display_address': ['2122 S Preston St', 'Louisville, KY 40217']}",Sunergos Coffee,+15026341243,$,4.5,154,[],https://www.yelp.com/biz/sunergos-coffee-louisville?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
fantes-coffee-louisville,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 38.24444, 'longitude': -85.70411}",(502) 454-0543,3206.27140744713,ZJIyW1T23u41mGqMJE2F-g,https://s3-media1.fl.yelpcdn.com/bphoto/gGEhLA83P_9ck78noh3iXg/o.jpg,False,"{'address1': '2501 Grinstead Dr', 'address2': '', 'address3': None, 'city': 'Louisville', 'zip_code': '40206', 'country': 'US', 'state': 'KY', 'display_address': ['2501 Grinstead Dr', 'Louisville, KY 40206']}",Fante's Coffee,+15024540543,$,4.0,127,[],https://www.yelp.com/biz/fantes-coffee-louisville?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
quills-coffee-st-matthews-louisville-2,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 38.2533711694519, 'longitude': -85.6522156571231}",(502) 242-8608,3814.922248757191,tDqRBytnuYW9MfIA20BasQ,https://s3-media4.fl.yelpcdn.com/bphoto/esnBNCntbHJMllIT768Y2w/o.jpg,False,"{'address1': '117 St Matthews Ave', 'address2': '', 'address3': None, 'city': 'Louisville', 'zip_code': '40207', 'country': 'US', 'state': 'KY', 'display_address': ['117 St Matthews Ave', 'Louisville, KY 40207']}",Quill's Coffee - St. Matthews,+15022428608,$,4.5,34,[],https://www.yelp.com/biz/quills-coffee-st-matthews-louisville-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
full-stop-louisville-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'evchargingstations', 'title': 'EV Charging Stations'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 38.2343971622484, 'longitude': -85.732179840686}",(502) 260-8046,4934.688778134977,ABz9Xy_YKX93Y4y6ivhK-g,https://s3-media3.fl.yelpcdn.com/bphoto/2lOAMTrJaP2dufjEbvsCMA/o.jpg,False,"{'address1': '1182 E St Catherine St', 'address2': None, 'address3': '', 'city': 'Louisville', 'zip_code': '40204', 'country': 'US', 'state': 'KY', 'display_address': ['1182 E St Catherine St', 'Louisville, KY 40204']}",Full Stop,+15022608046,,5.0,18,[],https://www.yelp.com/biz/full-stop-louisville-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
basecamp-coffee-louisville-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 38.249118, 'longitude': -85.630538}",(502) 290-4589,4851.8945492482735,ZbXLO3Vk534bYhqmnvl8UA,https://s3-media3.fl.yelpcdn.com/bphoto/SsVg5ycPFd7Bj_-VTvzPHw/o.jpg,False,"{'address1': '4600 Shelbyville Rd', 'address2': None, 'address3': None, 'city': 'Louisville', 'zip_code': '40207', 'country': 'US', 'state': 'KY', 'display_address': ['4600 Shelbyville Rd', 'Louisville, KY 40207']}",Basecamp Coffee,+15022904589,$,4.5,14,[],https://www.yelp.com/biz/basecamp-coffee-louisville-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
north-lime-coffee-and-donuts-louisville,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 38.233994, 'longitude': -85.766711}",(502) 398-5739,7909.24849411495,q8k7EojuNyvZ8G2hfEvs_A,https://s3-media4.fl.yelpcdn.com/bphoto/ZJYGyapaHR8P6BnJRxIbLA/o.jpg,False,"{'address1': '1228 S 7th St', 'address2': '', 'address3': None, 'city': 'Louisville', 'zip_code': '40203', 'country': 'US', 'state': 'KY', 'display_address': ['1228 S 7th St', 'Louisville, KY 40203']}",North Lime Coffee & Donuts,+15023985739,$,4.5,95,[],https://www.yelp.com/biz/north-lime-coffee-and-donuts-louisville?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
