alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
white-rose-coffee-west-miami-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 25.7631555, 'longitude': -80.2966891}",,1462.0700002025626,K3Qo1HcNxJ7ujIJb59ND0w,https://s3-media2.fl.yelpcdn.com/bphoto/3kfDHcy3jHh0v0Dkjn0XsQ/o.jpg,False,"{'address1': '6246 SW 8th St', 'address2': None, 'address3': '', 'city': 'West Miami', 'zip_code': '33144', 'country': 'US', 'state': 'FL', 'display_address': ['6246 SW 8th St', 'West Miami, FL 33144']}",White Rose Coffee,,$$,5.0,94,[],https://www.yelp.com/biz/white-rose-coffee-west-miami-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
macondo-coffee-roasters-doral,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 25.796394, 'longitude': -80.342976}",(305) 594-3808,7331.873446421244,r97cCLpQstJCWkVRpbiRrA,https://s3-media2.fl.yelpcdn.com/bphoto/b3-0Yqz0wyMac06iMymRlw/o.jpg,False,"{'address1': '2494 NW 89th Pl', 'address2': '', 'address3': '', 'city': 'Doral', 'zip_code': '33172', 'country': 'US', 'state': 'FL', 'display_address': ['2494 NW 89th Pl', 'Doral, FL 33172']}",Macondo Coffee Roasters,+13055943808,$,4.5,547,['pickup'],https://www.yelp.com/biz/macondo-coffee-roasters-doral?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
eternity-coffee-roasters-miami-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 25.773198, 'longitude': -80.1900651}",(305) 609-4981,10073.860888359586,-KzadP43SGTX-l9jyqLdEQ,https://s3-media3.fl.yelpcdn.com/bphoto/gnKwro-ysd9bmWaSL43PiQ/o.jpg,False,"{'address1': '117 SE 2nd Ave', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33131', 'country': 'US', 'state': 'FL', 'display_address': ['117 SE 2nd Ave', 'Miami, FL 33131']}",Eternity Coffee Roasters,+13056094981,$$,4.5,195,[],https://www.yelp.com/biz/eternity-coffee-roasters-miami-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
brewing-buddha-cafe-and-arthouse-miami,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'galleries', 'title': 'Art Galleries'}]","{'latitude': 25.65548, 'longitude': -80.326815}",(786) 842-3342,11491.30121552208,bJu0A9nBKZU3Tc2qOEq1og,https://s3-media2.fl.yelpcdn.com/bphoto/yvi8Sv7UCX2Enn2f8V9r-w/o.jpg,False,"{'address1': '8219 SW 124th St', 'address2': None, 'address3': '', 'city': 'miami', 'zip_code': '33156', 'country': 'US', 'state': 'FL', 'display_address': ['8219 SW 124th St', 'miami, FL 33156']}",Brewing Buddha Cafe & Arthouse,+17868423342,$$,5.0,216,[],https://www.yelp.com/biz/brewing-buddha-cafe-and-arthouse-miami?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
panther-coffee-miami,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 25.79994, 'longitude': -80.19924}",(305) 677-3952,10319.387341782667,XnpCTDsJ_ETcltDY-A7CSw,https://s3-media2.fl.yelpcdn.com/bphoto/VyBA_-KcmpmKrzeRxvd3xw/o.jpg,False,"{'address1': '2390 NW 2nd Ave', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33127', 'country': 'US', 'state': 'FL', 'display_address': ['2390 NW 2nd Ave', 'Miami, FL 33127']}",Panther Coffee,+13056773952,$$,4.0,953,"['delivery', 'pickup']",https://www.yelp.com/biz/panther-coffee-miami?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
magic-city-perks-miami,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 25.648704, 'longitude': -80.4000132}",(786) 732-7495,16112.413985125735,NQ3WEfjEhBur9VPpegmIhg,https://s3-media4.fl.yelpcdn.com/bphoto/7h36vlSK3hNlEHiJXgr_Ig/o.jpg,False,"{'address1': '12700 SW 128th St', 'address2': 'Ste 105', 'address3': None, 'city': 'Miami', 'zip_code': '33186', 'country': 'US', 'state': 'FL', 'display_address': ['12700 SW 128th St', 'Ste 105', 'Miami, FL 33186']}",Magic City Perks,+17867327495,$$,4.5,28,[],https://www.yelp.com/biz/magic-city-perks-miami?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
the-salty-donut-wynwood-miami,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 25.799394633506, 'longitude': -80.196145590213}",(305) 639-8501,10566.397906377817,ESuHmNFTNcehIInpRVE4jg,https://s3-media1.fl.yelpcdn.com/bphoto/Z14GLdIxNJ1XsuQdYUdOuA/o.jpg,False,"{'address1': '50 NW 23rd St', 'address2': 'Ste 112', 'address3': None, 'city': 'Miami', 'zip_code': '33127', 'country': 'US', 'state': 'FL', 'display_address': ['50 NW 23rd St', 'Ste 112', 'Miami, FL 33127']}",The Salty Donut Wynwood,+13056398501,$$,4.5,1739,[],https://www.yelp.com/biz/the-salty-donut-wynwood-miami?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
pasion-del-cielo-coffee-miami-5,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 25.6875525702362, 'longitude': -80.3127032518387}",(786) 347-3507,7657.980614552946,yTuL5uQ0PZOaPhKKhPccZg,https://s3-media3.fl.yelpcdn.com/bphoto/ewMjmZm4Pr1NcKS_OkBQfw/o.jpg,False,"{'address1': '8915 SW 72nd Pl', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33156', 'country': 'US', 'state': 'FL', 'display_address': ['8915 SW 72nd Pl', 'Miami, FL 33156']}",Pasion del Cielo Coffee,+17863473507,$$,4.5,355,[],https://www.yelp.com/biz/pasion-del-cielo-coffee-miami-5?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
panther-coffee-miami-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 25.727675, 'longitude': -80.242379}",(305) 677-3952,5360.51124427637,SW0u7IhGH57Ps_xz_YgnbQ,https://s3-media2.fl.yelpcdn.com/bphoto/AABrgHjo2641XO-R91VPFw/o.jpg,False,"{'address1': '3407 Main Hwy', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33133', 'country': 'US', 'state': 'FL', 'display_address': ['3407 Main Hwy', 'Miami, FL 33133']}",Panther Coffee,+13056773952,$$,4.0,146,"['delivery', 'pickup']",https://www.yelp.com/biz/panther-coffee-miami-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
the-salty-donut-south-miami-miami,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 25.70251, 'longitude': -80.29126}",(786) 409-4714,5596.113988807177,1SkXc0EVVlxhA6pe60uZ2w,https://s3-media1.fl.yelpcdn.com/bphoto/pd0EZzRhkm-iNPsLjVt3gg/o.jpg,False,"{'address1': '6022 S Dixie Hwy', 'address2': None, 'address3': '', 'city': 'Miami', 'zip_code': '33143', 'country': 'US', 'state': 'FL', 'display_address': ['6022 S Dixie Hwy', 'Miami, FL 33143']}",The Salty Donut South Miami,+17864094714,,5.0,20,[],https://www.yelp.com/biz/the-salty-donut-south-miami-miami?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
la-colada-gourmet-miami-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'chocolate', 'title': 'Chocolatiers & Shops'}]","{'latitude': 25.76547, 'longitude': -80.21995}",(305) 582-5762,6968.526860414426,aebbCEZCnm6S9IIXJfuVIA,https://s3-media4.fl.yelpcdn.com/bphoto/Kki6J_O7JynSOzabwMOcUw/o.jpg,False,"{'address1': '1518 SW 8th St', 'address2': '', 'address3': None, 'city': 'Miami', 'zip_code': '33135', 'country': 'US', 'state': 'FL', 'display_address': ['1518 SW 8th St', 'Miami, FL 33135']}",La Colada Gourmet,+13055825762,$,5.0,89,[],https://www.yelp.com/biz/la-colada-gourmet-miami-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
specialtea-lounge-miami,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 25.746051, 'longitude': -80.369099}",(305) 554-8327,8147.898235315884,Yaq6I5aAraLKZQLjPNa9-w,https://s3-media1.fl.yelpcdn.com/bphoto/n8P43f82w-xgVmWsrtyDSw/o.jpg,False,"{'address1': '10766 SW 24th St', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33165', 'country': 'US', 'state': 'FL', 'display_address': ['10766 SW 24th St', 'Miami, FL 33165']}",specialTEA Lounge,+13055548327,$,4.5,707,"['delivery', 'pickup']",https://www.yelp.com/biz/specialtea-lounge-miami?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
