alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
five-watt-coffee-minneapolis-5,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 44.934479, 'longitude': -93.277771}",(612) 259-7519,3598.8306366731654,5pWHnKN3_AIrXiyyqZ74pw,https://s3-media1.fl.yelpcdn.com/bphoto/c6SM_cmNYfxhH_EtXABlZQ/o.jpg,False,"{'address1': '3745 Nicollet Ave S', 'address2': None, 'address3': '', 'city': 'Minneapolis', 'zip_code': '55409', 'country': 'US', 'state': 'MN', 'display_address': ['3745 Nicollet Ave S', 'Minneapolis, MN 55409']}",Five Watt Coffee,+16122597519,$$,4.5,270,[],https://www.yelp.com/biz/five-watt-coffee-minneapolis-5?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
wesley-andrews-minneapolis,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 44.955368, 'longitude': -93.276056}",(612) 460-7739,1601.6233996165372,PRlPRN2Mimiy4hlY6WJK5w,https://s3-media3.fl.yelpcdn.com/bphoto/V59MBwRO-TvVxiBjS4qwkQ/o.jpg,False,"{'address1': '111 E 26th St', 'address2': None, 'address3': '', 'city': 'Minneapolis', 'zip_code': '55404', 'country': 'US', 'state': 'MN', 'display_address': ['111 E 26th St', 'Minneapolis, MN 55404']}",Wesley Andrews,+16124607739,$$,4.5,64,[],https://www.yelp.com/biz/wesley-andrews-minneapolis?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
peace-coffee-minneapolis-4,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 44.9739, 'longitude': -93.27241}",(612) 248-8670,1688.947191623711,lzYoEB6-KOqmETjZudjuDA,https://s3-media2.fl.yelpcdn.com/bphoto/zVk8rblYrQi3KlbjrYQR0w/o.jpg,False,"{'address1': '901 S Marquette Ave', 'address2': '', 'address3': 'AT&T Tower', 'city': 'Minneapolis', 'zip_code': '55402', 'country': 'US', 'state': 'MN', 'display_address': ['901 S Marquette Ave', 'AT&T Tower', 'Minneapolis, MN 55402']}",Peace Coffee,+16122488670,,5.0,3,[],https://www.yelp.com/biz/peace-coffee-minneapolis-4?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
peace-coffee-minneapolis-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 44.9763764, 'longitude': -93.2683344}",(612) 248-8677,2081.086655030058,CiZkZupznOW3--1dNGPw4g,https://s3-media1.fl.yelpcdn.com/bphoto/xJK7dKJVjHcrC7xlY3TefQ/o.jpg,False,"{'address1': '225 South 6th St', 'address2': '', 'address3': '', 'city': 'Minneapolis', 'zip_code': '55402', 'country': 'US', 'state': 'MN', 'display_address': ['225 South 6th St', 'Minneapolis, MN 55402']}",Peace Coffee,+16122488677,$$,4.0,57,[],https://www.yelp.com/biz/peace-coffee-minneapolis-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
gray-fox-coffee-and-wine-bar-minneapolis,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 44.974689, 'longitude': -93.271371}",(612) 886-3770,1807.5014658786054,Mq2HJEKuprIPFWt0jhj9hA,https://s3-media1.fl.yelpcdn.com/bphoto/bhAPk7fmAy6TQVEPdMbJ2A/o.jpg,False,"{'address1': '801 S Marquette Ave', 'address2': '', 'address3': None, 'city': 'Minneapolis', 'zip_code': '55402', 'country': 'US', 'state': 'MN', 'display_address': ['801 S Marquette Ave', 'Minneapolis, MN 55402']}",Gray Fox Coffee & Wine Bar,+16128863770,,5.0,25,[],https://www.yelp.com/biz/gray-fox-coffee-and-wine-bar-minneapolis?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
anelace-coffee-minneapolis,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 45.012396, 'longitude': -93.2475573197007}",(612) 236-4870,6200.692284059477,CpbsZvGKP7lHk44piTgmlQ,https://s3-media2.fl.yelpcdn.com/bphoto/ORcRrK2G2QJxLmtQmPd0Fw/o.jpg,False,"{'address1': '2402 Central Ave NE', 'address2': '', 'address3': '', 'city': 'Minneapolis', 'zip_code': '55418', 'country': 'US', 'state': 'MN', 'display_address': ['2402 Central Ave NE', 'Minneapolis, MN 55418']}",Anelace Coffee,+16122364870,$,4.5,100,[],https://www.yelp.com/biz/anelace-coffee-minneapolis?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
boiler-room-coffee-minneapolis,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 44.9644248, 'longitude': -93.2729259}",(612) 886-7085,1381.2149469795106,OYYF4VOrE_i1lqTIr94Sog,https://s3-media2.fl.yelpcdn.com/bphoto/yZRf1gmp9zPb4zaGXbq5Jw/o.jpg,False,"{'address1': '1820 3rd Ave S', 'address2': '', 'address3': '', 'city': 'Minneapolis', 'zip_code': '55404', 'country': 'US', 'state': 'MN', 'display_address': ['1820 3rd Ave S', 'Minneapolis, MN 55404']}",Boiler Room Coffee,+16128867085,$,4.5,112,[],https://www.yelp.com/biz/boiler-room-coffee-minneapolis?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
spyhouse-minneapolis-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 44.999091, 'longitude': -93.246692}",,5069.683341524837,KHK_2Q7ry5tOrm8rHcPM1g,https://s3-media2.fl.yelpcdn.com/bphoto/jWgBKn7TYVrbQYrNZYoJ7w/o.jpg,False,"{'address1': '945 Broadway St NE', 'address2': '', 'address3': '', 'city': 'Minneapolis', 'zip_code': '55413', 'country': 'US', 'state': 'MN', 'display_address': ['945 Broadway St NE', 'Minneapolis, MN 55413']}",Spyhouse,,$$,3.5,272,[],https://www.yelp.com/biz/spyhouse-minneapolis-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
steamship-coffee-and-tea-minneapolis,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 44.94812, 'longitude': -93.28881}",(612) 844-1011,1950.4467690992672,atvrAdJE_trTuSYXWSb8-w,https://s3-media3.fl.yelpcdn.com/bphoto/Tcw9XwuwHA99FIaDN-a8ZA/o.jpg,False,"{'address1': '711 W Lake St', 'address2': '', 'address3': '', 'city': 'Minneapolis', 'zip_code': '55408', 'country': 'US', 'state': 'MN', 'display_address': ['711 W Lake St', 'Minneapolis, MN 55408']}",Steamship Coffee & Tea,+16128441011,$,4.5,45,[],https://www.yelp.com/biz/steamship-coffee-and-tea-minneapolis?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
isles-bun-and-coffee-minneapolis,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 44.95218, 'longitude': -93.29867}",(612) 870-4466,1626.1861348572102,sdeYah2re9mvnHEsbIPsOw,https://s3-media3.fl.yelpcdn.com/bphoto/UxN5CBZ510PqQq1bN-o_PQ/o.jpg,False,"{'address1': '1424 W 28th St', 'address2': '', 'address3': '', 'city': 'Minneapolis', 'zip_code': '55408', 'country': 'US', 'state': 'MN', 'display_address': ['1424 W 28th St', 'Minneapolis, MN 55408']}",Isles Bun & Coffee,+16128704466,$,4.5,333,[],https://www.yelp.com/biz/isles-bun-and-coffee-minneapolis?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
