alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
crema-nashville,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 36.15681, 'longitude': -86.7698}",(615) 255-8311,2198.9325388718626,wUZXm4KN2wIqlfkvXVZXUw,https://s3-media1.fl.yelpcdn.com/bphoto/6lZQVhga-lp5Y_246IqdSQ/o.jpg,False,"{'address1': '15 Hermitage Ave', 'address2': '', 'address3': '', 'city': 'Nashville', 'zip_code': '37210', 'country': 'US', 'state': 'TN', 'display_address': ['15 Hermitage Ave', 'Nashville, TN 37210']}",CREMA,+16152558311,$$,4.5,843,[],https://www.yelp.com/biz/crema-nashville?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
humphreys-street-coffee-shop-nashville-4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}, {'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}]","{'latitude': 36.1419279025055, 'longitude': -86.7663846718211}",(615) 647-7554,945.023133485936,R6bUGKpWjX0qIVHjgTNOWA,https://s3-media3.fl.yelpcdn.com/bphoto/Vs7ORxbRu7zi33rSSo0w5A/o.jpg,False,"{'address1': '424 Humphreys St', 'address2': '', 'address3': None, 'city': 'Nashville', 'zip_code': '37203', 'country': 'US', 'state': 'TN', 'display_address': ['424 Humphreys St', 'Nashville, TN 37203']}",Humphreys Street Coffee Shop,+16156477554,$$,4.5,36,[],https://www.yelp.com/biz/humphreys-street-coffee-shop-nashville-4?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
8th-and-roast-nashville-5,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 36.13176, 'longitude': -86.77856}",(615) 730-8074,723.027227762588,AFk6UXFbH-idH31KhFQVCg,https://s3-media2.fl.yelpcdn.com/bphoto/u4URsmMfhpLrSj68IlUTqA/o.jpg,False,"{'address1': '2108 8th Ave S', 'address2': '', 'address3': '', 'city': 'Nashville', 'zip_code': '37204', 'country': 'US', 'state': 'TN', 'display_address': ['2108 8th Ave S', 'Nashville, TN 37204']}",8th & Roast,+16157308074,$,4.5,224,[],https://www.yelp.com/biz/8th-and-roast-nashville-5?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
e-and-b-coffee-roasters-nolensville,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 35.95224, 'longitude': -86.66968}",(615) 776-4222,22713.456013318537,38F4LbjmsdptNIdCdQiY2A,https://s3-media3.fl.yelpcdn.com/bphoto/14UyMBBV0IMEFscBcaU01A/o.jpg,False,"{'address1': '7311 Nolensville Rd', 'address2': '', 'address3': None, 'city': 'Nolensville', 'zip_code': '37135', 'country': 'US', 'state': 'TN', 'display_address': ['7311 Nolensville Rd', 'Nolensville, TN 37135']}",E&B Coffee Roasters,+16157764222,,5.0,9,[],https://www.yelp.com/biz/e-and-b-coffee-roasters-nolensville?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
killebrew-coffee-nashville,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 36.152431, 'longitude': -86.784037}",(615) 262-6008,1808.1885820900434,T_dAeyp_OLm8GuyKZL97Hg,https://s3-media3.fl.yelpcdn.com/bphoto/gW3V_f81vaVcof0yZT6Cdg/o.jpg,False,"{'address1': '401 11th Ave S', 'address2': '', 'address3': None, 'city': 'Nashville', 'zip_code': '37203', 'country': 'US', 'state': 'TN', 'display_address': ['401 11th Ave S', 'Nashville, TN 37203']}",Killebrew Coffee,+16152626008,$$,4.0,74,[],https://www.yelp.com/biz/killebrew-coffee-nashville?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
falcon-coffee-bar-nashville-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 36.14274, 'longitude': -86.76832}",(786) 942-8279,850.5009264485034,rs2OZH_vIKgW2Zk59OnZ2A,https://s3-media4.fl.yelpcdn.com/bphoto/ohbPSInUhZPLkY0xHweEpA/o.jpg,False,"{'address1': '509 Houston St', 'address2': None, 'address3': '', 'city': 'Nashville', 'zip_code': '37203', 'country': 'US', 'state': 'TN', 'display_address': ['509 Houston St', 'Nashville, TN 37203']}",Falcon Coffee Bar,+17869428279,,5.0,14,[],https://www.yelp.com/biz/falcon-coffee-bar-nashville-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
steadfast-coffee-nashville-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 36.1775969496853, 'longitude': -86.7915955599689}",(615) 891-7424,4665.565443014079,ElqoiaCSUA8oyyvixox9lQ,https://s3-media3.fl.yelpcdn.com/bphoto/hubnQxDGjx4msAifH3JQAg/o.jpg,False,"{'address1': '603 Taylor St', 'address2': '', 'address3': '', 'city': 'Nashville', 'zip_code': '37208', 'country': 'US', 'state': 'TN', 'display_address': ['603 Taylor St', 'Nashville, TN 37208']}",Steadfast Coffee,+16158917424,$$,4.5,223,[],https://www.yelp.com/biz/steadfast-coffee-nashville-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
crest-coffee-house-nashville,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 36.1374442987373, 'longitude': -86.770335137368}",,465.8088391092113,ACYt-FtXTGBEsA0P36s4Cw,https://s3-media1.fl.yelpcdn.com/bphoto/2b9q-bWPb5poQoxDVcgf5g/o.jpg,False,"{'address1': '1601 Martin St', 'address2': '', 'address3': None, 'city': 'Nashville', 'zip_code': '37203', 'country': 'US', 'state': 'TN', 'display_address': ['1601 Martin St', 'Nashville, TN 37203']}",Crest Coffee House,,,5.0,6,[],https://www.yelp.com/biz/crest-coffee-house-nashville?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
district-coffee-nashville,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 36.10863, 'longitude': -86.75637}",(615) 922-2910,3661.095609970826,0Aov4WvC_3NErO5JtmoJtw,https://s3-media2.fl.yelpcdn.com/bphoto/os_EDCOWqIyPr8pTSliupw/o.jpg,False,"{'address1': '2927 Sidco Dr', 'address2': '', 'address3': None, 'city': 'Nashville', 'zip_code': '37204', 'country': 'US', 'state': 'TN', 'display_address': ['2927 Sidco Dr', 'Nashville, TN 37204']}",District Coffee,+16159222910,,5.0,8,[],https://www.yelp.com/biz/district-coffee-nashville?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
osa-coffee-roasters-nashville,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 36.143223656883, 'longitude': -86.7927033120343}",(615) 730-6005,1661.4526919240298,2HsnioWszOnG0XPIDhrilw,https://s3-media3.fl.yelpcdn.com/bphoto/O_ST0Kij-eE5QicCElPulw/o.jpg,False,"{'address1': '1579 Edgehill Ave', 'address2': '', 'address3': None, 'city': 'Nashville', 'zip_code': '37212', 'country': 'US', 'state': 'TN', 'display_address': ['1579 Edgehill Ave', 'Nashville, TN 37212']}",Osa Coffee Roasters,+16157306005,,5.0,2,[],https://www.yelp.com/biz/osa-coffee-roasters-nashville?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
