alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
coffee-project-ny-new-york,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 40.72699, 'longitude': -73.98922}",(212) 228-7888,2435.8434261216967,pimuUR-TEHIjUla3S3jemQ,https://s3-media2.fl.yelpcdn.com/bphoto/2Wtg4i2JV0N0ZZnl33S3Cg/o.jpg,False,"{'address1': '239 E 5th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['239 E 5th St', 'New York, NY 10003']}",Coffee Project NY,+12122287888,$$,4.5,632,[],https://www.yelp.com/biz/coffee-project-ny-new-york?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
brooklyn-roasting-company-brooklyn-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 40.704228, 'longitude': -73.986241}",(718) 855-1000,700.3281237079469,pzqb1u_GeU-vkrk_KdFieQ,https://s3-media1.fl.yelpcdn.com/bphoto/-B_RsB5Vm0T92Ia8SctWxg/o.jpg,False,"{'address1': '25 Jay St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['25 Jay St', 'Brooklyn, NY 11201']}",Brooklyn Roasting Company,+17188551000,$$,4.0,490,[],https://www.yelp.com/biz/brooklyn-roasting-company-brooklyn-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
white-noise-brooklyn-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 40.6893582571548, 'longitude': -73.9884148165584}",,1856.1270355932324,CBmrwh7jHn88M4v8Q9Qyyg,https://s3-media2.fl.yelpcdn.com/bphoto/rcNRZr7mVv-vb-PKMMrsLw/o.jpg,False,"{'address1': '71 Smith St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['71 Smith St', 'Brooklyn, NY 11201']}",White Noise,,,4.5,20,[],https://www.yelp.com/biz/white-noise-brooklyn-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
kaigo-coffee-room-new-york-4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 40.7187029822397, 'longitude': -74.0004725370878}",(646) 504-5353,1563.5297646007357,u0bYCPlbJ85_lDjnZQ_e3w,https://s3-media4.fl.yelpcdn.com/bphoto/b6xzD6icNoM9SJ9PnYILeQ/o.jpg,False,"{'address1': '120C Lafayette St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['120C Lafayette St', 'New York, NY 10013']}",Kaigo Coffee Room,+16465045353,$$,4.5,130,[],https://www.yelp.com/biz/kaigo-coffee-room-new-york-4?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
devocion-williamsburg,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 40.716083, 'longitude': -73.964752}",(718) 285-6180,2762.7656443327546,jZZMmT7Mk3S-fNjXcq3Ksg,https://s3-media1.fl.yelpcdn.com/bphoto/KKbQnDLSS8Or93vgpBJoxQ/o.jpg,False,"{'address1': '69 Grand St', 'address2': None, 'address3': '', 'city': 'Williamsburg', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['69 Grand St', 'Williamsburg, NY 11249']}",Devocion,+17182856180,$$,4.0,389,[],https://www.yelp.com/biz/devocion-williamsburg?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
coffee-lab-38-whitestone,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 40.78885, 'longitude': -73.811486}",(718) 357-3236,17976.821427734496,IHXu1ZunUEGugK-9F8ihpg,https://s3-media3.fl.yelpcdn.com/bphoto/skJXKl9dAqptKnHWkJRlmw/o.jpg,False,"{'address1': '1416B Clintonville St', 'address2': None, 'address3': '', 'city': 'Whitestone', 'zip_code': '11357', 'country': 'US', 'state': 'NY', 'display_address': ['1416B Clintonville St', 'Whitestone, NY 11357']}",Coffee Lab 38,+17183573236,,5.0,16,"['pickup', 'delivery']",https://www.yelp.com/biz/coffee-lab-38-whitestone?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
absolute-coffee-brooklyn,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 40.68827, 'longitude': -73.987569}",(718) 522-0969,1995.2838490428082,Qmv4SPta2zx7MhKit8ywag,https://s3-media2.fl.yelpcdn.com/bphoto/7-FjJHmxoT8JXS5lvyO13w/o.jpg,False,"{'address1': '327 Atlantic Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['327 Atlantic Ave', 'Brooklyn, NY 11201']}",Absolute Coffee,+17185220969,$$,4.5,159,[],https://www.yelp.com/biz/absolute-coffee-brooklyn?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
sawada-coffee-new-york,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 40.7183878, 'longitude': -74.0015522}",,1551.476759847152,GmO-vuYIlKO8MexarMmlUA,https://s3-media1.fl.yelpcdn.com/bphoto/l9bQxTBIH7iBG6k8nlEteQ/o.jpg,False,"{'address1': '33 Cortlandt Aly', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['33 Cortlandt Aly', 'New York, NY 10013']}",Sawada Coffee,,,5.0,6,[],https://www.yelp.com/biz/sawada-coffee-new-york?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
devocion-brooklyn-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 40.68857, 'longitude': -73.98334}",(718) 285-6180,2087.8169485341946,NG-KlDcSjBk3pfdzjXmMVw,https://s3-media1.fl.yelpcdn.com/bphoto/xEKPpnWtKdo3f_q3vJNW4A/o.jpg,False,"{'address1': '276 Livingston St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['276 Livingston St', 'Brooklyn, NY 11201']}",Devocion,+17182856180,$$,4.0,73,[],https://www.yelp.com/biz/devocion-brooklyn-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
saltwater-coffee-new-york,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 40.7304578, 'longitude': -73.9839175}",(917) 881-2245,2915.5320769059854,SZXOfQbLyF3C5GwYBj6VvA,https://s3-media1.fl.yelpcdn.com/bphoto/cdBBTyVhiBft09uTwGStcw/o.jpg,False,"{'address1': '345 E 12th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['345 E 12th St', 'New York, NY 10003']}",Saltwater Coffee,+19178812245,$$,5.0,172,[],https://www.yelp.com/biz/saltwater-coffee-new-york?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
happy-bones-nyc-new-york,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 40.720726, 'longitude': -73.9970474}",(212) 673-3754,1718.756434115631,jDLKMWhHACb5w1DDtnW9ag,https://s3-media1.fl.yelpcdn.com/bphoto/elDezPe_3XLHkJontILRYQ/o.jpg,False,"{'address1': '394 Broome St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['394 Broome St', 'New York, NY 10013']}",Happy Bones NYC,+12126733754,$$,4.0,268,[],https://www.yelp.com/biz/happy-bones-nyc-new-york?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
dan-jones-new-york,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 40.76074217, 'longitude': -73.96731033}",,6555.639157833311,j5psUbOP3fLMwEiJ68rIVw,https://s3-media3.fl.yelpcdn.com/bphoto/acqFcYpfi_nmOUNTCopWeA/o.jpg,False,"{'address1': '956 3rd Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10022', 'country': 'US', 'state': 'NY', 'display_address': ['956 3rd Ave', 'New York, NY 10022']}",Dan Jones,,,4.0,17,[],https://www.yelp.com/biz/dan-jones-new-york?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
sweetleaf-coffee-long-island-city-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 40.748429, 'longitude': -73.9383244}",(718) 361-8000,6680.830751768422,zHR6xvSiqX9UqAAaTsAoNw,https://s3-media2.fl.yelpcdn.com/bphoto/n0-1vWDa9LvgJjCd16SNaQ/o.jpg,False,"{'address1': '28-10 Jackson Ave', 'address2': None, 'address3': '', 'city': 'Long Island City', 'zip_code': '11101', 'country': 'US', 'state': 'NY', 'display_address': ['28-10 Jackson Ave', 'Long Island City, NY 11101']}",Sweetleaf Coffee,+17183618000,,4.5,9,[],https://www.yelp.com/biz/sweetleaf-coffee-long-island-city-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
