alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
canvas-coffee-house-newport-news,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 37.0833, 'longitude': -76.48791}",(434) 579-1469,2213.6332476107536,0sckgELN5j99uUXTy2WreQ,https://s3-media2.fl.yelpcdn.com/bphoto/C8-K1DHglnMW5DS4Xzp92g/o.jpg,False,"{'address1': '2170 William Styron Square S', 'address2': '', 'address3': None, 'city': 'Newport News', 'zip_code': '23606', 'country': 'US', 'state': 'VA', 'display_address': ['2170 William Styron Square S', 'Newport News, VA 23606']}",Canvas Coffee House,+14345791469,,4.5,14,[],https://www.yelp.com/biz/canvas-coffee-house-newport-news?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
aromas-coffeehouse-bakeshop-and-cafe-newport-news,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 37.0862083435059, 'longitude': -76.4729232788086}",(757) 240-4650,3565.63593151735,EJTfG1bJNMZ56Sbnbzq0ww,https://s3-media2.fl.yelpcdn.com/bphoto/ZqrEf29X2z57pywy0r0Hfg/o.jpg,False,"{'address1': '706 Town Center Dr', 'address2': None, 'address3': None, 'city': 'Newport News', 'zip_code': '23606', 'country': 'US', 'state': 'VA', 'display_address': ['706 Town Center Dr', 'Newport News, VA 23606']}",Aromas Coffeehouse Bakeshop & Cafe,+17572404650,$,4.0,219,[],https://www.yelp.com/biz/aromas-coffeehouse-bakeshop-and-cafe-newport-news?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
rogue-elephant-coffee-roasting-company-hampton-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 37.0508270263672, 'longitude': -76.3980331420898}",(757) 589-3921,10355.215752168973,42ZZJIZESH0sG-FHJ7kpfQ,https://s3-media2.fl.yelpcdn.com/bphoto/t8Rl9h2rGLKuRoCzh4EtTg/o.jpg,False,"{'address1': '', 'address2': '', 'address3': '', 'city': 'Hampton', 'zip_code': '23666', 'country': 'US', 'state': 'VA', 'display_address': ['Hampton, VA 23666']}",Rogue Elephant Coffee Roasting Company,+17575893921,$$,5.0,5,[],https://www.yelp.com/biz/rogue-elephant-coffee-roasting-company-hampton-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
coffee-beanery-newport-news,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 37.1127857962053, 'longitude': -76.4960480989544}",(757) 249-9226,4218.5443626177985,H9TWC2t5szhcDToTVS03yQ,https://s3-media2.fl.yelpcdn.com/bphoto/CpRDGKrNd-o7NORp7-HjcQ/o.jpg,False,"{'address1': '12300 Jefferson Ave', 'address2': 'Ste 223', 'address3': '', 'city': 'Newport News', 'zip_code': '23602', 'country': 'US', 'state': 'VA', 'display_address': ['12300 Jefferson Ave', 'Ste 223', 'Newport News, VA 23602']}",Coffee Beanery,+17572499226,$,4.5,11,[],https://www.yelp.com/biz/coffee-beanery-newport-news?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
indulge-bakery-and-bistro-newport-news,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]","{'latitude': 37.0328563, 'longitude': -76.4619492}",(757) 594-1399,6585.126085116973,DgnUUQXwXt0kqc0uI-aDrA,https://s3-media2.fl.yelpcdn.com/bphoto/BHr3Bb4X70K_gmPqLt5-RA/o.jpg,False,"{'address1': '10359 Warwick Blvd', 'address2': '', 'address3': '', 'city': 'Newport News', 'zip_code': '23601', 'country': 'US', 'state': 'VA', 'display_address': ['10359 Warwick Blvd', 'Newport News, VA 23601']}",Indulge Bakery and Bistro,+17575941399,$,4.5,87,[],https://www.yelp.com/biz/indulge-bakery-and-bistro-newport-news?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
mobjack-bay-coffee-roasters-yorktown-2,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 37.2348890962467, 'longitude': -76.5076074181647}",(804) 519-4499,17569.339238804263,O1K5-BiJeeH1GhZBx6kIEg,https://s3-media4.fl.yelpcdn.com/bphoto/FOGcW2p8DqFDwlv1PvfPDQ/o.jpg,False,"{'address1': '411 Historic Main Street', 'address2': '', 'address3': None, 'city': 'Yorktown', 'zip_code': '23690', 'country': 'US', 'state': 'VA', 'display_address': ['411 Historic Main Street', 'Yorktown, VA 23690']}",Mobjack Bay Coffee Roasters,+18045194499,$,5.0,4,[],https://www.yelp.com/biz/mobjack-bay-coffee-roasters-yorktown-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
cure-coffeehouse-smithfield,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 36.98273, 'longitude': -76.63185}",(757) 542-4444,14954.039311823813,Yund96im1C10kMCE04OQTA,https://s3-media2.fl.yelpcdn.com/bphoto/bQBzlkr_1s80his8scH-Bg/o.jpg,False,"{'address1': '113 N Church St', 'address2': '', 'address3': None, 'city': 'Smithfield', 'zip_code': '23430', 'country': 'US', 'state': 'VA', 'display_address': ['113 N Church St', 'Smithfield, VA 23430']}",Cure Coffeehouse,+17575424444,$$,4.5,10,[],https://www.yelp.com/biz/cure-coffeehouse-smithfield?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
kung-fu-tea-newport-news,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]","{'latitude': 37.0697829750363, 'longitude': -76.4947043027669}",(757) 223-1968,1670.151170967179,mWzVDAzhJUnVbnK62LgHHg,https://s3-media4.fl.yelpcdn.com/bphoto/ClkTfdEQ4mhmtTHYfW1z6g/o.jpg,False,"{'address1': '21 Hidenwood Shopping Ctr', 'address2': None, 'address3': '', 'city': 'Newport News', 'zip_code': '23606', 'country': 'US', 'state': 'VA', 'display_address': ['21 Hidenwood Shopping Ctr', 'Newport News, VA 23606']}",Kung Fu Tea,+17572231968,,4.5,28,[],https://www.yelp.com/biz/kung-fu-tea-newport-news?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
sage-kitchen-andersons-newport-news-newport-news,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 37.0635512, 'longitude': -76.4668438}",(757) 599-3510,4234.453700885095,Ro-aBRdfsoh7ZJsu3Zry0w,https://s3-media4.fl.yelpcdn.com/bphoto/aY3NmRwGTj3VOji_vNrKHQ/o.jpg,False,"{'address1': '11250 Jefferson Ave', 'address2': '', 'address3': '', 'city': 'Newport News', 'zip_code': '23601', 'country': 'US', 'state': 'VA', 'display_address': ['11250 Jefferson Ave', 'Newport News, VA 23601']}",Sage Kitchen - Anderson's Newport News,+17575993510,$$,4.5,73,[],https://www.yelp.com/biz/sage-kitchen-andersons-newport-news-newport-news?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
byrds-restaurant-newport-news,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 37.0699224403743, 'longitude': -76.4948906525944}",(757) 223-9841,1668.911084348477,j09qMy3SZ_kfOTITXHjPHw,https://s3-media4.fl.yelpcdn.com/bphoto/oXL_Wx7HWuEgWVga7sQVmg/o.jpg,False,"{'address1': '12409 Warwick Blvd', 'address2': '', 'address3': '27 Hidenwood Shopping Ctr', 'city': 'Newport News', 'zip_code': '23606', 'country': 'US', 'state': 'VA', 'display_address': ['12409 Warwick Blvd', '27 Hidenwood Shopping Ctr', 'Newport News, VA 23606']}",Byrd's Restaurant,+17572239841,$$,4.5,207,[],https://www.yelp.com/biz/byrds-restaurant-newport-news?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
