alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
cartel-coffee-lab-phoenix-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 33.4485961, 'longitude': -112.0721686}",(480) 621-6381,438.8646392958388,j0_DUr3vBXY-JP-b0bf93A,https://s3-media2.fl.yelpcdn.com/bphoto/JNB2LkD_h2EBkA8l519S-Q/o.jpg,False,"{'address1': '1 North 1st St', 'address2': '', 'address3': '', 'city': 'Phoenix', 'zip_code': '85004', 'country': 'US', 'state': 'AZ', 'display_address': ['1 North 1st St', 'Phoenix, AZ 85004']}",Cartel Coffee Lab,+14806216381,$,4.0,314,[],https://www.yelp.com/biz/cartel-coffee-lab-phoenix-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
serafina-coffee-roasters-phoenix-2,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 33.4469681915203, 'longitude': -112.074735225955}",(480) 259-1718,476.44051834278224,9plxV6dMrAJQkvpnotSFeg,https://s3-media1.fl.yelpcdn.com/bphoto/HGILPdbI9Jyyxwxv1eSejw/o.jpg,False,"{'address1': '45 W Jefferson St', 'address2': '', 'address3': None, 'city': 'Phoenix', 'zip_code': '85003', 'country': 'US', 'state': 'AZ', 'display_address': ['45 W Jefferson St', 'Phoenix, AZ 85003']}",Serafina Coffee Roasters,+14802591718,$,5.0,55,[],https://www.yelp.com/biz/serafina-coffee-roasters-phoenix-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
dapper-and-stout-coffee-company-phoenix,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 33.44794, 'longitude': -112.07042}",(623) 934-1226,338.85889700130537,cJMwEeCoUDzmI8osyz1qug,https://s3-media1.fl.yelpcdn.com/bphoto/B1aFUApDfWkJP86z1FQqTw/o.jpg,False,"{'address1': '201 E Washington St', 'address2': 'Ste 102', 'address3': '', 'city': 'Phoenix', 'zip_code': '85004', 'country': 'US', 'state': 'AZ', 'display_address': ['201 E Washington St', 'Ste 102', 'Phoenix, AZ 85004']}",Dapper & Stout Coffee Company,+16239341226,,4.5,8,"['delivery', 'pickup']",https://www.yelp.com/biz/dapper-and-stout-coffee-company-phoenix?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
lux-central-phoenix-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 33.5005972575259, 'longitude': -112.074237169975}",(602) 327-1396,6191.1472325434215,OgJ0KxwJcJ9R5bUK0ixCbg,https://s3-media4.fl.yelpcdn.com/bphoto/zbqPnkBXQVn_qwFLjjjBnw/o.jpg,False,"{'address1': '4400 N Central Ave', 'address2': '', 'address3': '', 'city': 'Phoenix', 'zip_code': '85012', 'country': 'US', 'state': 'AZ', 'display_address': ['4400 N Central Ave', 'Phoenix, AZ 85012']}",Lux Central,+16023271396,$$,4.0,2148,[],https://www.yelp.com/biz/lux-central-phoenix-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
fillmore-coffee-phoenix-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 33.454661, 'longitude': -112.068853}",(602) 606-2426,1078.550426618171,MZkP-I91Df4XgmVelGBGng,https://s3-media3.fl.yelpcdn.com/bphoto/Bb9Q3kHYYfppajNP4AvCqQ/o.jpg,False,"{'address1': '600 N 4th St', 'address2': None, 'address3': None, 'city': 'Phoenix', 'zip_code': '85004', 'country': 'US', 'state': 'AZ', 'display_address': ['600 N 4th St', 'Phoenix, AZ 85004']}",Fillmore Coffee,+16026062426,$,4.5,170,"['delivery', 'pickup']",https://www.yelp.com/biz/fillmore-coffee-phoenix-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
tres-leches-cafe-phoenix-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 33.451481, 'longitude': -112.096495}",(602) 368-1804,2546.690718736059,VT9VcNegXrl-BLDCjWH3fQ,https://s3-media2.fl.yelpcdn.com/bphoto/ap1NUWr1fg3ctEtReVi-2A/o.jpg,False,"{'address1': '1714 W Van Buren St', 'address2': '', 'address3': '', 'city': 'Phoenix', 'zip_code': '85007', 'country': 'US', 'state': 'AZ', 'display_address': ['1714 W Van Buren St', 'Phoenix, AZ 85007']}",Tres Leches Cafe,+16023681804,$,4.5,374,[],https://www.yelp.com/biz/tres-leches-cafe-phoenix-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
lola-coffee-phoenix-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 33.45875, 'longitude': -112.077353}",(602) 252-2265,1665.894934890309,jq9gzjKbVWgeMYzA0aFzxw,https://s3-media4.fl.yelpcdn.com/bphoto/NGvFiNmfbdNOCuaNZddBvw/o.jpg,False,"{'address1': '1001 N 3rd Ave', 'address2': '', 'address3': '', 'city': 'Phoenix', 'zip_code': '85003', 'country': 'US', 'state': 'AZ', 'display_address': ['1001 N 3rd Ave', 'Phoenix, AZ 85003']}",Lola Coffee,+16022522265,$$,4.0,441,"['delivery', 'pickup']",https://www.yelp.com/biz/lola-coffee-phoenix-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
songbird-coffee-and-tea-house-phoenix-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 33.4570313, 'longitude': -112.0703201}",(602) 374-4192,1333.021360063721,ogW-9p7lcXQYTPymXy9KXw,https://s3-media1.fl.yelpcdn.com/bphoto/oEAb-WBw8qhzf4cp6XiCfw/o.jpg,False,"{'address1': '812 N 3rd St', 'address2': '', 'address3': '', 'city': 'Phoenix', 'zip_code': '85004', 'country': 'US', 'state': 'AZ', 'display_address': ['812 N 3rd St', 'Phoenix, AZ 85004']}",Songbird Coffee & Tea House,+16023744192,$,4.5,213,[],https://www.yelp.com/biz/songbird-coffee-and-tea-house-phoenix-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
elevate-coffee-phoenix,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 33.7154693739136, 'longitude': -112.113799452782}",(602) 341-5480,30342.762695432928,n6IWvkVMWB9OIRZBXh5tHw,https://s3-media1.fl.yelpcdn.com/bphoto/y31y_k-R057-gp4cS9pYOw/o.jpg,False,"{'address1': '2530 W Happy Valley Rd', 'address2': 'Ste 1273', 'address3': '', 'city': 'Phoenix', 'zip_code': '85085', 'country': 'US', 'state': 'AZ', 'display_address': ['2530 W Happy Valley Rd', 'Ste 1273', 'Phoenix, AZ 85085']}",Elevate Coffee,+16023415480,$,4.5,382,"['delivery', 'pickup']",https://www.yelp.com/biz/elevate-coffee-phoenix?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
be-coffee-food-stuff-phoenix,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 33.4589658497245, 'longitude': -112.070489135721}",(602) 687-7544,1550.6908606058385,WB7346WSdkTHvtHfWPilaA,https://s3-media2.fl.yelpcdn.com/bphoto/V_PKdxqicalN8IhOgI4rPA/o.jpg,False,"{'address1': '214 E Roosevelt St', 'address2': None, 'address3': '', 'city': 'Phoenix', 'zip_code': '85004', 'country': 'US', 'state': 'AZ', 'display_address': ['214 E Roosevelt St', 'Phoenix, AZ 85004']}",Be Coffee + Food + Stuff,+16026877544,$,4.5,377,[],https://www.yelp.com/biz/be-coffee-food-stuff-phoenix?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
whereubean-coffee-phoenix,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'tea', 'title': 'Tea Rooms'}]","{'latitude': 33.3057594, 'longitude': -111.9796524}",(480) 584-3886,17628.094321308174,ccMpzq6Bu2Ha4Wbn6TnT7Q,https://s3-media3.fl.yelpcdn.com/bphoto/vEXp4rAm7oD94LsHv3QyCg/o.jpg,False,"{'address1': '4804 E Chandler Blvd', 'address2': 'Ste 110', 'address3': '', 'city': 'Phoenix', 'zip_code': '85048', 'country': 'US', 'state': 'AZ', 'display_address': ['4804 E Chandler Blvd', 'Ste 110', 'Phoenix, AZ 85048']}",WhereUBean Coffee,+14805843886,$,4.5,195,[],https://www.yelp.com/biz/whereubean-coffee-phoenix?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
peixoto-coffee-roasters-chandler-2,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 33.30202, 'longitude': -111.84167}",(480) 275-2843,26496.129437098072,ujgpePdD8Q-fP1mPFnw0Qw,https://s3-media2.fl.yelpcdn.com/bphoto/JbXonK78B5Hy3PSvPtCaSg/o.jpg,False,"{'address1': '11 W Boston St', 'address2': 'Ste 6', 'address3': '', 'city': 'Chandler', 'zip_code': '85225', 'country': 'US', 'state': 'AZ', 'display_address': ['11 W Boston St', 'Ste 6', 'Chandler, AZ 85225']}",Peixoto Coffee Roasters,+14802752843,$$,4.5,554,[],https://www.yelp.com/biz/peixoto-coffee-roasters-chandler-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
provision-coffee-bar-phoenix-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 33.5026801, 'longitude': -112.0128451}",(602) 626-3866,8354.95705030243,ucjDFc8YgtoIYm95K1dZ2w,https://s3-media4.fl.yelpcdn.com/bphoto/KdE3QOAQB4cj3T1f8mn1Zg/o.jpg,False,"{'address1': '4501 N 32nd St', 'address2': '', 'address3': None, 'city': 'Phoenix', 'zip_code': '85018', 'country': 'US', 'state': 'AZ', 'display_address': ['4501 N 32nd St', 'Phoenix, AZ 85018']}",Provision Coffee Bar,+16026263866,$$,4.5,97,[],https://www.yelp.com/biz/provision-coffee-bar-phoenix-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
