alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
storyville-coffee-company-seattle-9,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.6088847, 'longitude': -122.3403957}",(206) 780-5777,1874.6459036561484,FVzl8rDPiTWEtrNEuCu-Xg,https://s3-media3.fl.yelpcdn.com/bphoto/nJgiyjMZ7sglAtc5wyKSLQ/o.jpg,False,"{'address1': '94 Pike St', 'address2': 'Ste 34', 'address3': 'Pike Place Market', 'city': 'Seattle', 'zip_code': '98101', 'country': 'US', 'state': 'WA', 'display_address': ['94 Pike St', 'Ste 34', 'Pike Place Market', 'Seattle, WA 98101']}",Storyville Coffee Company,+12067805777,$$,4.5,1462,"['delivery', 'pickup']",https://www.yelp.com/biz/storyville-coffee-company-seattle-9?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
moore-coffee-shop-seattle,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'waffles', 'title': 'Waffles'}]","{'latitude': 47.611705, 'longitude': -122.3412531}",(206) 883-7044,1584.5164185616793,qKkHnsG-f4-BhdkR6yRrgw,https://s3-media4.fl.yelpcdn.com/bphoto/HTHJUXTZ-tZ3sJcgWMbGOg/o.jpg,False,"{'address1': '1930 2nd Ave', 'address2': None, 'address3': '', 'city': 'Seattle', 'zip_code': '98101', 'country': 'US', 'state': 'WA', 'display_address': ['1930 2nd Ave', 'Seattle, WA 98101']}",Moore Coffee Shop,+12068837044,$,4.5,968,[],https://www.yelp.com/biz/moore-coffee-shop-seattle?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
starbucks-reserve-roastery-and-tasting-room-seattle-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 47.6140014481935, 'longitude': -122.328058406711}",(206) 624-0173,1387.0015216886272,6ZKNFPLWRIVWshUkMNlgng,https://s3-media2.fl.yelpcdn.com/bphoto/46_q_Il9a38A-VNoOLlIfw/o.jpg,False,"{'address1': '1124 Pike St', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98101', 'country': 'US', 'state': 'WA', 'display_address': ['1124 Pike St', 'Seattle, WA 98101']}",Starbucks Reserve Roastery & Tasting Room,+12066240173,$$,4.5,2494,[],https://www.yelp.com/biz/starbucks-reserve-roastery-and-tasting-room-seattle-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
anchorhead-coffee-seattle,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 47.6133808022766, 'longitude': -122.334691182469}",,1339.997320896499,K-X3rRAVbeMZ0VIDWuPX_Q,https://s3-media1.fl.yelpcdn.com/bphoto/bLlhUj4b2TcI6Bl0IRKZ6g/o.jpg,False,"{'address1': '1600 7th Ave', 'address2': 'Ste 105', 'address3': None, 'city': 'Seattle', 'zip_code': '98101', 'country': 'US', 'state': 'WA', 'display_address': ['1600 7th Ave', 'Ste 105', 'Seattle, WA 98101']}",Anchorhead Coffee,,$,4.5,404,[],https://www.yelp.com/biz/anchorhead-coffee-seattle?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
seattle-coffee-works-seattle,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 47.60879, 'longitude': -122.33948}",(206) 340-8867,1857.8704684316326,RwCpDB4C7CCFQvFxH1ve1g,https://s3-media1.fl.yelpcdn.com/bphoto/nDzPH0DZAzMI4GYlcseagw/o.jpg,False,"{'address1': '107 Pike St', 'address2': None, 'address3': '', 'city': 'Seattle', 'zip_code': '98101', 'country': 'US', 'state': 'WA', 'display_address': ['107 Pike St', 'Seattle, WA 98101']}",Seattle Coffee Works,+12063408867,$,4.5,831,[],https://www.yelp.com/biz/seattle-coffee-works-seattle?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
narrative-coffee-everett,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 47.9783802, 'longitude': -122.2068856}",(425) 322-4648,40406.09365030297,3hXXr89PEqv8SPjKsvZHsA,https://s3-media2.fl.yelpcdn.com/bphoto/Y9VA3FixPZFRdtqBFG4KCw/o.jpg,False,"{'address1': '2927 Wetmore Ave', 'address2': None, 'address3': '', 'city': 'Everett', 'zip_code': '98201', 'country': 'US', 'state': 'WA', 'display_address': ['2927 Wetmore Ave', 'Everett, WA 98201']}",Narrative Coffee,+14253224648,$,4.5,241,[],https://www.yelp.com/biz/narrative-coffee-everett?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
milstead-seattle-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.6493630890404, 'longitude': -122.347080911647}",(206) 659-4814,2800.041515711515,H_lQTUTQm9K0tmEJLZ4LAQ,https://s3-media1.fl.yelpcdn.com/bphoto/34C4_yfdgvK9NL8uhA1XmQ/o.jpg,False,"{'address1': '754 N 34th St', 'address2': None, 'address3': '', 'city': 'Seattle', 'zip_code': '98103', 'country': 'US', 'state': 'WA', 'display_address': ['754 N 34th St', 'Seattle, WA 98103']}",Milstead,+12066594814,$,4.5,421,[],https://www.yelp.com/biz/milstead-seattle-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
elm-coffee-roasters-seattle,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 47.600143951931, 'longitude': -122.331028842297}",(206) 445-7808,2830.464613416403,yUBeWsncQpEFcd74rFqCFQ,https://s3-media2.fl.yelpcdn.com/bphoto/TaWuXQp8OcdQMAHQyWQgog/o.jpg,False,"{'address1': '240 2nd Ave S', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98104', 'country': 'US', 'state': 'WA', 'display_address': ['240 2nd Ave S', 'Seattle, WA 98104']}",Elm Coffee Roasters,+12064457808,$,4.0,244,[],https://www.yelp.com/biz/elm-coffee-roasters-seattle?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
herkimer-coffee-seattle-4,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 47.6273123201971, 'longitude': -122.342602303091}",(206) 274-8242,571.6616892549407,9ZdWXXU9J8E0cs_rWt2L_g,https://s3-media2.fl.yelpcdn.com/bphoto/-KyiQiLhSi5EjxuiKO1ygw/o.jpg,False,"{'address1': '901 Dexter Ave N', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98109', 'country': 'US', 'state': 'WA', 'display_address': ['901 Dexter Ave N', 'Seattle, WA 98109']}",Herkimer Coffee,+12062748242,$,4.0,109,[],https://www.yelp.com/biz/herkimer-coffee-seattle-4?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
kaladi-brothers-coffee-seattle,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'bagels', 'title': 'Bagels'}]","{'latitude': 47.614, 'longitude': -122.324709}",(206) 257-1688,1505.863826217028,LPZU3HWxFxGvuOZOFSyXHw,https://s3-media4.fl.yelpcdn.com/bphoto/2g0sDo1xG29_BHRu5nifyw/o.jpg,False,"{'address1': '517 E Pike St', 'address2': None, 'address3': '', 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['517 E Pike St', 'Seattle, WA 98122']}",Kaladi Brothers Coffee,+12062571688,$,4.5,272,[],https://www.yelp.com/biz/kaladi-brothers-coffee-seattle?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
