alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
three-ships-coffee-roasters-virginia-beach-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 36.8461477201631, 'longitude': -75.9823581473292}",,9662.165536552484,hMWJ3E68pdDCtAnnDGeQPA,https://s3-media3.fl.yelpcdn.com/bphoto/PUguNJiPQqjQbgXXPzlv2w/o.jpg,False,"{'address1': '607 19th St', 'address2': None, 'address3': '', 'city': 'Virginia Beach', 'zip_code': '23451', 'country': 'US', 'state': 'VA', 'display_address': ['607 19th St', 'Virginia Beach, VA 23451']}",Three Ships Coffee Roasters,,$,4.5,238,[],https://www.yelp.com/biz/three-ships-coffee-roasters-virginia-beach-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
bad-ass-coffee-virginia-beach-18,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 36.8451499, 'longitude': -75.98315}",(757) 233-4007,9578.543407170997,SALPECsTr3WymLptrard1Q,https://s3-media4.fl.yelpcdn.com/bphoto/O4YGqPJNI0GR1uhx9gMT_w/o.jpg,False,"{'address1': '619 18th St', 'address2': '', 'address3': '', 'city': 'Virginia Beach', 'zip_code': '23451', 'country': 'US', 'state': 'VA', 'display_address': ['619 18th St', 'Virginia Beach, VA 23451']}",Bad Ass Coffee,+17572334007,$,4.0,339,[],https://www.yelp.com/biz/bad-ass-coffee-virginia-beach-18?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
pourfavor-virginia-beach-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 36.7704504665878, 'longitude': -76.1894659752869}",(757) 270-1623,11361.316826452014,ZNu7O1jsRKQxhx5q5W-s8Q,https://s3-media2.fl.yelpcdn.com/bphoto/rVoVAAtp3n5IQDRXsKFKFg/o.jpg,False,"{'address1': '5705 Lynnhaven Pkwy', 'address2': 'Ste 108', 'address3': None, 'city': 'Virginia Beach', 'zip_code': '23464', 'country': 'US', 'state': 'VA', 'display_address': ['5705 Lynnhaven Pkwy', 'Ste 108', 'Virginia Beach, VA 23464']}",Pourfavor,+17572701623,$,4.0,106,[],https://www.yelp.com/biz/pourfavor-virginia-beach-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
roast-rider-coffee-tea-virginia-beach,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'tea', 'title': 'Tea Rooms'}]","{'latitude': 36.8536747739378, 'longitude': -76.0157434409317}",(757) 227-3454,6941.503128615183,Pk-C6s4ZeBQfb03iaEfniA,https://s3-media1.fl.yelpcdn.com/bphoto/JTPsryrO5XyKpF_qMvlSUA/o.jpg,False,"{'address1': '1554 Laskin Rd', 'address2': 'Unit 116', 'address3': '', 'city': 'Virginia Beach', 'zip_code': '23451', 'country': 'US', 'state': 'VA', 'display_address': ['1554 Laskin Rd', 'Unit 116', 'Virginia Beach, VA 23451']}",Roast Rider Coffee + Tea,+17572273454,$$,4.0,130,[],https://www.yelp.com/biz/roast-rider-coffee-tea-virginia-beach?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
cafe-moka-virginia-beach,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'macarons', 'title': 'Macarons'}]","{'latitude': 36.8009596, 'longitude': -76.1937881}",(757) 755-7505,9964.059053122946,6tgq3pzysa0hE-bHpEQjfA,https://s3-media4.fl.yelpcdn.com/bphoto/i35cm8hw-cnnv_6EpZJl9w/o.jpg,False,"{'address1': '1000 Regent University Dr', 'address2': None, 'address3': '', 'city': 'Virginia Beach', 'zip_code': '23464', 'country': 'US', 'state': 'VA', 'display_address': ['1000 Regent University Dr', 'Virginia Beach, VA 23464']}",Cafe Moka,+17577557505,$,4.0,151,[],https://www.yelp.com/biz/cafe-moka-virginia-beach?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
culture-coffee-and-tea-bar-virginia-beach,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 36.79934, 'longitude': -76.17362}",(228) 383-3735,8408.375051479386,gxsxPvoUpaCcqjuaNQDSFA,https://s3-media1.fl.yelpcdn.com/bphoto/vdxqOflRr6li-aKkMDIKIQ/o.jpg,False,"{'address1': '1314 Kempsville Rd', 'address2': None, 'address3': '', 'city': 'Virginia Beach', 'zip_code': '23464', 'country': 'US', 'state': 'VA', 'display_address': ['1314 Kempsville Rd', 'Virginia Beach, VA 23464']}",Culture Coffee & Tea Bar,+12283833735,$$,4.5,7,[],https://www.yelp.com/biz/culture-coffee-and-tea-bar-virginia-beach?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
town-center-cold-pressed-virginia-beach-virginia-beach,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 36.841483, 'longitude': -76.13366}",(757) 499-4500,3970.2888365328854,RzB52j_RPC-QL-U7uwWn5Q,https://s3-media2.fl.yelpcdn.com/bphoto/OGYxO1y7YbbTLQJ3eFgv7Q/o.jpg,False,"{'address1': '168 Central Park Ave', 'address2': None, 'address3': 'Daily Grind', 'city': 'Virginia Beach', 'zip_code': '23462', 'country': 'US', 'state': 'VA', 'display_address': ['168 Central Park Ave', 'Daily Grind', 'Virginia Beach, VA 23462']}",Town Center Cold Pressed - Virginia Beach,+17574994500,$,4.0,127,"['delivery', 'pickup']",https://www.yelp.com/biz/town-center-cold-pressed-virginia-beach-virginia-beach?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
lynnhaven-coffee-company-virginia-beach-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 36.91023, 'longitude': -76.07379}",(757) 481-2312,8537.767777020308,OvkaD5yvH8oqqwoDLB3iCA,https://s3-media4.fl.yelpcdn.com/bphoto/WqZCdOpfNZNQvkylPnuPwg/o.jpg,False,"{'address1': '2945 Shore Dr', 'address2': '', 'address3': '', 'city': 'Virginia Beach', 'zip_code': '23451', 'country': 'US', 'state': 'VA', 'display_address': ['2945 Shore Dr', 'Virginia Beach, VA 23451']}",Lynnhaven Coffee Company,+17574812312,$,4.0,57,[],https://www.yelp.com/biz/lynnhaven-coffee-company-virginia-beach-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
american-brew-virginia-beach-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'whiskeybars', 'title': 'Whiskey Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 36.907510183905, 'longitude': -76.0965095493701}",(757) 351-0862,8151.430062822079,d8dmY12J6t7iY0T3kST3FA,https://s3-media3.fl.yelpcdn.com/bphoto/qh9il7WZd4CQfVK3owcIIw/o.jpg,False,"{'address1': '3584 E Stratford Rd', 'address2': '', 'address3': '', 'city': 'Virginia Beach', 'zip_code': '23455', 'country': 'US', 'state': 'VA', 'display_address': ['3584 E Stratford Rd', 'Virginia Beach, VA 23455']}",American Brew,+17573510862,$,4.0,78,[],https://www.yelp.com/biz/american-brew-virginia-beach-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
sawdust-road-virginia-beach-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'publicart', 'title': 'Public Art'}]","{'latitude': 36.722791, 'longitude': -76.018343}",(757) 689-0670,13951.640197101566,JzFTN_GJMhuglFdUMPARIA,https://s3-media4.fl.yelpcdn.com/bphoto/ucI0ZsdD5ccdbgp-IX_sIA/o.jpg,False,"{'address1': '1791 Princess Anne Rd', 'address2': None, 'address3': '', 'city': 'Virginia Beach', 'zip_code': '23456', 'country': 'US', 'state': 'VA', 'display_address': ['1791 Princess Anne Rd', 'Virginia Beach, VA 23456']}",Sawdust Road,+17576890670,$$,4.5,27,[],https://www.yelp.com/biz/sawdust-road-virginia-beach-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
