alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
caseys-new-orleans-snowballs-austin,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]","{'latitude': 30.3120767, 'longitude': -97.714964}",,4176.0346092146165,ZlIUV5wDsUrQJ1AgANG47g,https://s3-media3.fl.yelpcdn.com/bphoto/YebHdWvLMD0eLXnRt5QRDg/o.jpg,False,"{'address1': '808 E 51st St', 'address2': '', 'address3': '', 'city': 'Austin', 'zip_code': '78751', 'country': 'US', 'state': 'TX', 'display_address': ['808 E 51st St', 'Austin, TX 78751']}",Casey's New Orleans Snowballs,,$,4.5,283,[],https://www.yelp.com/biz/caseys-new-orleans-snowballs-austin?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
nadamoo-austin-4,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 30.25054, 'longitude': -97.76547}",(512) 566-4964,6120.234823499611,L1eFKT60jkKdxumBa6O2wg,https://s3-media1.fl.yelpcdn.com/bphoto/cJFQKz6Y4xLJLDe2c4QVOg/o.jpg,False,"{'address1': '1701 South Lamar Blvd', 'address2': None, 'address3': '', 'city': 'Austin', 'zip_code': '78704', 'country': 'US', 'state': 'TX', 'display_address': ['1701 South Lamar Blvd', 'Austin, TX 78704']}",NadaMoo!,+15125664964,$,4.5,64,[],https://www.yelp.com/biz/nadamoo-austin-4?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
michoacana-natural-ice-cream-austin,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 30.3690258957361, 'longitude': -97.706375289006}",(512) 983-2267,8644.011983116248,_SNGG8_fciOsAT5d-jutcA,https://s3-media3.fl.yelpcdn.com/bphoto/tU-pK0ICRzLzO3LaLVeCXA/o.jpg,False,"{'address1': '9426 Parkfield Dr', 'address2': '', 'address3': '', 'city': 'Austin', 'zip_code': '78758', 'country': 'US', 'state': 'TX', 'display_address': ['9426 Parkfield Dr', 'Austin, TX 78758']}",Michoacana Natural Ice Cream,+15129832267,$,4.5,78,[],https://www.yelp.com/biz/michoacana-natural-ice-cream-austin?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
cold-cookie-company-austin-2,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 30.29051, 'longitude': -97.74464}",(512) 720-2334,2052.837962000079,I-oQr9U_5VXajCC2nMRHmg,https://s3-media1.fl.yelpcdn.com/bphoto/YWicF3fGh0DjiYCFRD7oSg/o.jpg,False,"{'address1': '2512 Rio Grande', 'address2': None, 'address3': '', 'city': 'Austin', 'zip_code': '78705', 'country': 'US', 'state': 'TX', 'display_address': ['2512 Rio Grande', 'Austin, TX 78705']}",Cold Cookie Company,+15127202334,$,4.0,77,[],https://www.yelp.com/biz/cold-cookie-company-austin-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
dolce-neve-austin,"[{'alias': 'gelato', 'title': 'Gelato'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 30.247625, 'longitude': -97.755404}",(512) 804-5568,6401.051305407798,rfqq-rHTTipS5XSuOhxCXg,https://s3-media2.fl.yelpcdn.com/bphoto/aLSh61lEJN_sZNBDn3k3Kw/o.jpg,False,"{'address1': '1713 S 1st St', 'address2': '', 'address3': '', 'city': 'Austin', 'zip_code': '78704', 'country': 'US', 'state': 'TX', 'display_address': ['1713 S 1st St', 'Austin, TX 78704']}",Dolce Neve,+15128045568,$$,4.5,567,[],https://www.yelp.com/biz/dolce-neve-austin?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
the-hideout-coffeehouse-austin-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 30.26856, 'longitude': -97.74215}",(512) 443-3688,4330.205313229037,tM1IgJCzeokdXrHWbX0K8Q,https://s3-media1.fl.yelpcdn.com/bphoto/oq_kQNfZmpcKFsu8jkCRdw/o.jpg,False,"{'address1': '617 Congress Ave', 'address2': '', 'address3': 'The Hideout Theatre', 'city': 'Austin', 'zip_code': '78701', 'country': 'US', 'state': 'TX', 'display_address': ['617 Congress Ave', 'The Hideout Theatre', 'Austin, TX 78701']}",The Hideout Coffeehouse,+15124433688,$,4.0,289,[],https://www.yelp.com/biz/the-hideout-coffeehouse-austin-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
caffe-teo-gelato-and-espresso-austin,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'gelato', 'title': 'Gelato'}]","{'latitude': 30.306588, 'longitude': -97.745231}",(512) 451-9555,1209.5489111997526,QF9-_EoCi2bVCBjLhd4gtg,https://s3-media3.fl.yelpcdn.com/bphoto/H2jM6VyqjtoqYGK-T9Qvhg/o.jpg,False,"{'address1': '1206 W 38th St', 'address2': 'Ste 1204B', 'address3': '', 'city': 'Austin', 'zip_code': '78705', 'country': 'US', 'state': 'TX', 'display_address': ['1206 W 38th St', 'Ste 1204B', 'Austin, TX 78705']}",Caffe Teo - Gelato and Espresso,+15124519555,$,4.0,313,[],https://www.yelp.com/biz/caffe-teo-gelato-and-espresso-austin?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
prohibition-creamery-austin,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 30.26422, 'longitude': -97.72763}",(512) 992-1449,5385.095378265173,STNf87wH--aqR1bnP8bymQ,https://s3-media4.fl.yelpcdn.com/bphoto/wnhTIGXyks-v1A_EwBH7lg/o.jpg,False,"{'address1': '1407 E 7th St', 'address2': '', 'address3': '', 'city': 'Austin', 'zip_code': '78702', 'country': 'US', 'state': 'TX', 'display_address': ['1407 E 7th St', 'Austin, TX 78702']}",Prohibition Creamery,+15129921449,$$,4.0,293,[],https://www.yelp.com/biz/prohibition-creamery-austin?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
revival-coffee-austin-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]","{'latitude': 30.26427, 'longitude': -97.72776}",(512) 524-0583,5379.395493736933,cMB8pX870DZzTNg1TSGRVA,https://s3-media1.fl.yelpcdn.com/bphoto/JHRzFI54GheSs4rW-HO2pg/o.jpg,False,"{'address1': '1405 E 7th St', 'address2': None, 'address3': '', 'city': 'Austin', 'zip_code': '78702', 'country': 'US', 'state': 'TX', 'display_address': ['1405 E 7th St', 'Austin, TX 78702']}",Revival Coffee,+15125240583,$,4.5,461,[],https://www.yelp.com/biz/revival-coffee-austin-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
d-lites-austin,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 30.223735, 'longitude': -97.839451}",(512) 891-0396,11982.502533592567,khghDJpPqW5hG4IXr8sF4A,https://s3-media1.fl.yelpcdn.com/bphoto/2ci1zZqq-UURmU0MO5egig/o.jpg,False,"{'address1': '4404 W William Cannon Dr', 'address2': '', 'address3': '', 'city': 'Austin', 'zip_code': '78749', 'country': 'US', 'state': 'TX', 'display_address': ['4404 W William Cannon Dr', 'Austin, TX 78749']}",D'Lites,+15128910396,$,4.5,143,"['delivery', 'pickup']",https://www.yelp.com/biz/d-lites-austin?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
