alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
the-bardo-coffee-house-denver,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'internetcafe', 'title': 'Internet Cafes'}]","{'latitude': 39.71228, 'longitude': -104.98734}",(303) 629-8331,2970.0486620193797,0ZZJ_FrcYS_7b6uUTx5fLQ,https://s3-media2.fl.yelpcdn.com/bphoto/O-ncbrsbaXvCVsnEU3hh3A/o.jpg,False,"{'address1': '238 S Broadway', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80209', 'country': 'US', 'state': 'CO', 'display_address': ['238 S Broadway', 'Denver, CO 80209']}",The Bardo Coffee House,+13036298331,$,4.5,352,[],https://www.yelp.com/biz/the-bardo-coffee-house-denver?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
glacier-home-made-ice-cream-and-gelato-boulder,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'gelato', 'title': 'Gelato'}]","{'latitude': 40.0315597, 'longitude': -105.258992}",(303) 440-6542,41116.478825361984,ICQFrdZKTyda5PZ2yMNrcg,https://s3-media3.fl.yelpcdn.com/bphoto/ReJpRucirwqrjJr1vVlc3w/o.jpg,False,"{'address1': '3133 28th St', 'address2': '', 'address3': '', 'city': 'Boulder', 'zip_code': '80301', 'country': 'US', 'state': 'CO', 'display_address': ['3133 28th St', 'Boulder, CO 80301']}",Glacier Home Made Ice Cream & Gelato,+13034406542,$,4.5,157,[],https://www.yelp.com/biz/glacier-home-made-ice-cream-and-gelato-boulder?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
corvus-coffee-roasters-denver-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 39.6849, 'longitude': -104.98726}",(303) 715-1740,5807.833329348659,f72j5IEzYUzRMw4qXetkMg,https://s3-media2.fl.yelpcdn.com/bphoto/kVNNds9KRpvRVYQlJSQLzQ/o.jpg,False,"{'address1': '1740 S Broadway', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80210', 'country': 'US', 'state': 'CO', 'display_address': ['1740 S Broadway', 'Denver, CO 80210']}",Corvus Coffee Roasters,+13037151740,$$,4.5,347,[],https://www.yelp.com/biz/corvus-coffee-roasters-denver-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
high-point-creamery-denver-2,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 39.7594833374023, 'longitude': -104.984649658203}",(303) 993-4581,2919.4971879177297,OzHCBPBiBt2hVGne7fwCAw,https://s3-media2.fl.yelpcdn.com/bphoto/ILQreMCxKUaZZG4gg36UCQ/o.jpg,False,"{'address1': '2669 Larimer St', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80205', 'country': 'US', 'state': 'CO', 'display_address': ['2669 Larimer St', 'Denver, CO 80205']}",High Point Creamery,+13039934581,$,4.5,80,['delivery'],https://www.yelp.com/biz/high-point-creamery-denver-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
liks-ice-cream-denver,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 39.737, 'longitude': -104.9626}",(303) 321-2370,682.3708025959645,JeQR_ov0Sox_tSg7tF8eaQ,https://s3-media2.fl.yelpcdn.com/bphoto/Vv83koZU6yc2jx-PO1nJyA/o.jpg,False,"{'address1': '2039 E 13th Ave', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80206', 'country': 'US', 'state': 'CO', 'display_address': ['2039 E 13th Ave', 'Denver, CO 80206']}",Liks Ice Cream,+13033212370,$,4.5,381,[],https://www.yelp.com/biz/liks-ice-cream-denver?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
mugs-and-cones-cafe-lakewood,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]","{'latitude': 39.7486501, 'longitude': -105.0815549}",(303) 955-5215,9706.903723637031,T9M700RjFU3ph1nDYXCqkg,https://s3-media4.fl.yelpcdn.com/bphoto/8BrQR-5RQFUV6_LOKCrh4g/o.jpg,False,"{'address1': '2099 Wadsworth Blvd', 'address2': 'Ste G', 'address3': None, 'city': 'Lakewood', 'zip_code': '80214', 'country': 'US', 'state': 'CO', 'display_address': ['2099 Wadsworth Blvd', 'Ste G', 'Lakewood, CO 80214']}",Mugs And Cones Cafe,+13039555215,,5.0,22,[],https://www.yelp.com/biz/mugs-and-cones-cafe-lakewood?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
sweet-action-ice-cream-denver,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 39.7174453735352, 'longitude': -104.987106323242}",(303) 282-4645,2459.424852171851,79Sr9y4YiaHsS3-WE3-YGA,https://s3-media2.fl.yelpcdn.com/bphoto/Lxx6ZoejgN7iWjTup5ohfw/o.jpg,False,"{'address1': '52 Broadway', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80203', 'country': 'US', 'state': 'CO', 'display_address': ['52 Broadway', 'Denver, CO 80203']}",Sweet Action Ice Cream,+13032824645,$,4.5,885,[],https://www.yelp.com/biz/sweet-action-ice-cream-denver?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
frozen-matter-denver,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 39.7461676, 'longitude': -104.9807281}",(720) 600-6358,1484.5884735327688,TQnGyQlagGiMdAwkC6XDMA,https://s3-media3.fl.yelpcdn.com/bphoto/k8hNlNV3RufNv8ll8zjOzw/o.jpg,False,"{'address1': '530 E 19th Ave', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80203', 'country': 'US', 'state': 'CO', 'display_address': ['530 E 19th Ave', 'Denver, CO 80203']}",Frozen Matter,+17206006358,$,4.5,108,[],https://www.yelp.com/biz/frozen-matter-denver?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
whittier-cafe-denver-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 39.7530209, 'longitude': -104.9668592}",(720) 550-7440,1966.9635296839333,3E-cs5eSPnWnjeJp7sC3ZQ,https://s3-media2.fl.yelpcdn.com/bphoto/7qQ9lShh0srt9bd6Yi3FlQ/o.jpg,False,"{'address1': '1710 E 25th Ave', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80205', 'country': 'US', 'state': 'CO', 'display_address': ['1710 E 25th Ave', 'Denver, CO 80205']}",Whittier Cafe,+17205507440,$,4.5,74,[],https://www.yelp.com/biz/whittier-cafe-denver-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
smith-and-canon-ice-cream-denver,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 39.73973, 'longitude': -104.96005}",,992.9921821614842,jaK6RSHeYQflsswWfyynbA,https://s3-media2.fl.yelpcdn.com/bphoto/0_hF4FTYZod5HxY2haaggw/o.jpg,False,"{'address1': '2260 E Colfax Ave', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80206', 'country': 'US', 'state': 'CO', 'display_address': ['2260 E Colfax Ave', 'Denver, CO 80206']}",Smith and Canon Ice Cream,,,5.0,18,[],https://www.yelp.com/biz/smith-and-canon-ice-cream-denver?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
