alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
oddfellows-ice-cream-new-york-3,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 40.72458, 'longitude': -73.99445}",(646) 756-4377,2124.7772656265674,2qGA2wu_MYpjUKxzpmQbBg,https://s3-media3.fl.yelpcdn.com/bphoto/GGPx8FDDci3sgqeiUineeg/o.jpg,False,"{'address1': '55 E Houston St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['55 E Houston St', 'New York, NY 10012']}",OddFellows Ice Cream,+16467564377,$$,4.5,64,[],https://www.yelp.com/biz/oddfellows-ice-cream-new-york-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
coffee-project-ny-new-york,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 40.72699, 'longitude': -73.98922}",(212) 228-7888,2435.8434261216967,pimuUR-TEHIjUla3S3jemQ,https://s3-media2.fl.yelpcdn.com/bphoto/2Wtg4i2JV0N0ZZnl33S3Cg/o.jpg,False,"{'address1': '239 E 5th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['239 E 5th St', 'New York, NY 10003']}",Coffee Project NY,+12122287888,$$,4.5,632,[],https://www.yelp.com/biz/coffee-project-ny-new-york?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
van-leeuwen-artisan-ice-cream-new-york-3,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 40.7277, 'longitude': -73.98768}",(646) 476-3865,2535.631422945701,NyFXsvNhwCwkqVfmCU5LJw,https://s3-media2.fl.yelpcdn.com/bphoto/AMFcZ9in0b9kC5pQI_7jDA/o.jpg,False,"{'address1': '48 1/2 E 7th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['48 1/2 E 7th St', 'New York, NY 10003']}",Van Leeuwen Artisan Ice Cream,+16464763865,$$,4.0,878,[],https://www.yelp.com/biz/van-leeuwen-artisan-ice-cream-new-york-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
morgensterns-finest-ice-cream-new-york-2,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 40.7215872315503, 'longitude': -73.9931092527003}",(212) 209-7684,1797.719010437187,1lNt64-Qu4tTwr3JdF-7Iw,https://s3-media2.fl.yelpcdn.com/bphoto/P36DNawhFR9m3LUswV3yiw/o.jpg,False,"{'address1': '2 Rivington St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['2 Rivington St', 'New York, NY 10002']}",Morgenstern's Finest Ice Cream,+12122097684,$$,4.0,1391,[],https://www.yelp.com/biz/morgensterns-finest-ice-cream-new-york-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
grace-street-new-york,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'shavedice', 'title': 'Shaved Ice'}]","{'latitude': 40.7478576793883, 'longitude': -73.9865590631962}",(917) 745-2125,4760.904253854418,MKYhiSeXjahxh9O4Gqnimw,https://s3-media3.fl.yelpcdn.com/bphoto/AIuYONxI1IWK_iDjgknkBQ/o.jpg,False,"{'address1': '17 W 32nd St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['17 W 32nd St', 'New York, NY 10001']}",Grace Street,+19177452125,$$,4.0,2089,[],https://www.yelp.com/biz/grace-street-new-york?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
van-leeuwen-artisan-ice-cream-new-york-4,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 40.7344208102318, 'longitude': -74.0012722836729}",(917) 475-1448,3275.218596440634,zda6zyX1g8vvzNiHDutzNg,https://s3-media4.fl.yelpcdn.com/bphoto/U-Y7HAyR0n0Tq8h_3scLFg/o.jpg,False,"{'address1': '152 W 10th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['152 W 10th St', 'New York, NY 10014']}",Van Leeuwen Artisan Ice Cream,+19174751448,$$,4.5,435,[],https://www.yelp.com/biz/van-leeuwen-artisan-ice-cream-new-york-4?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
oddfellows-ice-cream-co-dumbo-3,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 40.702953, 'longitude': -73.992076}",,319.26786832637686,b9Qd4jaxugk7Zo7LE_lLrg,https://s3-media3.fl.yelpcdn.com/bphoto/xXrdjpHWOgrrUD2Rk-fbYg/o.jpg,False,"{'address1': '60 Water St', 'address2': '', 'address3': None, 'city': 'Dumbo', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['60 Water St', 'Dumbo, NY 11201']}",OddFellows Ice Cream Co.,,,5.0,18,[],https://www.yelp.com/biz/oddfellows-ice-cream-co-dumbo-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
van-leeuwen-artisan-ice-cream-new-york-10,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 40.72151, 'longitude': -73.98735}",(646) 869-2746,1880.8923983042496,wzzFzwbpDFY2-eZIAbU9Hw,https://s3-media3.fl.yelpcdn.com/bphoto/MsP8Euiqd_748JcL0Jj7Jw/o.jpg,False,"{'address1': '172 Ludlow St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['172 Ludlow St', 'New York, NY 10002']}",Van Leeuwen Artisan Ice Cream,+16468692746,$$,4.0,82,[],https://www.yelp.com/biz/van-leeuwen-artisan-ice-cream-new-york-10?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
l-albero-dei-gelati-brooklyn-2,"[{'alias': 'gelato', 'title': 'Gelato'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 40.671932, 'longitude': -73.9836569}",(718) 788-2288,3832.8484006846074,Q-yTbpW4vrq80oRW40W_Pg,https://s3-media4.fl.yelpcdn.com/bphoto/hTkjd107dae8X4F6bZEFXQ/o.jpg,False,"{'address1': '341 5th Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['341 5th Ave', 'Brooklyn, NY 11215']}",L'albero Dei Gelati,+17187882288,$$,4.5,252,"['delivery', 'pickup']",https://www.yelp.com/biz/l-albero-dei-gelati-brooklyn-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
brooklyn-farmacy-and-soda-fountain-brooklyn,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 40.68398, 'longitude': -73.99923}",(718) 522-6260,2425.0272478113475,vOJkqLM8Kv4GyQe16UUPjg,https://s3-media2.fl.yelpcdn.com/bphoto/sOEM6Lq3phplghjp0_OFLA/o.jpg,False,"{'address1': '513 Henry St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11231', 'country': 'US', 'state': 'NY', 'display_address': ['513 Henry St', 'Brooklyn, NY 11231']}",Brooklyn Farmacy & Soda Fountain,+17185226260,$$,4.0,644,"['delivery', 'pickup']",https://www.yelp.com/biz/brooklyn-farmacy-and-soda-fountain-brooklyn?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
