alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
bing-haus-san-diego-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'shavedsnow', 'title': 'Shaved Snow'}]","{'latitude': 32.82051, 'longitude': -117.15452}",(858) 276-9479,3356.6721453660284,5N4IL3STKzzO2BJ5m1gXtg,https://s3-media1.fl.yelpcdn.com/bphoto/01uZNvw9stVUWOXpA7_BJg/o.jpg,False,"{'address1': '4425 Convoy St', 'address2': 'Ste 216', 'address3': '', 'city': 'San Diego', 'zip_code': '92111', 'country': 'US', 'state': 'CA', 'display_address': ['4425 Convoy St', 'Ste 216', 'San Diego, CA 92111']}",Bing Haus,+18582769479,$,4.0,832,[],https://www.yelp.com/biz/bing-haus-san-diego-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
lapperts-ice-cream-and-coffee-lounge-san-diego-14,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 32.933701, 'longitude': -117.060676}",(800) 666-7765,18149.851843000808,QuYUlsjvfBAa1rlHlIGVLQ,https://s3-media4.fl.yelpcdn.com/bphoto/e7QeAmgR_SOxoKxihj7gNA/o.jpg,False,"{'address1': '12265 Scripps Poway Pkwy', 'address2': None, 'address3': '', 'city': 'San Diego', 'zip_code': '92131', 'country': 'US', 'state': 'CA', 'display_address': ['12265 Scripps Poway Pkwy', 'San Diego, CA 92131']}",Lappert's Ice Cream & Coffee Lounge,+18006667765,$,4.0,692,"['pickup', 'delivery']",https://www.yelp.com/biz/lapperts-ice-cream-and-coffee-lounge-san-diego-14?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
roast-coach-coffee-bar-san-diego-4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'foodstands', 'title': 'Food Stands'}]","{'latitude': 32.70892, 'longitude': -117.1589}",,9088.646147786952,fmSlQjhoZ53x8aXWsDkTsg,https://s3-media4.fl.yelpcdn.com/bphoto/OPETTSfyg0L2ENSs7uPwFg/o.jpg,False,"{'address1': '345 6th Ave', 'address2': '', 'address3': '', 'city': 'San Diego', 'zip_code': '92101', 'country': 'US', 'state': 'CA', 'display_address': ['345 6th Ave', 'San Diego, CA 92101']}",Roast Coach Coffee Bar,,$,4.5,161,"['pickup', 'delivery']",https://www.yelp.com/biz/roast-coach-coffee-bar-san-diego-4?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
mariposa-ice-cream-san-diego,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]","{'latitude': 32.7635264881571, 'longitude': -117.118983349104}",(619) 284-5197,4450.908223507207,2OvPUO3DEmFWSDH50VLCXA,https://s3-media1.fl.yelpcdn.com/bphoto/cAxwhU7OmEXrHrHmzJrFdA/o.jpg,False,"{'address1': '3450 Adams Ave', 'address2': '', 'address3': '', 'city': 'San Diego', 'zip_code': '92116', 'country': 'US', 'state': 'CA', 'display_address': ['3450 Adams Ave', 'San Diego, CA 92116']}",Mariposa Ice Cream,+16192845197,$,4.5,828,[],https://www.yelp.com/biz/mariposa-ice-cream-san-diego?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
salt-and-straw-san-diego,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 32.7226102, 'longitude': -117.1684663}",(619) 542-9394,7649.808553218149,Fna3dFfwRU5huP27S6vAjg,https://s3-media2.fl.yelpcdn.com/bphoto/AXPhl06FMSH1vJSEv4mDpA/o.jpg,False,"{'address1': '1670 India St', 'address2': '', 'address3': None, 'city': 'San Diego', 'zip_code': '92101', 'country': 'US', 'state': 'CA', 'display_address': ['1670 India St', 'San Diego, CA 92101']}",Salt & Straw,+16195429394,$$,4.5,1045,[],https://www.yelp.com/biz/salt-and-straw-san-diego?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
mutual-friend-ice-cream-san-diego-4,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 32.71404, 'longitude': -117.13989}",(619) 344-0484,8610.953858531275,WNebT3Hrk_z6MgHjNwUunw,https://s3-media2.fl.yelpcdn.com/bphoto/cWsYYcO0V_XPby0AdAEVtw/o.jpg,False,"{'address1': '811 25th St', 'address2': 'Ste 100', 'address3': None, 'city': 'San Diego', 'zip_code': '92102', 'country': 'US', 'state': 'CA', 'display_address': ['811 25th St', 'Ste 100', 'San Diego, CA 92102']}",Mutual Friend Ice Cream,+16193440484,,4.5,71,[],https://www.yelp.com/biz/mutual-friend-ice-cream-san-diego-4?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
the-coffee-method-san-diego,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 32.7456979, 'longitude': -117.2517811}",(619) 431-0594,10408.588937182603,3E2x8CdotZ3IMmSxrT1D4g,https://s3-media4.fl.yelpcdn.com/bphoto/6keiPyLrF_qk73kpDcTaMA/o.jpg,False,"{'address1': '4993 Niagara Ave', 'address2': 'Ste 107', 'address3': '', 'city': 'San Diego', 'zip_code': '92107', 'country': 'US', 'state': 'CA', 'display_address': ['4993 Niagara Ave', 'Ste 107', 'San Diego, CA 92107']}",The Coffee Method,+16194310594,$,4.5,124,[],https://www.yelp.com/biz/the-coffee-method-san-diego?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
pappalecco-san-diego-2,"[{'alias': 'gelato', 'title': 'Gelato'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 32.7221199, 'longitude': -117.16678}",(619) 238-4590,7706.141907932728,CNx-l9cresLdPcr2e8vCKg,https://s3-media2.fl.yelpcdn.com/bphoto/-6VH5P9wS6g2BXcUubhy5g/o.jpg,False,"{'address1': '1602 State St', 'address2': '', 'address3': '', 'city': 'San Diego', 'zip_code': '92101', 'country': 'US', 'state': 'CA', 'display_address': ['1602 State St', 'San Diego, CA 92101']}",Pappalecco,+16192384590,$,4.5,2386,[],https://www.yelp.com/biz/pappalecco-san-diego-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
influx-san-diego-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 32.7244960233801, 'longitude': -117.168766860369}",(619) 255-0735,7474.221868651602,jrr3pqZnzuKddgBDAmaUEA,https://s3-media1.fl.yelpcdn.com/bphoto/uyXS4WtA3vJYAk4b7UlA9w/o.jpg,False,"{'address1': '750 W Fir St', 'address2': 'Ste 105', 'address3': '', 'city': 'San Diego', 'zip_code': '92101', 'country': 'US', 'state': 'CA', 'display_address': ['750 W Fir St', 'Ste 105', 'San Diego, CA 92101']}",Influx,+16192550735,$,4.0,506,[],https://www.yelp.com/biz/influx-san-diego-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
lab-dessert-and-coffee-san-diego-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'shavedice', 'title': 'Shaved Ice'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 32.829547, 'longitude': -117.152594}",(858) 384-2449,4336.341309802014,UiP9xDpybpEQMOBOdExi2w,https://s3-media3.fl.yelpcdn.com/bphoto/QHxxNteoDoX5WCk412HA0Q/o.jpg,False,"{'address1': '4817 Convoy St', 'address2': None, 'address3': 'Convoy Ronson Plaza', 'city': 'San Diego', 'zip_code': '92111', 'country': 'US', 'state': 'CA', 'display_address': ['4817 Convoy St', 'Convoy Ronson Plaza', 'San Diego, CA 92111']}",LAB Dessert & Coffee,+18583842449,$,4.5,107,"['pickup', 'delivery']",https://www.yelp.com/biz/lab-dessert-and-coffee-san-diego-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
