alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
holy-gelato-san-francisco,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'gelato', 'title': 'Gelato'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 37.7624176, 'longitude': -122.4660266}",(415) 681-3061,2599.848458600241,WhTpALYvB4ZBMcT8fFVLvw,https://s3-media1.fl.yelpcdn.com/bphoto/E_E2UC2gQDI-zJjI5fWRog/o.jpg,False,"{'address1': '1392 9th Ave', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94122', 'country': 'US', 'state': 'CA', 'display_address': ['1392 9th Ave', 'San Francisco, CA 94122']}",Holy Gelato!,+14156813061,$,4.5,1026,[],https://www.yelp.com/biz/holy-gelato-san-francisco?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
san-franciscos-hometown-creamery-san-francisco,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 37.7643108, 'longitude': -122.4661588}",(415) 682-4977,2635.8092830446726,iTJ3jZ-dli9WLOrVsFXr6A,https://s3-media3.fl.yelpcdn.com/bphoto/IiQo65tKsFlOc6V4pLS8iQ/o.jpg,False,"{'address1': '1290 9th Ave', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94122', 'country': 'US', 'state': 'CA', 'display_address': ['1290 9th Ave', 'San Francisco, CA 94122']}",San Francisco's Hometown Creamery,+14156824977,$,4.0,686,"['delivery', 'pickup']",https://www.yelp.com/biz/san-franciscos-hometown-creamery-san-francisco?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
toy-boat-dessert-café-san-francisco-3,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'wraps', 'title': 'Wraps'}]","{'latitude': 37.7829406410456, 'longitude': -122.463481798768}",(415) 751-7505,3412.0430073846924,PhRj3okiYEWNLnlCihwOHA,https://s3-media2.fl.yelpcdn.com/bphoto/SZLwGiAg2WP8UbOpHuRkoQ/o.jpg,False,"{'address1': '401 Clement St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94118', 'country': 'US', 'state': 'CA', 'display_address': ['401 Clement St', 'San Francisco, CA 94118']}",Toy Boat Dessert Café,+14157517505,$,4.0,657,"['delivery', 'pickup']",https://www.yelp.com/biz/toy-boat-dessert-caf%C3%A9-san-francisco-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
garden-creamery-san-francisco-2,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'catering', 'title': 'Caterers'}]","{'latitude': 37.7497024536133, 'longitude': -122.415405273438}",(808) 224-6626,2095.255154655183,ofFgj0sd8iDQunY00hhDVQ,https://s3-media3.fl.yelpcdn.com/bphoto/DvPedVgB6DVDbbcy2J7BKw/o.jpg,False,"{'address1': '', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['San Francisco, CA 94110']}",Garden Creamery,+18082246626,$,4.5,136,[],https://www.yelp.com/biz/garden-creamery-san-francisco-2?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
freezing-point-creamery-oakland,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 37.7982924, 'longitude': -122.2716133}",(510) 394-8203,15071.378502411451,Kf2I9OmrgMpUk3_jSPsV1A,https://s3-media4.fl.yelpcdn.com/bphoto/qxyL6ayAEVxYPdjW6RG0Ew/o.jpg,False,"{'address1': '349 7th St', 'address2': None, 'address3': '', 'city': 'Oakland', 'zip_code': '94607', 'country': 'US', 'state': 'CA', 'display_address': ['349 7th St', 'Oakland, CA 94607']}",Freezing Point Creamery,+15103948203,$,4.0,283,[],https://www.yelp.com/biz/freezing-point-creamery-oakland?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
kaleidoscope-coffee-richmond,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 37.9267555620929, 'longitude': -122.384824076137}",(510) 260-0848,18991.25673593857,rdgIUJDh3Rnssu3fnzBR9A,https://s3-media1.fl.yelpcdn.com/bphoto/m8o2BLpydRwXOC455qN99g/o.jpg,False,"{'address1': '109 Park Pl', 'address2': '', 'address3': '', 'city': 'Richmond', 'zip_code': '94801', 'country': 'US', 'state': 'CA', 'display_address': ['109 Park Pl', 'Richmond, CA 94801']}",Kaleidoscope Coffee,+15102600848,$,4.5,180,[],https://www.yelp.com/biz/kaleidoscope-coffee-richmond?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
philmore-creamery-san-francisco-3,"[{'alias': 'gelato', 'title': 'Gelato'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 37.7865093379388, 'longitude': -122.43329192402}",(415) 937-6162,2864.9146874271228,DicCVq8FwpfT9lD40B_sxg,https://s3-media3.fl.yelpcdn.com/bphoto/Mb_LXqFtTfEYWHGoBTVi4g/o.jpg,False,"{'address1': '1840 Fillmore St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94115', 'country': 'US', 'state': 'CA', 'display_address': ['1840 Fillmore St', 'San Francisco, CA 94115']}",Philmore Creamery,+14159376162,$$,4.5,170,[],https://www.yelp.com/biz/philmore-creamery-san-francisco-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
bi-rite-creamery-san-francisco,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 37.761591, 'longitude': -122.425717}",(415) 626-5600,946.3867385272524,wGl_DyNxSv8KUtYgiuLhmA,https://s3-media2.fl.yelpcdn.com/bphoto/tLwFRwoq7jOTDBJHc6b5-w/o.jpg,False,"{'address1': '3692 18th St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['3692 18th St', 'San Francisco, CA 94110']}",Bi-Rite Creamery,+14156265600,$,4.5,9452,[],https://www.yelp.com/biz/bi-rite-creamery-san-francisco?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
milkbomb-ice-cream-san-francisco-3,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'donuts', 'title': 'Donuts'}]","{'latitude': 37.76475, 'longitude': -122.40077}",(415) 780-4429,3125.4214200424317,LFEBCjZ-M3XUFJDszYFX6A,https://s3-media2.fl.yelpcdn.com/bphoto/_4XvF3LXK_a5YejNevOgDg/o.jpg,False,"{'address1': '1717 17th St', 'address2': None, 'address3': None, 'city': 'San Francisco', 'zip_code': '94107', 'country': 'US', 'state': 'CA', 'display_address': ['1717 17th St', 'San Francisco, CA 94107']}",Milkbomb Ice Cream,+14157804429,$,4.5,535,[],https://www.yelp.com/biz/milkbomb-ice-cream-san-francisco-3?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
salt-and-straw-san-francisco-4,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 37.78993, 'longitude': -122.43432}",(415) 829-2803,3239.7391745819514,_5Dzuo9r5vaXsqy8P9AlOQ,https://s3-media3.fl.yelpcdn.com/bphoto/gfAnMlW9ZvrwVcs6W-IpPQ/o.jpg,False,"{'address1': '2201 Fillmore St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94115', 'country': 'US', 'state': 'CA', 'display_address': ['2201 Fillmore St', 'San Francisco, CA 94115']}",Salt & Straw,+14158292803,$$,4.5,856,[],https://www.yelp.com/biz/salt-and-straw-san-francisco-4?adjust_creative=aRVAoRVyM2B_4sfVQIy4Yw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aRVAoRVyM2B_4sfVQIy4Yw
